Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Drake Baldwin*,24,C,3.3,124,446,405,56,111,18,2,19,80,0,0,38,68,.274,.341,.469,.810,126,.358,130,190,9,3,0,0,0,2HD,,baldwdr01
2,Matt Olson*,31,1B,6.1,162,724,624,98,170,41,2,29,95,1,0,91,176,.272,.366,.484,.850,138,.368,136,302,14,4,0,5,2,*3,AS,olsonma02
3,Ozzie Albies#,28,2B,2.1,157,667,603,74,145,23,2,16,74,14,3,55,94,.240,.306,.365,.671,89,.307,92,220,9,4,0,5,2,*4,,albieoz01
4,Nick Allen,26,SS,0.6,135,416,371,32,82,11,0,0,22,8,7,31,99,.221,.284,.251,.535,53,.243,50,93,8,3,8,3,0,*6/4H,,allenni02
5,Austin Riley,28,3B,1.3,102,447,416,54,108,20,1,16,54,2,1,27,128,.260,.309,.428,.737,105,.321,104,178,9,3,0,1,1,5,,rileyau01
6,Jurickson Profar#,32,LF,1.0,80,371,318,56,78,16,1,14,43,9,2,48,59,.245,.353,.434,.787,121,.355,125,138,4,5,0,0,0,7/D,,profaju01
7,Michael Harris II*,24,CF,2.1,160,641,611,55,152,26,6,20,86,20,6,16,128,.249,.268,.409,.678,88,.295,83,250,7,3,4,7,1,*8/H,,harrimi04
8,Ronald Acuña Jr.,27,RF,3.1,95,412,338,74,98,12,1,21,42,9,1,71,102,.290,.417,.518,.935,163,.407,162,175,5,3,0,0,4,9/DH,AS,acunaro01
9,Marcell Ozuna,34,DH,1.6,145,592,487,61,113,19,0,21,68,0,0,94,144,.232,.355,.400,.756,113,.342,118,195,11,3,0,7,2,*D/H,,ozunama01
10,Sean Murphy,30,C,2.4,94,337,291,34,58,13,0,16,45,0,0,35,105,.199,.300,.409,.709,98,.314,99,119,9,8,0,3,1,2H/D,,murphse01
11,Eli White,31,OF,0.7,105,271,256,43,60,8,3,10,35,10,1,11,70,.234,.270,.406,.677,88,.308,89,104,2,2,1,1,1,97H/D83,,whiteel04
12,Alex Verdugo*,29,LF,-0.3,56,213,197,21,47,10,0,0,12,1,0,14,31,.239,.296,.289,.585,67,.269,66,57,1,2,0,0,0,7/H,,verdual01
13,Nacho Alvarez Jr.,22,3B,0.8,58,208,188,18,44,12,0,2,15,0,0,12,49,.234,.296,.330,.626,77,.280,74,62,1,5,2,1,0,5/H,,alvarna01
14,Ha-Seong Kim,29,SS,0.2,24,98,87,14,22,1,0,3,12,0,1,8,16,.253,.316,.368,.684,93,.297,90,32,2,1,0,2,0,6/H,,kimha01
15,Jarred Kelenic*,25,RF,-0.6,24,65,60,7,10,2,0,2,2,0,1,5,23,.167,.231,.300,.531,49,.230,44,18,1,0,0,0,0,9/H7D,,kelenja01
16,Stuart Fairchild,29,OF,-0.3,28,55,51,7,11,4,1,0,2,2,1,4,15,.216,.273,.333,.606,70,.281,76,17,2,0,0,0,0,9H/D78,,faircst01
17,Bryan De La Cruz,28,LF,-0.2,16,50,47,1,9,1,0,0,0,1,0,3,18,.191,.240,.213,.453,30,.232,37,10,1,0,0,0,0,7/H9D,,delacbr01
18,Vidal Bruján#,27,UT,0.5,23,47,41,8,11,2,0,0,5,0,0,5,9,.268,.362,.317,.679,95,.311,97,13,0,1,0,0,0,6/H591,,brujavi01
19,Luke Williams,28,IF,-0.4,39,34,31,5,4,2,0,0,5,5,0,1,9,.129,.176,.194,.370,5,.204,-4,6,2,1,0,1,0,6H/15D,,willilu01
20,Orlando Arcia,30,SS,-0.1,14,32,31,1,6,1,0,0,1,0,0,1,8,.194,.219,.226,.445,26,.230,39,7,0,0,0,0,0,6/DH,,arciaor01
21,Jake Fraley*,30,OF,0.0,9,24,23,2,7,1,0,0,0,0,1,1,8,.304,.333,.348,.681,93,.319,117,8,0,0,0,0,0,/9H7D,,fraleja01
22,Sandy León#,36,C,-0.1,5,12,12,1,1,0,0,1,3,0,0,0,4,.083,.083,.333,.417,10,.169,-4,4,0,0,0,0,0,/2,,leonsa01
23,Brett Wisely*,26,2B,0.0,4,9,6,0,0,0,0,0,0,0,0,3,4,.000,.333,.000,.333,6,.232,41,0,0,0,0,0,0,/4H,,wiselbr01
24,Chadwick Tromp,30,C,0.0,2,6,5,0,0,0,0,0,0,0,0,1,2,.000,.167,.000,.167,-47,.116,-41,0,1,0,0,0,0,/2,,trompch01
25,Jonathan Ornelas,25,IF,0.1,2,4,4,1,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,184,.402,160,2,0,0,0,0,0,/65,,orneljo01
26,Eddie Rosario*,33,RF,0.0,3,4,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-121,0,0,0,0,0,0,/H9,,rosared01
27,José Azócar,29,DH,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-117,0,0,0,0,0,0,/H9D,,azocajo01
,Team Totals,,,23.9,162,6186,5508,724,1349,243,19,190,701,82,25,575,1371,.245,.320,.399,.720,102,.321,103,2200,98,51,15,36,14,,,-9999
