Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Bryce Elder,26,SP,-0.4,8,11,.421,5.30,28,28,0,0,0,0,156.1,167,95,92,24,51,1,131,6,0,2,679,78,4.55,1.394,9.6,1.4,2.9,7.5,2.57,,elderbr01
2,Chris Sale*,36,SP,3.9,7,5,.583,2.58,21,20,0,0,0,0,125.2,102,38,36,11,32,0,165,11,0,3,510,161,2.67,1.066,7.3,0.8,2.3,11.8,5.16,AS,salech01
3,Spencer Strider,26,SP,1.0,7,14,.333,4.45,23,23,0,0,0,0,125.1,124,63,62,20,51,0,131,8,1,1,539,93,4.53,1.396,8.9,1.4,3.7,9.4,2.57,,stridsp01
4,Grant Holmes,29,SP,1.4,4,9,.308,3.99,22,21,1,0,0,0,115.0,100,52,51,16,54,1,123,7,0,5,492,104,4.40,1.339,7.8,1.3,4.2,9.6,2.28,,holmegr01
5,Spencer Schwellenbach,25,SP,2.2,7,4,.636,3.09,17,17,0,1,0,0,110.2,89,44,38,13,18,1,108,2,0,2,434,134,3.25,0.967,7.2,1.1,1.5,8.8,6.00,,schwesp01
6,Joey Wentz*,27,SP,-0.2,3,6,.333,4.92,14,13,0,0,0,0,64.0,68,38,35,6,23,1,64,0,0,3,278,85,3.43,1.422,9.6,0.8,3.2,9.0,2.78,,wentzjo01
7,Raisel Iglesias,35,CL,1.3,4,6,.400,3.21,70,0,57,0,0,29,67.1,51,25,24,8,16,2,73,2,0,0,266,130,3.31,0.995,6.8,1.1,2.1,9.8,4.56,,iglesra01
8,Dylan Lee*,30,RP,1.0,2,4,.333,3.29,74,0,6,0,0,2,68.1,53,27,25,13,14,1,76,0,3,3,266,126,4.00,0.980,7.0,1.7,1.8,10.0,5.43,,leedy01
9,Pierce Johnson,34,RP,1.1,3,3,.500,3.05,65,0,13,0,0,1,59.0,52,21,20,8,19,2,59,1,0,2,238,137,3.92,1.203,7.9,1.2,2.9,9.0,3.11,,johnspi01
10,Aaron Bummer*,31,RP,0.1,3,2,.600,3.81,42,2,5,0,0,0,54.1,51,27,23,3,17,4,51,11,0,1,235,109,3.52,1.252,8.4,0.5,2.8,8.4,3.00,,bummeaa01
11,Enyel De Los Santos,29,RP,-0.3,3,3,.500,4.53,43,0,6,0,0,0,43.2,39,25,22,2,18,2,38,2,1,2,189,92,3.37,1.305,8.0,0.4,3.7,7.8,2.11,,delosen01
12,Hurston Waldrep,23,,1.4,6,1,.857,2.88,10,9,0,0,0,0,56.1,45,18,18,3,22,1,55,3,0,0,229,145,3.21,1.189,7.2,0.5,3.5,8.8,2.50,,waldrhu01
13,AJ Smith-Shawver,22,,0.4,3,2,.600,3.86,9,9,0,0,0,0,44.1,42,20,19,4,21,0,42,1,0,3,192,108,3.90,1.421,8.5,0.8,4.3,8.5,2.00,,smithaj01
14,Daysbel Hernández,28,,0.4,4,3,.571,3.41,39,0,6,0,0,0,37.0,27,16,14,3,30,1,33,2,0,2,164,123,5.00,1.541,6.6,0.7,7.3,8.0,1.10,,hernada03
15,Dylan Dodd*,27,,0.3,1,0,1.000,3.60,28,0,12,0,0,0,35.0,28,14,14,5,5,0,30,1,0,1,136,116,3.79,0.943,7.2,1.3,1.3,7.7,6.00,,dodddy01
16,Rafael Montero,34,,-0.4,0,1,.000,5.50,36,0,11,0,0,0,34.1,27,22,21,3,21,2,34,0,0,0,150,76,4.13,1.398,7.1,0.8,5.5,8.9,1.62,,montera01
17,Tyler Kinley,34,,1.3,5,0,1.000,0.72,24,0,5,0,0,0,25.0,11,2,2,1,6,0,22,1,1,1,94,583,2.74,0.680,4.0,0.4,2.2,7.9,3.67,,kinlety01
18,Erick Fedde,32,,-0.6,1,2,.333,8.10,5,4,0,0,0,0,23.1,30,21,21,3,13,0,13,1,0,0,111,52,5.49,1.843,11.6,1.2,5.0,5.0,1.00,,feddeer01
19,Austin Cox*,28,,-0.7,0,0,,8.86,13,1,4,0,0,0,21.1,30,21,21,9,7,0,22,0,0,2,102,48,7.54,1.734,12.7,3.8,3.0,9.3,3.14,,coxau01
20,José Suarez*,27,,0.6,2,0,1.000,1.86,7,1,2,0,0,1,19.1,15,5,4,1,10,1,16,0,0,0,81,227,3.70,1.293,7.0,0.5,4.7,7.4,1.60,,suarejo01
21,Hunter Stratton,28,,0.4,1,1,.500,2.20,12,0,5,0,0,1,16.1,13,5,4,2,5,0,15,2,0,0,68,192,4.18,1.102,7.2,1.1,2.8,8.3,3.00,,strathu01
22,Scott Blewett,29,,0.0,2,0,1.000,5.51,11,1,6,0,0,0,16.1,16,11,10,5,10,0,13,0,0,0,72,77,7.36,1.592,8.8,2.8,5.5,7.2,1.30,,blewesc01
23,Carlos Carrasco,38,,-0.6,0,0,,9.88,3,3,0,0,0,0,13.2,22,15,15,3,7,0,9,0,0,1,70,43,6.21,2.122,14.5,2.0,4.6,5.9,1.29,,carraca01
24,Didier Fuentes,20,,-0.9,0,3,.000,13.85,4,4,0,0,0,0,13.0,23,20,20,6,6,0,12,2,0,1,69,31,9.14,2.231,15.9,4.2,4.2,8.3,2.00,,fuentdi01
25,Dane Dunning,30,,-0.4,0,0,,10.80,7,0,2,0,0,0,10.0,15,13,12,2,2,0,11,2,0,0,49,40,4.74,1.700,13.5,1.8,1.8,9.9,5.50,,dunnida01
26,Davis Daniel,28,,0.0,0,1,.000,5.40,3,2,1,0,0,0,10.0,9,6,6,1,7,0,9,1,0,0,46,80,5.04,1.600,8.1,0.9,6.3,8.1,1.29,,danieda01
27,Cal Quantrill,30,,-0.5,0,2,.000,13.50,2,2,0,0,0,0,8.0,14,12,12,5,5,0,3,0,0,0,43,32,12.39,2.375,15.8,5.6,5.6,3.4,0.60,,quantca01
28,Jesse Chavez,41,,-0.3,0,1,.000,9.00,4,0,0,0,0,0,8.0,14,8,8,4,5,0,8,0,0,0,43,48,9.51,2.375,15.8,4.5,5.6,9.0,1.60,,chaveje01
29,Michael Petersen,31,,0.0,0,0,,4.05,4,0,2,0,0,0,6.2,7,3,3,1,2,0,5,0,0,1,28,108,4.49,1.350,9.5,1.4,2.7,6.8,2.50,,petermi01
30,Wander Suero,33,,-0.3,0,0,,11.37,5,0,2,0,0,0,6.1,10,8,8,3,4,0,7,0,1,0,32,39,8.98,2.211,14.2,4.3,5.7,9.9,1.75,,suerowa01
31,Luke Williams,28,,0.1,0,0,,3.00,6,0,5,0,0,0,6.0,6,2,2,1,1,0,4,0,0,0,25,147,4.47,1.167,9.0,1.5,1.5,6.0,4.00,,willilu01
32,Reynaldo López,31,,0.0,0,0,,5.40,1,1,0,0,0,0,5.0,9,3,3,1,2,0,1,0,0,0,25,82,6.54,2.200,16.2,1.8,3.6,1.8,0.50,,lopezre01
33,John Brebbia,35,,-0.2,0,1,.000,7.71,3,0,2,0,0,0,4.2,6,5,4,2,1,0,6,1,0,0,22,58,7.42,1.500,11.6,3.9,1.9,11.6,6.00,,brebbjo01
34,Rolddy Muñoz,25,,-0.2,0,0,,12.27,3,0,0,0,0,0,3.2,4,5,5,1,5,0,5,2,0,1,21,37,9.68,2.455,9.8,2.5,12.3,12.3,1.00,,munozro02
35,Connor Seabold,29,,-0.2,0,0,,9.82,4,0,2,0,0,0,3.2,5,4,4,1,3,0,5,0,0,1,19,46,6.41,2.182,12.3,2.5,7.4,12.3,1.67,,seaboco01
36,Zach Thompson,31,,0.1,0,0,,0.00,2,0,0,0,0,0,3.2,0,0,0,0,1,0,3,0,0,1,12,,2.32,0.273,0.0,0.0,2.5,7.4,3.00,,thompza01
37,Joel Payamps,31,,0.0,0,0,,3.38,2,0,0,0,0,0,2.2,2,1,1,1,0,0,2,0,0,0,9,140,6.51,0.750,6.8,3.4,0.0,6.8,,,payamjo01
38,Hayden Harris*,26,,0.0,0,0,,3.38,3,0,0,0,0,0,2.2,3,1,1,0,2,0,0,0,0,0,12,140,5.39,1.875,10.1,0.0,6.8,0.0,0.00,,harriha01
39,Alexis Díaz,28,,-0.2,0,0,,10.13,3,0,1,0,0,0,2.2,0,4,3,0,5,0,5,1,0,0,14,47,6.14,1.875,0.0,0.0,16.9,16.9,1.00,,diazal03
40,José Ruiz,30,,-0.1,0,0,,13.50,2,0,0,0,0,0,2.0,2,3,3,0,3,0,3,0,1,0,11,36,4.64,2.500,9.0,0.0,13.5,13.5,1.00,,ruizjo01
41,Vidal Bruján,27,,-0.1,0,0,,13.50,2,0,2,0,0,0,2.0,4,3,3,1,1,0,0,0,0,0,11,36,11.14,2.500,18.0,4.5,4.5,0.0,0.00,,brujavi01
42,Charlie Morton,41,,0.1,0,0,,0.00,1,1,0,0,0,0,1.1,2,0,0,0,1,0,1,0,0,0,6,,3.89,2.250,13.5,0.0,6.8,6.8,1.00,,mortoch02
43,Héctor Neris,36,,-0.4,0,1,.000,45.00,2,0,1,0,0,0,1.0,5,5,5,1,1,0,1,0,0,0,8,13,17.14,6.000,45.0,9.0,9.0,9.0,1.00,,nerishe01
44,Craig Kimbrel,37,,0.1,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0,3,,4.14,2.000,9.0,0.0,9.0,9.0,1.00,,kimbrcr01
45,Kevin Herget,34,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,2,0,0,0,0,1,6,,9.14,3.000,9.0,0.0,18.0,0.0,0.00,,hergeke01
46,Nathan Wiles,26,,-0.1,0,0,,27.00,1,0,1,0,0,0,1.0,4,3,3,0,0,0,1,0,0,0,7,21,1.14,4.000,36.0,0.0,0.0,9.0,,,wilesna01
,Team Totals,,,10.2,76,86,.469,4.36,162,162,161,1,0,34,1438.0,1348,734,697,197,530,20,1416,70,8,40,6116,96,4.20,1.306,8.4,1.2,3.3,8.9,2.67,,-9999
