Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Adley Rutschman#,27,C,1.9,90,365,322,37,71,16,2,9,29,0,0,40,57,.220,.307,.366,.673,90,.297,89,118,8,1,0,2,0,2D/H,,rutscad01
2,Coby Mayo,23,1B,0.2,85,294,263,30,57,12,0,11,28,3,0,27,84,.217,.299,.388,.687,93,.303,92,102,2,4,0,0,0,3/DH5,,mayoco01
3,Jackson Holliday*,21,2B,1.0,149,649,586,70,142,21,3,17,55,17,11,56,140,.242,.314,.375,.690,95,.305,97,220,4,6,0,1,1,*4/6DH,,hollija01
4,Gunnar Henderson*,24,SS,5.4,154,651,577,85,158,34,5,17,68,30,5,62,137,.274,.349,.438,.787,121,.349,122,253,7,7,0,5,6,*6/DH,,hendegu01
5,Ramón Urías,31,3B,1.5,77,290,258,27,64,12,0,8,34,2,0,21,60,.248,.300,.388,.688,93,.301,91,100,5,2,0,9,0,5/H3D4,,uriasra01
6,Dylan Carlson#,26,LF,-0.7,83,241,217,17,44,9,1,6,20,3,3,21,54,.203,.278,.336,.614,73,.274,75,73,3,2,0,1,0,798H,,carlsdy01
7,Cedric Mullins*,30,CF,0.0,91,355,314,42,72,19,0,15,49,14,4,34,85,.229,.305,.433,.738,106,.320,103,136,2,2,1,4,0,8/DH,,mullice01
8,Ramón Laureano,30,RF,3.0,82,290,259,45,75,17,0,15,46,4,3,22,72,.290,.355,.529,.884,146,.373,146,137,6,6,0,3,1,97/DH8,,laurera01
9,Ryan Mountcastle,28,DH,0.1,89,357,332,34,83,18,0,7,35,3,0,15,98,.250,.286,.367,.653,83,.302,91,122,10,4,0,6,0,3D/H,,mountry01
10,Ryan O'Hearn*,31,1B,2.0,94,361,311,45,88,15,1,13,43,3,1,42,63,.283,.374,.463,.837,136,.362,136,144,10,5,0,3,3,3D9/H7,AS,ohearry01
11,Colton Cowser*,25,OF,1.1,92,360,327,36,64,14,0,16,40,14,0,27,128,.196,.269,.385,.655,83,.292,79,126,5,6,0,0,1,87/9HD,,cowseco01
12,Jordan Westburg,26,IF,1.5,85,352,328,59,87,10,1,17,41,1,2,17,80,.265,.313,.457,.770,114,.334,118,150,5,6,0,1,0,54D/H,,westbjo01
13,Tyler O'Neill,30,RF,-0.6,54,209,181,22,36,6,1,9,26,4,0,22,51,.199,.292,.392,.684,92,.302,90,71,2,3,0,3,1,9D/7H,,oneilty01
14,Jeremiah Jackson,25,RF,0.4,48,183,170,20,47,10,2,5,21,0,2,11,50,.276,.328,.447,.775,117,.329,116,76,6,2,0,0,0,95/HD4,,jacksje02
15,Heston Kjerstad*,26,OF,-1.6,54,167,156,16,30,5,2,4,19,1,0,6,45,.192,.240,.327,.566,58,.253,56,51,9,4,0,1,0,79/HD,,kjershe01
16,Dylan Beavers*,23,OF,1.1,35,137,110,16,25,5,1,4,14,2,2,26,36,.227,.375,.400,.775,120,.346,128,44,0,0,1,0,0,79/H,,beavedy01
17,Emmanuel Rivera,29,3B,0.1,42,127,120,5,30,4,0,0,13,1,0,6,24,.250,.291,.283,.575,64,.267,66,34,3,1,0,0,0,5/3HD1,,riverem01
18,Samuel Basallo*,20,C,-0.2,31,118,109,10,18,6,0,4,15,0,0,6,30,.165,.229,.330,.559,56,.245,51,36,4,3,0,0,0,2/D3H,,basalsa01
19,Gary Sánchez,32,C,-0.4,29,101,91,13,21,2,0,5,24,0,0,4,27,.231,.297,.418,.715,100,.308,97,38,2,5,0,1,0,2/D1H,,sanchga02
20,Alex Jackson,29,C,0.7,36,100,91,17,20,8,0,5,8,0,0,5,37,.220,.290,.473,.763,111,.323,108,43,2,4,0,0,0,2/H1D,,jacksal02
21,Jorge Mateo,30,UT,-0.6,42,83,79,9,14,4,0,1,3,15,2,4,30,.177,.217,.266,.483,36,.243,28,21,1,0,0,0,0,H68/4D517,,mateojo01
22,Luis Vázquez,25,IF,-0.5,32,53,50,6,8,1,0,1,3,2,0,3,14,.160,.208,.240,.448,27,.206,17,12,0,0,0,0,0,56/H143D,,vazqulu01
23,Maverick Handley,27,C,-0.9,16,47,41,2,3,0,0,0,3,0,0,2,18,.073,.133,.073,.207,-39,.103,-59,3,0,1,2,1,0,2/H,,handlma01
24,Jacob Stallings,35,C,-0.4,14,36,35,1,4,1,0,0,3,0,0,1,9,.114,.139,.143,.282,-20,.152,-16,5,4,0,0,0,0,2/H,,stallja01
25,Daniel Johnson*,29,OF,0.1,17,26,24,8,5,1,0,0,0,1,1,2,5,.208,.269,.250,.519,49,.255,66,6,0,0,0,0,0,/H798,,johnsda07
26,Chadwick Tromp,30,C,0.1,6,16,16,2,3,1,0,1,1,0,0,0,4,.188,.188,.438,.625,69,.315,102,7,0,0,0,0,0,/2,,trompch01
27,Greg Allen#,32,OF,-0.4,7,14,14,1,0,0,0,0,0,0,1,0,5,.000,.000,.000,.000,-100,-0.035,-127,0,2,0,0,0,0,/87H,,allengr01
28,Ryan Noda*,29,RF,0.0,7,14,13,0,2,0,0,0,1,1,0,1,6,.154,.214,.154,.368,7,.156,-37,2,0,0,0,0,1,/9HD,,nodary01
29,Vimael Machín*,31,3B,0.1,4,12,11,1,1,0,0,1,1,0,0,1,2,.091,.167,.364,.530,44,.225,37,4,0,0,0,0,0,/5,,machivi01
30,Jordyn Adams,25,OF,-0.1,10,5,5,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/89H,,adamsjo03
31,David Bañuelos,28,DH,0.0,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,61,.358,135,0,0,1,0,0,0,/DH,,banueda01
32,Cooper Hummel#,30,RF,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/9,,hummeco01
33,Vidal Bruján#,27,CF,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,471,.889,536,1,0,0,0,0,0,/8,,brujavi01
34,Terrin Vavra*,28,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/4H,,vavrate01
35,Trevor Rogers*,27,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-122,0,0,0,0,0,0,1,,rogertr01
36,Andrew Kittredge,35,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kittran01
37,Cionel Pérez,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,perezci01
38,Dietrich Enns*,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ennsdi01
