Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Dean Kremer,29,SP,2.1,11,10,.524,4.19,31,29,0,0,0,0,171.2,163,83,80,22,45,0,142,2,1,9,708,96,3.97,1.212,8.5,1.2,2.4,7.4,3.16,,kremede01
2,Tomoyuki Sugano,35,SP,1.2,10,10,.500,4.64,30,30,0,0,0,0,157.0,173,85,81,33,36,2,106,8,1,3,675,87,5.36,1.331,9.9,1.9,2.1,6.1,2.94,,suganto01
3,Cade Povich*,25,SP,-0.2,3,8,.273,5.21,22,20,0,0,0,0,112.1,125,70,65,17,43,2,118,1,0,6,488,77,4.18,1.496,10.0,1.4,3.4,9.5,2.74,,povicca01
4,Trevor Rogers*,27,SP,5.5,9,3,.750,1.81,18,18,0,1,0,0,109.2,70,23,22,6,29,0,103,2,1,0,423,223,2.82,0.903,5.7,0.5,2.4,8.5,3.55,,rogertr01
5,Charlie Morton,41,SP,-0.1,7,8,.467,5.42,23,17,1,0,0,0,101.1,110,63,61,16,48,1,101,9,1,1,464,74,4.88,1.559,9.8,1.4,4.3,9.0,2.10,,mortoch02
6,Zach Eflin,31,SP,-0.4,6,5,.545,5.93,14,14,0,0,0,0,71.1,88,48,47,18,13,0,50,2,0,1,309,68,5.65,1.416,11.1,2.3,1.6,6.3,3.85,,eflinza01
7,Félix Bautista,30,CL,1.1,1,1,.500,2.60,35,0,28,0,0,19,34.2,16,10,10,3,23,0,50,0,0,1,142,156,3.37,1.125,4.2,0.8,6.0,13.0,2.17,,bautife01
8,Keegan Akin*,30,RP,0.9,5,4,.556,3.41,64,3,18,0,0,8,63.1,54,28,24,10,33,2,59,1,0,2,268,118,4.94,1.374,7.7,1.4,4.7,8.4,1.79,,akinke01
9,Yennier Cano,31,RP,-0.4,3,7,.300,5.12,65,0,11,0,0,2,58.0,62,36,33,7,24,1,53,3,1,2,251,79,4.27,1.483,9.6,1.1,3.7,8.2,2.21,,canoye01
10,Seranthony Domínguez,30,RP,0.5,2,3,.400,3.24,43,0,11,0,0,2,41.2,32,19,15,4,24,1,54,0,0,9,175,125,3.52,1.344,6.9,0.9,5.2,11.7,2.25,,dominse01
11,Gregory Soto*,30,RP,0.4,0,2,.000,3.96,45,0,10,0,0,1,36.1,29,17,16,2,18,1,44,5,0,7,160,102,3.33,1.294,7.2,0.5,4.5,10.9,2.44,,sotogr01
12,Brandon Young,26,,-0.6,1,7,.125,6.24,12,12,0,0,0,0,57.2,67,42,40,12,22,0,47,0,0,0,256,65,5.36,1.543,10.5,1.9,3.4,7.3,2.14,,youngbr01
13,Bryan Baker,30,,0.5,3,2,.600,3.52,42,0,7,0,0,2,38.1,33,17,15,8,9,0,49,0,0,1,151,115,4.00,1.096,7.7,1.9,2.1,11.5,5.44,,bakerbr01
14,Kyle Bradish,28,,1.2,1,1,.500,2.53,6,6,0,0,0,0,32.0,23,9,9,3,10,0,47,1,0,0,126,160,2.45,1.031,6.5,0.8,2.8,13.2,4.70,,bradiky01
15,Andrew Kittredge,35,,0.5,2,2,.500,3.45,31,0,9,0,0,0,31.1,26,13,12,4,8,1,32,0,0,1,126,118,3.52,1.085,7.5,1.1,2.3,9.2,4.00,,kittran01
16,Dietrich Enns*,34,,0.6,2,2,.500,3.14,17,1,3,0,0,2,28.2,27,13,10,4,11,4,34,0,0,1,123,130,3.73,1.326,8.5,1.3,3.5,10.7,3.09,,ennsdi01
17,Grant Wolfram*,28,,-0.4,3,1,.750,5.40,21,0,3,0,0,0,26.2,35,20,16,2,15,1,31,1,0,3,133,75,3.59,1.875,11.8,0.7,5.1,10.5,2.07,,wolfrgr01
18,Kade Strowd,27,,0.9,0,1,.000,1.71,25,0,6,0,0,0,26.1,16,6,5,1,13,0,24,1,0,2,105,238,3.40,1.101,5.5,0.3,4.4,8.2,1.85,,strowka01
19,Matt Bowman,34,,-0.3,0,1,.000,6.20,20,0,8,0,0,0,24.2,31,18,17,4,6,0,18,2,0,1,114,66,4.76,1.500,11.3,1.5,2.2,6.6,3.00,,bowmama01
20,Scott Blewett,29,,-0.3,1,0,1.000,6.17,13,1,2,0,0,0,23.1,25,17,16,4,8,0,17,0,0,1,103,66,4.94,1.414,9.6,1.5,3.1,6.6,2.13,,blewesc01
21,Tyler Wells,30,,0.6,2,1,.667,2.91,4,4,0,0,0,0,21.2,17,7,7,4,2,0,18,0,0,0,82,140,4.15,0.877,7.1,1.7,0.8,7.5,9.00,,wellsty01
22,Cionel Pérez*,29,,-0.6,0,0,,8.31,19,0,6,0,0,0,21.2,28,22,20,3,18,1,21,2,1,1,110,49,5.77,2.123,11.6,1.2,7.5,8.7,1.17,,perezci01
23,Yaramil Hiraldo,29,,-0.2,0,0,,4.58,18,0,6,0,0,0,19.2,17,13,10,4,9,0,21,0,0,2,84,89,5.02,1.322,7.8,1.8,4.1,9.6,2.33,,hiralya01
24,Rico Garcia,31,,0.6,0,2,.000,2.84,20,1,3,0,0,0,19.0,21,6,6,3,6,1,20,0,0,1,82,144,4.03,1.421,9.9,1.4,2.8,9.5,3.33,,garciri01
25,Corbin Martin,29,,-0.5,1,0,1.000,6.00,17,0,7,0,0,2,18.0,22,15,12,4,9,0,23,2,1,1,89,68,5.30,1.722,11.0,2.0,4.5,11.5,2.56,,martico02
26,Colin Selby,27,,0.2,0,2,.000,3.21,11,0,5,0,0,0,14.0,16,5,5,2,2,0,14,0,0,0,60,128,3.42,1.286,10.3,1.3,1.3,9.0,7.00,,selbyco01
27,Kyle Gibson,37,,-1.1,0,3,.000,16.78,4,4,0,0,0,0,12.1,29,23,23,7,7,0,10,0,0,1,73,25,10.60,2.919,21.2,5.1,5.1,7.3,1.43,,gibsoky01
