Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Garrett Crochet*,26,SP,6.3,18,5,.783,2.59,32,32,0,1,1,0,205.1,165,62,59,24,46,0,255,3,3,7,814,159,2.89,1.028,7.2,1.1,2.0,11.2,5.54,AS,crochga01
2,Brayan Bello,26,SP,2.4,11,9,.550,3.35,29,28,0,1,0,0,166.2,147,71,62,16,59,0,124,13,0,5,700,123,4.19,1.236,7.9,0.9,3.2,6.7,2.10,,bellobr01
3,Lucas Giolito,30,SP,2.1,10,4,.714,3.41,26,26,0,0,0,0,145.0,131,62,55,17,56,0,121,1,0,4,613,120,4.17,1.290,8.1,1.1,3.5,7.5,2.16,,giolilu01
4,Walker Buehler,30,SP,-0.9,7,7,.500,5.45,23,22,1,0,0,0,112.1,120,72,68,22,55,0,84,9,0,0,508,75,5.90,1.558,9.6,1.8,4.4,6.7,1.53,,buehlwa01
5,Hunter Dobbins,25,SP,0.4,4,1,.800,4.13,13,11,0,0,0,0,61.0,61,30,28,6,17,1,45,2,0,0,256,100,3.87,1.279,9.0,0.9,2.5,6.6,2.65,,dobbihu01
6,Aroldis Chapman*,37,CL,3.5,5,3,.625,1.17,67,0,43,0,0,32,61.1,28,9,8,3,15,0,85,0,0,6,228,351,1.73,0.701,4.1,0.4,2.2,12.5,5.67,AS,chapmar01
7,Garrett Whitlock,29,RP,2.4,7,3,.700,2.25,62,0,9,0,0,1,72.0,54,21,18,2,24,2,91,5,0,3,293,183,2.18,1.083,6.8,0.3,3.0,11.4,3.79,,whitlga01
8,Greg Weissert,30,RP,1.1,6,6,.500,2.82,72,0,11,0,0,4,67.0,57,27,21,6,21,1,57,3,0,1,278,146,3.67,1.164,7.7,0.8,2.8,7.7,2.71,,weissgr01
9,Brennan Bernardino*,33,RP,0.4,4,3,.571,3.14,55,3,12,0,0,1,51.2,39,23,18,1,26,5,43,3,0,3,224,132,3.41,1.258,6.8,0.2,4.5,7.5,1.65,,bernabr01
10,Justin Wilson*,37,RP,0.3,4,1,.800,3.35,61,0,3,0,0,0,48.1,48,22,18,3,20,3,57,2,0,3,207,123,2.95,1.407,8.9,0.6,3.7,10.6,2.85,,wilsoju10
11,Richard Fitts,25,,-0.3,2,4,.333,5.00,11,10,0,0,0,0,45.0,43,27,25,11,16,0,40,3,1,1,195,83,5.80,1.311,8.6,2.2,3.2,8.0,2.50,,fittsri01
12,Tanner Houck,29,,-1.4,0,3,.000,8.04,9,9,0,0,0,0,43.2,57,41,39,10,17,0,32,5,0,2,203,51,6.16,1.695,11.7,2.1,3.5,6.6,1.88,,houckta01
13,Sean Newcomb*,32,,-0.1,0,4,.000,3.95,12,5,5,0,0,0,41.0,55,24,18,3,17,0,41,2,0,2,190,105,3.48,1.756,12.1,0.7,3.7,9.0,2.41,,newcose01
14,Zack Kelly,30,,-0.2,1,3,.250,4.58,28,0,5,0,0,0,35.1,35,21,18,3,12,1,35,3,0,1,152,90,3.53,1.330,8.9,0.8,3.1,8.9,2.92,,kellyza01
15,Chris Murphy*,27,,0.5,3,0,1.000,3.12,23,0,12,0,0,0,34.2,21,12,12,4,20,1,30,5,0,1,148,133,5.07,1.183,5.5,1.0,5.2,7.8,1.50,,murphch01
16,Justin Slaten,27,,-0.2,2,4,.333,4.24,36,0,8,0,0,3,34.0,27,19,16,3,10,2,25,0,0,1,137,98,3.69,1.088,7.1,0.8,2.6,6.6,2.50,,slateju01
17,Dustin May,27,,-0.3,1,4,.200,5.40,6,5,1,0,0,0,28.1,35,18,17,5,13,0,26,4,0,0,133,77,5.39,1.694,11.1,1.6,4.1,8.3,2.00,,maydu01
18,Steven Matz*,34,,0.5,0,0,,2.08,21,0,2,0,0,1,21.2,17,6,5,4,2,0,12,1,0,1,82,201,4.84,0.877,7.1,1.7,0.8,5.0,6.00,,matzst01
19,Connelly Early*,23,,0.6,1,2,.333,2.33,4,4,0,0,0,0,19.1,17,6,5,0,4,0,29,1,0,0,79,179,0.91,1.086,7.9,0.0,1.9,13.5,7.25,,earlyco01
20,Jordan Hicks,28,,-1.1,1,2,.333,8.20,21,0,8,0,0,2,18.2,25,20,17,3,12,1,15,4,0,6,97,51,6.19,1.982,12.1,1.4,5.8,7.2,1.25,,hicksjo03
21,Cooper Criswell,28,,-0.1,1,0,1.000,3.57,7,1,5,0,0,1,17.2,23,10,7,3,5,0,9,0,0,0,80,117,5.17,1.585,11.7,1.5,2.5,4.6,1.80,,criswco01
22,Luis Guerrero,24,,0.1,0,1,.000,4.15,13,0,6,0,0,0,17.1,9,8,8,0,14,0,10,0,0,0,72,101,4.41,1.327,4.7,0.0,7.3,5.2,0.71,,guerrlu01
23,Payton Tolle*,22,,-0.3,0,1,.000,6.06,7,3,2,0,0,0,16.1,18,12,11,5,8,0,19,0,0,1,74,69,6.26,1.592,9.9,2.8,4.4,10.5,2.38,,tollepa01
24,Jorge Alcala,29,,-0.2,0,0,,3.31,19,0,7,0,0,0,16.1,19,11,6,4,8,0,18,0,1,3,76,127,5.58,1.653,10.5,2.2,4.4,9.9,2.25,,alcaljo01
25,Liam Hendriks,36,,-0.3,0,2,.000,6.59,14,0,6,0,0,0,13.2,12,11,10,2,7,0,12,1,0,0,59,64,5.04,1.390,7.9,1.3,4.6,7.9,1.71,,hendrli01
26,Kyle Harrison*,23,,0.3,0,0,,3.00,3,2,0,0,0,0,12.0,14,4,4,0,5,0,13,1,0,1,56,141,2.47,1.583,10.5,0.0,3.8,9.8,2.60,,harriky01
27,Josh Winckowski,27,,-0.1,0,1,.000,3.86,6,0,4,0,0,0,11.2,11,7,5,0,5,0,9,1,0,0,52,110,3.14,1.371,8.5,0.0,3.9,6.9,1.80,,winckjo01
28,Isaiah Campbell,27,,-0.1,0,0,,7.04,6,0,4,0,0,0,7.2,13,6,6,1,1,0,3,1,0,0,35,61,4.83,1.826,15.3,1.2,1.2,3.5,3.00,,campbis01
29,José De León,32,,0.1,1,0,1.000,4.05,1,1,0,0,0,0,6.2,8,3,3,1,3,0,8,0,0,0,28,107,4.04,1.650,10.8,1.4,4.1,10.8,2.67,,deleojo03
30,Nick Burdi,32,,0.2,0,0,,0.00,4,0,2,0,0,0,5.1,5,0,0,0,2,0,5,0,0,1,21,,2.39,1.313,8.4,0.0,3.4,8.4,2.50,,burdini01
31,Jovani Morán*,28,,-0.1,0,0,,6.75,2,0,1,0,0,0,4.0,5,3,3,0,3,0,5,0,0,0,20,66,2.89,2.000,11.3,0.0,6.8,11.3,1.67,,moranjo01
32,Michael Fulmer,32,,-0.1,0,0,,10.13,1,0,0,0,0,0,2.2,4,3,3,1,2,0,2,0,0,0,13,46,8.76,2.250,13.5,3.4,6.8,6.8,1.00,,fulmemi01
33,Robert Stock,35,,-0.1,0,0,,10.13,2,0,1,0,0,0,2.2,4,3,3,1,4,0,1,0,0,0,15,46,11.76,3.000,13.5,3.4,13.5,3.4,0.25,,stockro01
34,Nate Eaton,28,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,4,,3.14,2.000,18.0,0.0,0.0,0.0,,,eatonna01
35,Abraham Toro,28,,-0.1,0,0,,18.00,1,0,1,0,0,0,1.0,4,2,2,0,1,0,0,0,0,0,8,31,6.14,5.000,36.0,0.0,9.0,0.0,0.00,,toroab01
,Team Totals,,,15.5,89,73,.549,3.72,162,162,160,2,1,45,1448.1,1333,676,598,164,530,17,1361,73,5,53,6150,111,3.98,1.286,8.3,1.0,3.3,8.5,2.57,,-9999
