Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Carson Kelly,30,C,3.6,111,421,369,48,92,13,1,17,50,2,0,45,80,.249,.333,.428,.761,119,.337,121,158,11,3,0,4,0,2/HD,,kellyca02
2,Michael Busch*,27,1B,4.5,155,592,524,78,137,25,5,34,90,4,0,56,139,.261,.343,.523,.866,147,.376,148,274,2,10,0,2,2,*3H/D,,buschmi02
3,Nico Hoerner,28,2B,6.1,156,649,599,89,178,29,4,7,61,29,6,39,49,.297,.345,.394,.739,114,.338,118,236,4,7,0,4,1,*4/6,,hoernni01
4,Dansby Swanson,31,SS,4.5,159,645,590,84,144,24,3,24,77,20,3,47,168,.244,.300,.417,.717,105,.323,108,246,9,2,1,5,1,*6,,swansda01
5,Matt Shaw,23,3B,3.1,126,437,393,57,89,21,3,13,44,17,5,38,94,.226,.295,.394,.690,98,.309,99,155,2,2,0,4,0,*5/H4,,shawma01
6,Ian Happ#,30,LF,4.0,150,663,569,87,138,32,0,23,79,6,3,87,151,.243,.342,.420,.762,120,.338,122,239,8,2,0,5,2,*7/DH,,happia01
7,Pete Crow-Armstrong*,23,CF,6.0,157,647,591,91,146,37,4,31,95,35,8,29,155,.247,.287,.481,.768,118,.337,117,284,1,9,6,12,1,*8/HD,AS,crowape01
8,Kyle Tucker*,28,RF,4.5,136,597,500,91,133,25,4,22,73,25,3,87,88,.266,.377,.464,.841,143,.375,143,232,8,4,1,3,7,*9D/H,AS,tuckeky01
9,Seiya Suzuki,30,DH,2.6,151,651,571,75,140,31,3,32,103,5,2,71,164,.245,.326,.478,.804,130,.348,129,273,13,1,0,8,1,D97/H8,,suzukse01
10,Justin Turner,40,1B,-0.1,80,191,169,14,37,7,0,3,18,2,0,17,37,.219,.288,.314,.602,75,.282,81,53,3,1,0,4,0,3HD5,,turneju01
11,Reese McGuire*,30,C,0.3,44,140,133,17,30,2,0,9,24,0,0,4,27,.226,.245,.444,.688,94,.289,87,59,3,0,1,2,0,2/H1,,mcguire01
12,Willi Castro#,28,UT,-0.5,34,110,100,10,17,2,1,1,6,1,1,8,27,.170,.245,.240,.485,42,.230,47,24,3,2,0,0,0,95/48H7,,castrwi01
13,Jon Berti,35,3B,0.2,51,107,100,12,21,2,0,0,2,11,3,5,22,.210,.262,.230,.492,45,.244,48,23,1,2,0,0,0,5H4/19D,,bertijo01
14,Miguel Amaya,26,C,1.1,28,103,96,14,27,9,0,4,25,0,0,4,22,.281,.314,.500,.814,131,.363,140,48,0,1,1,1,0,2/DH,,amayami01
15,Moisés Ballesteros*,21,DH,0.5,20,66,57,12,17,2,1,2,11,0,0,9,12,.298,.394,.474,.868,151,.390,159,27,2,0,0,0,1,D/H32,,ballemo01
16,Vidal Bruján#,27,UT,-0.4,36,47,45,6,10,3,0,0,3,2,1,1,12,.222,.234,.289,.523,51,.224,42,13,1,0,0,1,0,H5/749D68,,brujavi01
17,Owen Caissie*,22,OF,-0.1,12,27,26,4,5,1,0,1,4,0,0,1,11,.192,.222,.346,.568,62,.247,58,9,0,0,0,0,0,/9H7D,,caissow01
18,Nicky Lopez*,30,IF,-0.3,14,22,18,2,1,0,0,0,1,0,0,4,3,.056,.227,.056,.283,-12,.163,-2,1,1,0,0,0,0,5/H64D,,lopezni01
19,Carlos Santana#,39,1B,-0.2,8,19,19,0,2,1,0,0,2,0,0,0,5,.105,.105,.158,.263,-25,.113,-37,3,0,0,0,0,0,/3DH,,santaca01
20,Gage Workman*,25,IF,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,.214,.267,.286,.552,61,.260,56,4,0,0,0,0,0,/56DH,,workmga01
21,Kevin Alcántara,22,OF,0.1,10,12,11,2,4,0,0,0,1,1,0,1,4,.364,.417,.364,.780,130,.379,137,4,0,0,0,0,0,/8H7D9,,alcanke01
22,Colin Rea,34,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-108,0,0,0,0,0,0,1,,reaco01
,Team Totals,,,39.1,162,6162,5495,793,1371,267,29,223,771,161,35,554,1277,.249,.320,.430,.751,116,.334,117,2365,72,46,10,55,16,,,-9999
