Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Matthew Boyd*,34,SP,2.6,14,8,.636,3.21,31,31,0,0,0,0,179.2,154,69,64,19,42,0,154,9,0,2,718,120,3.65,1.091,7.7,1.0,2.1,7.7,3.67,AS,boydma01
2,Colin Rea,34,SP,0.6,11,7,.611,3.95,32,27,3,0,0,1,159.1,155,73,70,20,44,0,127,6,0,2,662,97,4.12,1.249,8.8,1.1,2.5,7.2,2.89,,reaco01
3,Shota Imanaga*,31,SP,1.5,9,8,.529,3.73,25,25,0,0,0,0,144.2,117,62,60,31,26,0,117,1,0,1,567,103,4.86,0.988,7.3,1.9,1.6,7.3,4.50,,imanash01
4,Jameson Taillon,33,SP,1.3,11,7,.611,3.68,23,23,0,0,0,0,129.2,110,54,53,24,27,0,98,0,0,1,519,105,4.66,1.057,7.6,1.7,1.9,6.8,3.63,,taillja01
5,Cade Horton,23,SP,2.0,11,4,.733,2.67,23,22,0,0,0,0,118.0,95,40,35,10,33,0,97,6,0,1,476,144,3.59,1.085,7.2,0.8,2.5,7.4,2.94,,hortoca01
6,Ben Brown,25,SP,-1.6,5,8,.385,5.92,25,15,3,0,0,1,106.1,121,73,70,18,32,0,121,4,0,5,472,65,4.08,1.439,10.2,1.5,2.7,10.2,3.78,,brownbe02
7,Daniel Palencia,25,CL,0.6,1,6,.143,2.91,54,0,38,0,0,22,52.2,44,19,17,5,16,1,61,2,0,2,215,133,3.08,1.139,7.5,0.9,2.7,10.4,3.81,,palenda01
8,Brad Keller,29,RP,1.5,4,2,.667,2.07,68,1,12,0,0,3,69.2,45,18,16,4,22,0,75,6,0,1,276,187,2.94,0.962,5.8,0.5,2.8,9.7,3.41,,kellebr01
9,Caleb Thielbar*,38,RP,1.1,3,4,.429,2.64,67,0,4,0,0,1,58.0,38,17,17,5,13,1,56,0,0,0,220,147,3.00,0.879,5.9,0.8,2.0,8.7,4.31,,thielca01
10,Drew Pomeranz*,36,RP,0.9,2,2,.500,2.17,57,4,11,0,0,1,49.2,38,14,12,5,15,1,57,5,0,1,203,178,3.36,1.067,6.9,0.9,2.7,10.3,3.80,,pomerdr01
11,Ryan Pressly,36,RP,-0.6,2,3,.400,4.35,44,0,17,0,0,5,41.1,46,24,20,6,17,0,28,2,0,0,182,89,5.05,1.524,10.0,1.3,3.7,6.1,1.65,,pressry01
12,Chris Flexen,30,,0.4,5,1,.833,3.09,21,1,12,0,0,1,43.2,38,18,15,7,12,0,22,0,0,3,178,125,5.04,1.145,7.8,1.4,2.5,4.5,1.83,,flexech01
13,Javier Assad,27,,0.4,4,1,.800,3.65,8,7,0,0,0,0,37.0,33,15,15,3,12,0,23,4,0,1,153,106,4.24,1.216,8.0,0.7,2.9,5.6,1.92,,assadja01
14,Porter Hodge,24,,-0.9,2,2,.500,6.27,36,0,10,0,0,2,33.0,34,24,23,9,18,1,40,0,1,5,147,62,5.89,1.576,9.3,2.5,4.9,10.9,2.22,,hodgepo01
15,Ryan Brasier,37,,-0.2,0,1,.000,4.50,28,1,4,0,0,0,26.0,27,13,13,2,5,0,20,0,0,0,105,87,3.17,1.231,9.3,0.7,1.7,6.9,4.00,,brasiry01
