Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Edgar Quero#,22,C,1.2,111,403,365,31,98,17,0,5,36,0,1,32,71,.268,.333,.356,.689,94,.308,96,130,8,4,0,2,0,2DH,,queroed01
2,Andrew Vaughn,27,1B,-1.8,48,193,185,9,35,8,0,5,19,0,0,7,43,.189,.218,.314,.531,47,.229,37,58,4,0,0,1,0,3D/H,,vaughan01
3,Lenyn Sosa,25,2B,0.9,140,544,518,57,137,20,1,22,75,2,1,18,127,.264,.293,.434,.727,101,.316,101,225,11,4,1,3,0,43D/H5,,sosale01
4,Chase Meidroth,23,SS,1.2,122,505,450,54,114,15,0,5,23,14,4,45,72,.253,.329,.320,.649,84,.303,89,144,14,6,3,1,0,64/H,,meidrch01
5,Miguel Vargas,25,3B,1.8,138,569,504,80,118,32,2,16,60,6,0,56,100,.234,.316,.401,.717,100,.315,98,202,9,6,0,3,0,53/DH7,,vargami01
6,Andrew Benintendi*,30,LF,1.0,116,470,420,57,101,16,2,20,63,1,0,40,82,.240,.307,.431,.738,104,.322,105,181,5,3,0,6,2,7D/H,,beninan01
7,Luis Robert Jr.,27,CF,1.4,110,431,382,52,85,12,0,14,53,33,8,40,112,.223,.297,.364,.661,85,.307,88,139,8,2,1,3,3,8/DH,,roberlu01
8,Mike Tauchman*,34,RF,1.9,93,385,335,44,88,17,1,9,40,0,0,45,86,.263,.356,.400,.756,112,.339,117,134,5,4,0,1,0,9D/H,,tauchmi01
9,Nick Maton*,28,DH,-0.1,25,63,54,5,9,2,0,2,4,0,1,9,19,.167,.286,.315,.601,69,.264,69,17,0,0,0,0,0,D/H3479,,matonni01
10,Brooks Baldwin#,24,OF,-0.6,103,328,300,32,72,15,1,11,38,5,0,21,86,.240,.290,.407,.697,93,.307,92,122,9,1,4,2,0,7895H46,,baldwbr01
11,Michael A. Taylor,34,OF,0.0,134,325,295,33,59,20,1,9,35,8,3,23,110,.200,.259,.366,.625,73,.268,65,108,7,1,4,2,1,*879H/D,,taylomi02
12,Kyle Teel*,23,C,1.9,78,297,253,38,69,11,0,8,35,3,1,37,77,.273,.375,.411,.786,121,.353,128,104,1,5,1,1,0,2D/H7,,teelky01
13,Colson Montgomery*,23,SS,3.3,71,284,255,43,61,9,1,21,55,0,0,25,83,.239,.311,.529,.840,130,.357,131,135,3,2,0,1,1,65/H,,montgco01
14,Josh Rojas*,31,IF,-1.5,69,211,189,14,34,9,0,2,11,4,1,19,48,.180,.252,.259,.512,45,.246,48,49,6,0,1,2,0,54/7H,,rojasjo01
15,Joshua Palacios*,29,RF,-1.2,51,145,128,11,26,4,0,3,9,0,0,12,36,.203,.292,.305,.596,68,.276,71,39,0,4,1,0,0,97/HD,,palacjo01
16,Austin Slater,32,OF,0.3,51,135,123,20,29,6,1,5,11,1,0,11,35,.236,.299,.423,.721,100,.316,100,52,5,0,1,0,0,H97/D83,,slateau01
17,Curtis Mead,24,CI,-0.6,41,132,125,12,30,8,0,0,11,1,0,3,30,.240,.280,.304,.584,64,.260,59,38,5,4,0,0,0,53/HD,,meadcu01
18,Matt Thaiss*,30,C,1.1,35,110,85,11,18,4,0,1,8,1,1,23,21,.212,.382,.294,.676,94,.323,108,25,2,1,0,1,0,2/H3D,,thaisma01
