Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Shane Smith,25,SP,2.4,7,8,.467,3.81,29,29,0,0,0,0,146.1,117,70,62,17,58,1,145,12,0,8,616,110,4.10,1.196,7.2,1.0,3.6,8.9,2.50,AS,smithsh02
2,Davis Martin,28,SP,1.5,7,10,.412,4.10,26,25,0,0,0,0,142.2,136,74,65,20,48,1,104,6,2,2,601,102,4.64,1.290,8.6,1.3,3.0,6.6,2.17,,martida03
3,Sean Burke,25,SP,0.9,4,11,.267,4.29,28,22,0,0,0,0,134.1,132,76,64,23,63,0,133,6,0,2,596,98,4.92,1.452,8.8,1.5,4.2,8.9,2.11,,burkese01
4,Jonathan Cannon,24,SP,-0.5,4,10,.286,5.82,22,17,1,0,0,0,103.2,116,69,67,19,38,1,86,6,1,2,466,72,5.13,1.486,10.1,1.6,3.3,7.5,2.26,,cannojo02
5,Adrian Houser,32,SP,3.0,6,2,.750,2.10,11,11,0,0,0,0,68.2,62,19,16,3,22,0,47,1,1,3,275,200,3.34,1.223,8.1,0.4,2.9,6.2,2.14,,housead01
6,Aaron Civale,30,SP,-0.2,2,7,.222,5.37,13,13,0,0,0,0,67.0,66,44,40,8,26,0,55,2,2,0,291,78,4.30,1.373,8.9,1.1,3.5,7.4,2.12,,civalaa01
7,Jordan Leasure,26,CL,0.7,5,6,.455,3.92,68,1,17,0,0,7,64.1,49,30,28,12,30,1,81,1,0,3,269,107,4.49,1.228,6.9,1.7,4.2,11.3,2.70,,leasujo01
8,Mike Vasil,25,RP,2.9,5,3,.625,2.50,47,3,17,0,0,4,101.0,74,32,28,8,52,5,82,8,2,4,423,168,4.32,1.248,6.6,0.7,4.6,7.3,1.58,,vasilmi01
9,Brandon Eisert*,27,RP,0.4,3,8,.273,4.39,72,3,14,0,0,2,69.2,75,36,34,12,25,6,74,5,1,3,306,96,4.54,1.435,9.7,1.6,3.2,9.6,2.96,,eiserbr01
10,Steven Wilson,30,RP,1.2,2,2,.500,3.42,59,0,23,0,0,2,55.1,50,21,21,7,22,2,51,3,0,2,241,123,4.29,1.301,8.1,1.1,3.6,8.3,2.32,,wilsost02
11,Tyler Gilbert*,31,RP,0.5,4,2,.667,3.88,46,5,7,0,0,1,51.0,40,24,22,5,24,3,49,2,0,2,215,108,4.02,1.255,7.1,0.9,4.2,8.6,2.04,,gilbety01
12,Tyler Alexander*,30,,0.7,2,9,.182,4.26,31,1,5,0,0,0,61.1,65,31,29,6,18,5,52,1,1,1,259,99,3.64,1.353,9.5,0.9,2.6,7.6,2.89,,alexaty01
13,Martín Pérez*,34,,1.3,1,6,.143,3.54,11,10,0,0,0,0,56.0,40,23,22,6,22,0,44,2,0,0,228,119,4.24,1.107,6.4,1.0,3.5,7.1,2.00,,perezma02
14,Yoendrys Gómez,25,,0.1,2,2,.500,4.84,12,9,3,0,0,0,48.1,45,29,26,9,16,0,47,4,0,2,208,87,4.85,1.262,8.4,1.7,3.0,8.8,2.94,,gomezyo01
15,Bryse Wilson,27,,-0.7,0,2,.000,6.65,20,5,8,0,0,0,47.1,67,37,35,11,19,0,28,2,0,0,224,63,6.31,1.817,12.7,2.1,3.6,5.3,1.47,,wilsobr02
16,Grant Taylor,23,,0.0,2,4,.333,4.91,36,2,10,0,0,6,36.2,37,20,20,0,15,1,54,0,0,5,157,86,1.42,1.418,9.1,0.0,3.7,13.3,3.60,,taylogr02
17,Cam Booser*,33,,-0.5,2,4,.333,5.52,39,0,10,0,0,1,31.0,28,22,19,8,19,1,35,2,0,3,143,77,6.27,1.516,8.1,2.3,5.5,10.2,1.84,,booseca01
18,Dan Altavilla,32,,0.8,0,1,.000,2.48,28,0,13,0,0,2,29.0,19,9,8,4,15,0,21,4,0,1,120,170,5.45,1.172,5.9,1.2,4.7,6.5,1.40,,altavda01
19,Wikelman González,23,,0.2,1,0,1.000,2.66,16,0,6,0,0,0,20.1,13,9,6,1,12,0,25,0,0,0,87,160,3.09,1.230,5.8,0.4,5.3,11.1,2.08,,gonzawi02
