Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jose Trevino,32,C,-0.2,93,302,282,30,67,20,0,4,22,0,0,15,39,.238,.272,.351,.623,68,.278,63,99,9,0,1,4,0,2/D1H,,trevijo01
2,Spencer Steer,27,1B,0.6,146,568,509,66,121,21,2,21,75,7,1,51,129,.238,.312,.411,.723,94,.321,93,209,12,5,1,2,0,*3D7/H9,,steersp01
3,Matt McLain,25,2B,0.0,147,577,510,73,112,18,0,15,50,18,2,55,167,.220,.300,.343,.643,74,.297,72,175,8,5,3,4,0,*4/6HD,,mclaima01
4,Elly De La Cruz#,23,SS,3.6,162,699,629,102,166,31,7,22,86,37,8,67,181,.264,.336,.440,.777,109,.342,104,277,14,2,0,1,10,*6/DH,AS,delacel01
5,Santiago Espinal,30,3B,-1.4,114,328,301,25,73,12,0,0,16,2,1,21,38,.243,.292,.282,.575,57,.257,48,85,11,1,3,2,0,54H7/93D6,,espinsa01
6,Austin Hays,29,LF,0.8,103,416,380,60,101,16,5,15,64,7,0,29,107,.266,.315,.453,.768,105,.335,101,172,9,1,0,6,2,7D/H,,haysau01
7,TJ Friedl*,29,CF,2.3,152,685,579,82,151,22,2,14,53,12,3,81,115,.261,.364,.378,.742,102,.341,106,219,7,16,4,5,0,*8/DH,,friedtj01
8,Noelvi Marté,23,RF,1.4,90,360,339,45,89,17,2,14,51,10,3,16,85,.263,.300,.448,.748,99,.337,103,152,7,3,0,2,0,95/H8D,,marteno01
9,Gavin Lux*,27,DH,-0.2,140,503,446,49,120,28,2,5,53,1,0,56,114,.269,.350,.374,.724,97,.326,97,167,3,0,0,1,0,D74H/5,,luxga01
10,Tyler Stephenson,28,C,1.3,88,342,299,40,69,18,0,13,50,0,1,37,116,.231,.316,.421,.737,98,.327,99,126,4,2,0,4,1,2D/H,,stephty01
11,Will Benson*,27,OF,0.6,90,253,230,31,52,8,2,12,41,2,2,16,67,.226,.273,.435,.708,88,.301,81,100,4,1,0,6,1,97H8/D,,bensowi01
12,Jake Fraley*,30,RF,0.4,67,193,168,29,39,8,0,6,23,4,2,24,41,.232,.332,.387,.719,94,.324,96,65,1,1,0,0,1,9H/7D,,fraleja01
13,Ke'Bryan Hayes,28,3B,0.3,52,178,158,16,37,6,1,3,13,2,1,18,30,.234,.315,.342,.656,78,.299,79,54,4,1,0,1,0,5,,hayeske01
14,Christian Encarnacion-Strand,25,1B,-0.6,36,137,130,13,27,4,0,6,19,0,2,3,32,.208,.234,.377,.610,62,.254,52,49,1,2,0,2,0,3/5,,encarch01
15,Miguel Andujar,30,DH,0.6,34,110,103,14,37,7,0,4,17,0,0,6,19,.359,.400,.544,.944,153,.407,155,56,3,1,0,0,0,DH/37,,andujmi01
16,Jeimer Candelario#,31,CI,-0.9,22,91,80,3,9,2,0,2,10,0,1,9,29,.113,.198,.213,.410,12,.185,2,17,1,0,0,2,0,5/3D,,candeje01
17,Blake Dunn,26,OF,-0.1,30,75,60,10,9,2,0,1,7,1,1,8,25,.150,.320,.233,.553,54,.270,60,14,1,7,0,0,0,97/8HD,,dunnbl01
18,Connor Joe,32,UT,-0.5,35,70,61,2,13,4,0,0,4,2,2,6,14,.213,.286,.279,.564,54,.249,48,17,2,1,0,2,0,97H/3D8,,joeco01
19,Sal Stewart,21,CI,0.5,18,58,55,11,14,1,0,5,8,0,0,3,15,.255,.293,.545,.839,121,.351,115,30,1,0,0,0,0,3/5H,,stewasa02
20,Rece Hinds,24,RF,-0.4,15,44,43,6,5,1,0,2,3,0,0,1,21,.116,.136,.279,.415,9,.175,-9,12,1,0,0,0,0,9/H,,hindsre01
21,Austin Wynns,34,C,0.7,18,43,40,6,16,3,0,3,11,0,0,3,12,.400,.442,.700,1.142,203,.482,208,28,1,0,0,0,0,2/H3D,,wynnsau01
22,Garrett Hampson,30,UT,-0.2,9,19,18,0,3,1,0,0,0,0,0,1,6,.167,.211,.222,.433,18,.187,-1,4,1,0,0,0,0,/748H56D,,hampsga01
23,Jacob Hurtubise*,27,LF,-0.1,12,15,12,3,1,0,0,0,0,0,0,1,6,.083,.267,.083,.350,2,.204,10,1,0,2,0,0,0,/H79,,hurtuja01
24,Will Banfield,25,C,-0.2,7,10,10,0,1,0,0,0,0,0,0,0,6,.100,.100,.100,.200,-45,.090,-70,1,1,0,0,0,0,/2,,banfiwi01
25,Tyler Callihan*,25,UT,-0.2,4,6,6,0,1,0,0,0,1,0,0,0,1,.167,.167,.167,.333,-9,.150,-27,1,0,0,0,0,0,/74,,callity01
26,Ryan Vilade,26,LF,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/7,,viladry01
,Team Totals,,,8.1,162,6082,5448,716,1333,250,23,167,677,105,30,527,1415,.245,.315,.391,.706,90,.315,88,2130,106,51,12,44,15,,,-9999
