Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Brady Singer,28,SP,3.1,14,12,.538,4.03,32,32,0,0,0,0,169.2,150,80,76,19,60,0,163,14,0,3,716,113,3.98,1.238,8.0,1.0,3.2,8.6,2.72,,singebr01
2,Andrew Abbott*,26,SP,5.6,10,7,.588,2.87,29,29,0,1,1,0,166.1,148,60,53,19,43,0,149,3,0,4,684,159,3.66,1.148,8.0,1.0,2.3,8.1,3.47,AS,abbotan01
3,Nick Martinez,34,SP,2.3,11,14,.440,4.45,40,26,2,0,0,0,165.2,158,86,82,22,42,1,116,6,0,6,683,103,4.33,1.207,8.6,1.2,2.3,6.3,2.76,,martini01
4,Nick Lodolo*,27,SP,4.9,9,8,.529,3.33,29,28,0,2,1,0,156.2,138,60,58,22,31,1,156,13,1,2,642,137,3.81,1.079,7.9,1.3,1.8,9.0,5.03,,lodolni01
5,Hunter Greene,25,SP,4.4,7,4,.636,2.76,19,19,0,1,1,0,107.2,75,35,33,15,26,0,132,2,0,5,420,166,3.28,0.938,6.3,1.3,2.2,11.0,5.08,,greenhu01
6,Emilio Pagán,34,CL,2.0,2,4,.333,2.88,70,0,56,0,0,32,68.2,41,26,22,10,22,0,81,2,1,1,270,159,3.72,0.917,5.4,1.3,2.9,10.6,3.68,,paganem01
7,Tony Santillan,28,RP,3.0,1,5,.167,2.44,80,0,16,0,0,7,73.2,53,23,20,7,29,0,75,5,0,4,301,188,3.72,1.113,6.5,0.9,3.5,9.2,2.59,,santito01
8,Scott Barlow,32,RP,0.7,6,3,.667,4.21,75,1,8,0,0,1,68.1,50,35,32,8,45,3,75,6,0,2,303,109,4.70,1.390,6.6,1.1,5.9,9.9,1.67,,barlosc01
9,Brent Suter*,35,RP,0.3,1,2,.333,4.52,48,3,19,0,0,0,67.2,69,38,34,11,18,1,53,2,0,2,291,101,4.57,1.286,9.2,1.5,2.4,7.0,2.94,,suterbr01
10,Graham Ashcraft,27,RP,0.3,8,5,.615,3.99,62,0,5,0,0,0,65.1,68,37,29,2,25,0,64,0,0,5,284,115,2.72,1.423,9.4,0.3,3.4,8.8,2.56,,ashcrgr01
11,Zack Littell,29,,0.8,2,0,1.000,4.39,10,10,0,0,0,0,53.1,46,28,26,10,11,0,41,2,0,1,222,105,4.77,1.069,7.8,1.7,1.9,6.9,3.73,,litteza01
12,Chase Burns,22,,0.2,0,3,.000,4.57,13,8,1,0,0,0,43.1,41,25,22,5,16,0,67,0,0,0,188,101,2.65,1.315,8.5,1.0,3.3,13.9,4.19,,burnsch01
13,Lyon Richardson,25,,-0.2,0,3,.000,4.54,34,0,11,0,0,0,37.2,37,25,19,2,21,4,30,2,0,0,172,101,4.07,1.540,8.8,0.5,5.0,7.2,1.43,,richaly01
14,Taylor Rogers*,34,,0.5,2,2,.500,2.45,40,0,4,0,0,0,33.0,29,15,9,3,19,2,34,2,0,0,146,188,4.17,1.455,7.9,0.8,5.2,9.3,1.79,,rogerta01
