Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Bo Naylor*,25,C,1.4,123,414,359,46,70,22,1,14,47,1,2,45,99,.195,.282,.379,.661,82,.289,80,136,4,1,3,6,0,*2H,,naylobo01
2,Carlos Santana#,39,1B,1.3,116,455,396,49,89,10,0,11,52,7,0,52,86,.225,.316,.333,.650,82,.296,82,132,7,3,0,4,1,3D/H5,,santaca01
3,Daniel Schneemann*,28,2B,1.9,131,422,379,48,78,18,1,12,41,9,3,38,117,.206,.283,.354,.636,76,.288,77,134,4,3,1,1,1,458H96/7D,,schneda04
4,Gabriel Arias,25,SS,1.1,129,471,432,44,95,25,2,11,54,8,4,27,162,.220,.274,.363,.638,76,.277,70,157,8,7,1,4,1,64/5H,,ariasga01
5,José Ramírez#,32,3B,5.8,158,673,593,103,168,34,3,30,85,44,7,66,74,.283,.360,.503,.863,137,.372,134,298,9,8,0,5,22,*5D,AS,ramirjo01
6,Steven Kwan*,27,LF,3.7,156,693,625,81,170,29,1,11,56,21,5,55,60,.272,.330,.374,.705,96,.312,94,234,3,3,3,7,2,*7/D8,AS,kwanst01
7,Ángel Martínez#,23,CF,-0.7,139,484,446,56,100,23,2,11,45,8,2,23,110,.224,.269,.359,.628,73,.275,68,160,8,6,5,4,0,*84H/97,,martian02
8,Nolan Jones*,27,RF,-1.1,136,403,355,34,75,14,2,5,34,8,3,39,113,.211,.296,.304,.600,68,.272,66,108,6,5,1,3,1,*98H7/D,,jonesno01
9,Kyle Manzardo*,24,DH,0.4,142,531,470,47,110,19,2,27,70,2,0,48,135,.234,.313,.455,.768,110,.331,109,214,7,8,0,5,2,D3H,,manzaky01
10,Brayan Rocchio#,24,MI,-0.2,115,383,344,34,80,18,2,5,44,8,4,22,77,.233,.290,.340,.630,75,.278,71,117,4,8,4,5,0,64/H,,rocchbr01
11,Austin Hedges,32,C,-0.3,68,180,155,13,25,3,0,5,10,1,2,18,43,.161,.250,.277,.527,47,.233,40,43,2,1,4,2,0,2/1,,hedgeau01
12,David Fry,29,DH,-0.8,66,157,146,16,25,4,0,8,23,1,0,9,58,.171,.229,.363,.592,61,.256,54,53,3,2,0,0,0,DH,,fryda01
13,Jhonkensy Noel,23,RF,-1.3,69,153,148,19,24,2,0,6,13,0,0,4,52,.162,.183,.297,.480,31,.211,22,44,4,0,0,1,0,9H/37D,,noeljh01
14,Lane Thomas,29,CF,-0.6,39,142,125,10,20,2,0,4,11,4,1,14,44,.160,.246,.272,.518,45,.242,43,34,4,1,0,2,0,8/H9D,,thomala02
15,C.J. Kayfus*,23,UT,0.1,44,138,123,16,27,10,1,4,19,4,0,11,38,.220,.292,.415,.707,94,.311,90,51,0,2,1,1,0,93/HD,,kayfucj01
16,Will Wilson,26,IF,-0.5,34,91,78,7,15,4,0,0,2,2,0,7,34,.192,.267,.244,.511,44,.238,34,19,1,1,5,0,0,45/H1D,,wilsowi03
17,Johnathan Rodríguez,25,RF,-0.5,31,77,71,6,14,4,1,2,10,1,0,6,22,.197,.260,.366,.626,72,.286,75,26,2,0,0,0,0,9/H7D,,rodrijo10
18,George Valera*,24,DH,-0.1,16,48,41,7,9,2,0,2,5,0,0,7,13,.220,.333,.415,.748,107,.328,108,17,1,0,0,0,0,D/9H,,valerge01
19,Will Brennan*,27,OF,-0.2,6,13,11,0,1,0,0,0,0,0,1,1,1,.091,.231,.091,.322,-5,.131,-7,1,1,1,0,0,0,/98H,,brennwi02
20,Petey Halpin*,23,OF,0.1,6,8,6,5,2,0,0,0,0,0,0,2,2,.333,.500,.333,.833,140,.382,147,2,0,0,0,0,0,/8H7,,halpipe01
21,Dom Nuñez*,30,C,0.0,2,7,7,2,2,0,0,0,0,0,0,0,4,.286,.286,.286,.571,60,.226,34,2,0,0,0,0,0,/2,,nunezdo01
22,Tim Herrin*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,herriti01
23,Matt Festa,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,festama01
24,Emmanuel Clase,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,claseem01
,Team Totals,,,9.4,162,5943,5310,643,1199,243,18,168,621,129,34,494,1344,.226,.296,.373,.670,85,.295,82,1982,78,60,28,50,30,,,-9999
