Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Tanner Bibee,26,SP,1.1,12,11,.522,4.24,31,31,0,2,1,0,182.1,170,93,86,27,54,1,162,10,1,3,762,99,4.34,1.229,8.4,1.3,2.7,8.0,3.00,,bibeeta01
2,Gavin Williams,25,SP,3.8,12,5,.706,3.06,31,31,0,0,0,0,167.2,130,62,57,23,83,0,173,3,1,9,704,137,4.39,1.270,7.0,1.2,4.5,9.3,2.08,,williga01
3,Logan Allen*,26,SP,0.4,8,11,.421,4.25,30,29,0,0,0,0,156.2,157,84,74,18,62,1,122,6,0,4,676,98,4.37,1.398,9.0,1.0,3.6,7.0,1.97,,allenlo02
4,Slade Cecconi,26,SP,0.8,7,7,.500,4.30,23,23,0,0,0,0,132.0,125,66,63,24,32,1,109,3,1,3,545,98,4.64,1.189,8.5,1.6,2.2,7.4,3.41,,ceccosl01
5,Luis Ortiz,26,SP,0.6,4,9,.308,4.36,16,16,0,0,0,0,88.2,80,44,43,12,42,0,96,1,0,0,382,96,4.18,1.376,8.1,1.2,4.3,9.7,2.29,,ortizlu03
6,Emmanuel Clase,27,CL,0.7,5,3,.625,3.23,48,0,41,0,0,24,47.1,46,20,17,2,12,2,47,4,0,4,201,130,2.71,1.225,8.7,0.4,2.3,8.9,3.92,,claseem01
7,Cade Smith,26,RP,0.9,8,5,.615,2.93,76,0,30,0,0,16,73.2,55,31,24,4,19,3,104,4,2,3,300,143,1.96,1.005,6.7,0.5,2.3,12.7,5.47,,smithca06
8,Jakob Junis,32,RP,0.9,4,1,.800,2.97,57,0,9,0,0,0,66.2,64,24,22,5,18,2,55,4,0,0,274,141,3.45,1.230,8.6,0.7,2.4,7.4,3.06,,junisja01
9,Hunter Gaddis,27,RP,1.1,2,2,.500,3.11,73,0,8,0,0,3,66.2,58,24,23,8,21,2,73,1,0,2,274,135,3.50,1.185,7.8,1.1,2.8,9.9,3.48,,gaddihu01
10,Matt Festa,32,RP,-0.2,5,4,.556,4.12,63,0,5,0,0,0,54.2,44,29,25,4,15,2,56,5,1,1,226,102,3.14,1.079,7.2,0.7,2.5,9.2,3.73,,festama01
11,Joey Cantillo*,25,,1.4,5,3,.625,3.21,34,13,10,0,0,1,95.1,78,39,34,10,42,0,108,0,0,2,401,131,3.56,1.259,7.4,0.9,4.0,10.2,2.57,,cantijo01
12,Kolby Allard*,27,,1.3,2,2,.500,2.63,33,2,16,0,0,0,65.0,64,22,19,5,14,3,42,1,0,0,266,160,3.54,1.200,8.9,0.7,1.9,5.8,3.00,,allarko01
13,Ben Lively,33,,0.8,2,2,.500,3.22,9,9,0,0,0,0,44.2,38,16,16,6,15,0,29,0,0,0,178,131,4.59,1.187,7.7,1.2,3.0,5.8,1.93,,livelbe01
14,Tim Herrin*,28,,-0.2,5,4,.556,4.85,54,0,4,0,0,0,42.2,37,23,23,5,30,2,45,6,0,2,194,87,5.08,1.570,7.8,1.1,6.3,9.5,1.50,,herriti01
15,Parker Messick*,24,,1.2,3,1,.750,2.72,7,7,0,0,0,0,39.2,46,12,12,4,6,0,38,0,1,2,165,155,2.98,1.311,10.4,0.9,1.4,8.6,6.33,,messipa01
16,Nic Enright,28,,1.0,2,1,.667,2.03,27,0,8,0,0,1,31.0,24,8,7,3,12,0,30,2,1,0,127,208,3.81,1.161,7.0,0.9,3.5,8.7,2.50,,enrigni01
