Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Hunter Goodman,25,C,3.7,144,579,540,73,150,28,5,31,91,1,2,33,152,.278,.323,.520,.843,120,.367,124,281,16,4,0,2,0,2D/H,AS,goodmhu01
2,Michael Toglia#,26,1B,-1.7,88,337,306,22,58,15,1,11,32,3,0,28,132,.190,.258,.353,.611,61,.272,54,108,7,1,0,2,2,3/DH,,toglimi01
3,Thairo Estrada,29,2B,-0.4,39,165,154,14,39,9,0,3,21,1,3,6,26,.253,.285,.370,.655,73,.286,72,57,6,2,0,3,0,4,,estrath01
4,Ezequiel Tovar,23,SS,0.7,95,390,360,44,91,18,4,9,33,5,3,21,98,.253,.294,.400,.694,83,.305,80,144,2,1,6,2,0,6,,tovarez01
5,Ryan McMahon*,30,3B,1.2,100,401,350,42,76,15,1,16,35,2,1,49,127,.217,.314,.403,.717,90,.314,86,141,4,1,0,1,1,5/HD,,mcmahry01
6,Jordan Beck,24,LF,0.9,148,588,539,62,139,27,5,16,53,19,8,43,174,.258,.317,.416,.732,94,.327,94,224,9,4,0,1,0,*7H/D8,,beckjo01
7,Brenton Doyle,27,CF,0.3,138,538,502,57,118,23,2,15,57,18,2,30,138,.235,.276,.378,.655,73,.296,69,190,14,0,2,4,0,*8/HD,,doylebr02
8,Mickey Moniak*,27,RF,-0.6,135,461,434,62,117,20,8,24,68,9,3,22,110,.270,.306,.518,.824,115,.349,110,225,4,2,0,3,1,*98H7D,,moniami01
9,Tyler Freeman,26,DH,-1.3,110,428,377,50,106,20,2,2,31,18,9,34,51,.281,.354,.361,.715,92,.324,93,136,10,11,2,4,0,9D4H/57,,freemty01
10,Kyle Farmer,34,IF,-0.8,97,300,277,24,63,14,0,8,31,0,1,17,66,.227,.280,.365,.645,71,.288,68,101,9,4,0,2,0,4D3H65/1,,farmeky01
11,Ryan Ritter,24,MI,0.3,60,207,187,22,45,9,3,1,18,3,1,10,61,.241,.296,.337,.632,69,.290,67,63,7,5,4,1,0,64/H,,rittery01
12,Orlando Arcia,30,IF,-1.1,62,182,172,12,35,6,1,3,12,0,1,9,39,.203,.242,.302,.544,44,.245,39,52,4,0,0,1,0,4563/HD,,arciaor01
13,Kyle Karros,22,3B,0.0,43,156,137,20,31,4,0,1,9,0,0,15,41,.226,.308,.277,.585,58,.274,57,38,5,2,0,2,0,5/DH,,karroky01
14,Yanquiel Fernández*,22,DH,-0.9,52,147,138,13,31,5,0,4,11,0,0,8,44,.225,.265,.348,.613,62,.269,54,48,4,0,0,1,0,D9/H7,,fernaya01
15,Warming Bernabel,23,1B,0.0,40,146,139,15,35,8,1,4,14,1,1,7,25,.252,.288,.410,.698,84,.311,85,57,2,0,0,0,0,3/5DH,,bernawa01
16,Adael Amador#,22,2B,-1.1,41,128,113,5,20,7,0,1,10,1,1,11,27,.177,.256,.265,.521,40,.244,36,30,2,1,3,0,0,4/H,,amadoad01
17,Braxton Fulford,26,C,-0.2,38,120,108,11,23,5,2,1,16,1,0,7,36,.213,.267,.324,.591,57,.262,47,35,1,2,0,3,0,2/DH,,fulfobr01
18,Nick Martini*,35,DH,-0.2,43,111,102,9,23,4,0,1,4,0,0,9,18,.225,.288,.294,.582,56,.267,52,30,1,0,0,0,1,D9H/7,,martini02
19,Jacob Stallings,35,C,-0.9,28,93,84,4,12,3,0,0,6,0,0,5,31,.143,.217,.179,.396,8,.188,-4,15,1,3,1,0,0,2/1H,,stallja01
20,Sean Bouchard,29,UT,-0.9,32,73,66,7,11,0,1,1,7,1,1,7,27,.167,.247,.242,.489,32,.235,32,16,2,0,0,0,0,9H/D73,,bouchse01
21,Sam Hilliard*,31,OF,-0.2,20,61,51,8,10,3,1,2,3,2,1,10,23,.196,.328,.412,.740,96,.325,94,21,1,0,0,0,0,/7H89D,,hillisa01
22,Blaine Crim,28,1B,0.3,15,61,54,9,13,2,0,5,12,0,0,5,22,.241,.295,.556,.851,120,.351,112,30,0,0,0,2,0,3/D,,crimbl01
23,Alan Trejo,29,SS,-0.4,13,43,40,3,7,2,0,0,1,0,0,1,7,.175,.190,.225,.415,11,.183,-9,9,3,0,1,1,0,6/1,,trejoal01
24,Austin Nola,35,C,-0.2,14,41,38,2,7,1,0,0,1,0,0,2,5,.184,.225,.211,.436,18,.199,2,8,2,0,1,0,0,2/13DH,,nolaau01
25,Kris Bryant,33,DH,-0.5,11,41,39,2,6,2,0,0,1,0,0,2,13,.154,.195,.205,.400,7,.183,-7,8,1,0,0,0,0,D/H,,bryankr01
26,Zac Veen*,23,OF,-0.3,12,37,34,1,4,1,0,1,2,1,1,2,14,.118,.189,.235,.424,13,.182,-2,8,0,1,0,0,0,/79H,,veenza01
27,Aaron Schunk,27,IF,-0.3,16,33,32,1,6,1,0,0,0,0,0,0,10,.188,.188,.219,.406,8,.180,-13,7,1,0,1,0,0,/64H5D,,schunaa01
28,Keston Hiura,28,1B,0.0,8,21,18,3,4,1,0,0,1,0,0,0,7,.222,.333,.278,.611,66,.292,70,5,0,3,0,0,0,/3,,hiurake01
29,Owen Miller,28,IF,0.0,9,17,14,0,2,0,0,0,1,1,0,2,4,.143,.294,.143,.437,22,.245,27,2,0,1,0,0,0,/4H5D,,milleow01
30,Drew Romo#,23,DH,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/H2D,,romodr01
31,Zach Agnos,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,agnosza01
32,Juan Mejia,24,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mejiaju01
33,Seth Halvorsen,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,halvose01
34,Angel Chivilli,22,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,chivian01
35,Jake Bird,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,birdja01
36,Victor Vodnik,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,vodnivi01
,Team Totals,,,-4.8,162,5908,5408,597,1282,253,37,160,581,87,39,395,1531,.237,.293,.386,.679,80,.302,77,2089,118,48,21,35,5,,,-9999
