Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Kyle Freeland*,32,SP,1.3,5,17,.227,4.98,31,31,0,0,0,0,162.2,193,105,90,22,38,2,124,6,0,2,709,98,4.18,1.420,10.7,1.2,2.1,6.9,3.26,,freelky01
2,Antonio Senzatela,30,SP,-0.5,4,15,.211,6.65,30,23,0,0,0,0,130.0,192,103,96,22,47,2,73,8,1,9,618,73,5.48,1.838,13.3,1.5,3.3,5.1,1.55,,senzaan01
3,Germán Márquez,30,SP,-1.2,3,16,.158,6.70,26,26,0,0,0,0,126.1,168,106,94,23,48,1,83,6,0,6,591,73,5.47,1.710,12.0,1.6,3.4,5.9,1.73,,marquge01
4,Chase Dollander,23,SP,-0.3,2,12,.143,6.52,21,21,0,0,0,0,98.0,103,76,71,18,49,0,82,6,0,2,441,75,5.53,1.551,9.5,1.7,4.5,7.5,1.67,,dollach01
5,Tanner Gordon,27,SP,-0.1,6,8,.429,6.33,15,15,0,0,0,0,75.1,96,60,53,16,17,0,62,3,1,1,337,77,5.05,1.500,11.5,1.9,2.0,7.4,3.65,,gordota01
6,Bradley Blalock,24,SP,-1.6,2,6,.250,9.36,14,12,2,0,0,0,58.2,85,61,61,17,23,1,27,3,0,2,275,52,7.31,1.841,13.0,2.6,3.5,4.1,1.17,,blalobr01
7,Seth Halvorsen,25,CL,0.2,1,2,.333,4.99,42,0,23,0,0,11,39.2,41,26,22,7,21,1,36,0,0,3,173,98,5.20,1.563,9.3,1.6,4.8,8.2,1.71,,halvose01
8,Jimmy Herget,31,RP,3.0,1,2,.333,2.48,59,0,9,0,0,0,83.1,72,24,23,6,26,1,81,7,2,2,347,196,3.32,1.176,7.8,0.6,2.8,8.7,3.12,,hergeji01
9,Juan Mejia,24,RP,0.6,2,2,.500,3.96,55,0,16,0,0,1,61.1,52,34,27,6,25,1,68,6,0,2,261,123,3.71,1.255,7.6,0.9,3.7,10.0,2.72,,mejiaju01
10,Victor Vodnik,25,RP,1.8,4,3,.571,3.02,52,0,31,0,0,10,50.2,45,19,17,4,26,2,49,0,0,4,215,162,3.77,1.401,8.0,0.7,4.6,8.7,1.88,,vodnivi01
11,Tyler Kinley,34,RP,0.1,1,3,.250,5.66,49,0,15,0,0,3,47.2,42,33,30,5,27,4,51,2,0,5,214,86,4.18,1.448,7.9,0.9,5.1,9.6,1.89,,kinlety01
12,Angel Chivilli,22,,-0.7,1,5,.167,7.06,43,0,7,0,0,0,58.2,76,49,46,13,23,1,43,6,0,4,275,69,6.03,1.688,11.7,2.0,3.5,6.6,1.87,,chivian01
13,Austin Gomber*,31,,-0.7,0,7,.000,7.49,12,12,0,0,0,0,57.2,82,51,48,16,17,0,34,1,0,4,272,65,6.50,1.717,12.8,2.5,2.7,5.3,2.00,,gombeau01
14,Jake Bird,29,,0.5,4,1,.800,4.73,45,0,5,0,0,0,53.1,56,30,28,5,23,3,62,3,0,4,236,103,3.49,1.481,9.5,0.8,3.9,10.5,2.70,,birdja01
15,Ryan Rolison*,27,,-0.3,1,0,1.000,7.02,31,1,10,0,0,0,42.1,55,35,33,11,20,0,25,0,1,1,193,70,6.75,1.772,11.7,2.3,4.3,5.3,1.25,,rolisry01
16,Anthony Molina,23,,-0.3,1,1,.500,7.27,17,1,5,0,0,0,34.2,52,30,28,12,6,0,24,2,1,1,160,67,6.94,1.673,13.5,3.1,1.6,6.2,4.00,,molinan01
17,Carson Palmquist*,24,,-0.8,0,4,.000,8.91,9,7,0,0,0,0,34.1,45,35,34,10,25,0,27,3,0,1,175,55,7.80,2.039,11.8,2.6,6.6,7.1,1.08,,palmqca01
18,Zach Agnos,24,,-0.4,1,3,.250,6.61,30,0,14,0,0,4,31.1,31,25,23,5,17,0,19,0,0,2,138,74,5.63,1.532,8.9,1.4,4.9,5.5,1.12,,agnosza01
19,Ryan Feltner,28,,0.6,0,2,.000,4.75,6,6,0,0,0,0,30.1,33,17,16,4,12,0,25,0,0,0,135,103,4.39,1.484,9.8,1.2,3.6,7.4,2.08,,feltnry01
20,Jaden Hill,25,,0.5,1,1,.500,3.38,28,0,7,0,0,0,29.1,27,14,11,2,12,0,31,3,0,3,129,145,3.44,1.330,8.3,0.6,3.7,9.5,2.58,,hillja01
21,McCade Brown,24,,-0.2,0,5,.000,7.36,7,7,0,0,0,0,25.2,30,21,21,6,17,0,23,5,0,1,126,67,6.95,1.831,10.5,2.1,6.0,8.1,1.35,,brownmc01
22,Luis Peralta*,24,,-0.8,1,3,.250,9.47,22,0,2,0,0,0,19.0,26,22,20,6,18,0,16,2,1,1,101,52,8.71,2.316,12.3,2.8,8.5,7.6,0.89,,perallu01
23,Scott Alexander*,35,,0.0,1,1,.500,6.06,19,0,4,0,0,0,16.1,20,11,11,4,7,0,6,1,0,0,72,82,7.05,1.653,11.0,2.2,3.9,3.3,0.86,,alexasc02
24,Nick Anderson,34,,0.0,0,0,,6.14,12,0,2,0,0,0,14.2,17,10,10,3,2,0,10,0,0,0,61,81,4.84,1.295,10.4,1.8,1.2,6.1,5.00,,anderni01
