Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Tarik Skubal*,28,SP,6.6,13,6,.684,2.21,31,31,0,1,1,0,195.1,141,55,48,18,33,0,241,5,2,3,748,187,2.45,0.891,6.5,0.8,1.5,11.1,7.30,AS,skubata01
2,Jack Flaherty,29,SP,0.9,8,15,.348,4.64,31,31,0,0,0,0,161.0,147,85,83,23,59,1,188,5,0,4,681,89,3.85,1.280,8.2,1.3,3.3,10.5,3.19,,flaheja01
3,Casey Mize,28,SP,1.7,14,6,.700,3.87,28,28,0,0,0,0,149.0,153,68,64,21,36,1,139,3,0,2,627,107,3.89,1.268,9.2,1.3,2.2,8.4,3.86,AS,mizeca01
4,Keider Montero,24,SP,0.7,5,3,.625,4.37,20,12,1,0,0,0,90.2,95,46,44,16,31,0,72,2,0,2,389,95,4.93,1.390,9.4,1.6,3.1,7.1,2.32,,monteke01
5,Reese Olson,25,SP,1.7,4,4,.500,3.15,13,13,0,0,0,0,68.2,58,24,24,5,25,2,65,5,0,2,285,132,3.50,1.209,7.6,0.7,3.3,8.5,2.60,,olsonre01
6,Will Vest,30,CL,1.7,6,5,.545,3.01,64,0,40,0,0,23,68.2,61,26,23,4,22,1,75,1,0,4,284,138,2.71,1.209,8.0,0.5,2.9,9.8,3.41,,vestwi01
7,Tyler Holton*,29,RP,0.8,6,5,.545,3.66,70,6,6,0,0,0,78.2,65,34,32,15,17,1,64,0,0,3,312,113,4.64,1.042,7.4,1.7,1.9,7.3,3.76,,holtoty01
8,Tommy Kahnle,35,RP,-0.1,1,5,.167,4.43,66,0,16,0,0,9,63.0,51,32,31,8,31,0,50,1,0,3,267,94,4.72,1.302,7.3,1.1,4.4,7.1,1.61,,kahnlto01
9,Brant Hurter*,26,RP,0.7,4,3,.571,2.43,43,4,5,0,0,2,63.0,57,26,17,4,27,3,68,11,0,2,277,171,3.61,1.333,8.1,0.6,3.9,9.7,2.52,,hurtebr01
10,Brenan Hanifee,27,RP,0.0,3,3,.500,3.00,54,0,11,0,0,0,60.0,65,31,20,3,14,2,40,2,0,2,260,139,3.25,1.317,9.8,0.5,2.1,6.0,2.86,,hanifbr01
11,Jackson Jobe,22,,0.4,4,1,.800,4.22,10,10,0,0,0,0,49.0,46,24,23,7,27,0,39,2,0,1,218,99,5.18,1.490,8.4,1.3,5.0,7.2,1.44,,jobeja01
12,Chris Paddack,29,,-0.6,2,3,.400,6.32,12,7,3,0,0,1,47.0,51,33,33,14,10,0,29,0,0,2,198,66,6.41,1.298,9.8,2.7,1.9,5.6,2.90,,paddach01
13,Troy Melton,24,,1.0,3,2,.600,2.76,16,4,0,0,0,0,45.2,31,15,14,7,15,0,36,1,0,2,180,151,4.60,1.007,6.1,1.4,3.0,7.1,2.40,,meltotr01
14,Charlie Morton,41,,-0.8,2,3,.400,7.09,9,9,0,0,0,0,39.1,40,31,31,7,23,1,47,5,1,2,184,59,5.20,1.602,9.2,1.6,5.3,10.8,2.04,,mortoch02
15,Chase Lee,26,,0.2,4,1,.800,4.10,32,0,7,0,0,0,37.1,32,17,17,7,9,1,36,2,0,0,148,102,4.53,1.098,7.7,1.7,2.2,8.7,4.00,,leech02
16,Sawyer Gipson-Long,27,,-0.9,0,2,.000,7.18,8,3,0,0,0,0,31.1,34,26,25,8,6,0,26,2,0,3,133,58,5.56,1.277,9.8,2.3,1.7,7.5,4.33,,gipsosa01
17,Rafael Montero,34,,0.2,1,1,.500,2.86,20,0,10,0,0,0,22.0,12,10,7,2,14,0,19,0,0,0,87,147,4.50,1.182,4.9,0.8,5.7,7.8,1.36,,montera01
18,Beau Brieske,27,,-0.8,1,3,.250,6.55,22,1,9,0,0,1,22.0,24,20,16,5,12,1,16,0,0,2,103,64,6.27,1.636,9.8,2.0,4.9,6.5,1.33,,briesbe01
19,John Brebbia,35,,-0.6,1,0,1.000,7.71,19,0,11,0,0,0,18.2,22,18,16,3,11,0,20,3,0,2,93,55,5.33,1.768,10.6,1.4,5.3,9.6,1.82,,brebbjo01
20,Kyle Finnegan,33,,0.8,3,0,1.000,1.50,16,0,4,0,0,4,18.0,9,3,3,1,4,0,23,0,0,1,66,281,1.97,0.722,4.5,0.5,2.0,11.5,5.75,,finneky01
21,Dietrich Enns*,34,,-0.2,1,1,.500,5.60,7,2,2,0,0,0,17.2,23,12,11,2,4,0,15,0,0,0,77,75,3.59,1.528,11.7,1.0,2.0,7.6,3.75,,ennsdi01
22,Dylan Smith,25,,0.3,1,0,1.000,1.38,7,0,5,0,0,0,13.0,6,2,2,0,5,0,4,3,0,0,48,307,4.37,0.846,4.2,0.0,3.5,2.8,0.80,,smithdy01
23,Bailey Horn*,27,,0.4,0,1,.000,1.59,10,0,2,0,0,0,11.1,11,2,2,1,7,0,10,0,0,1,50,269,4.37,1.588,8.7,0.8,5.6,7.9,1.43,,hornba01
24,Carlos Hernández,28,,-0.4,0,0,,10.13,11,0,4,0,0,0,10.2,14,13,12,0,6,0,13,0,0,4,53,42,2.39,1.875,11.8,0.0,5.1,11.0,2.17,,hernaca04
25,Sean Guenther*,29,,-0.1,0,1,.000,5.23,9,1,0,0,0,0,10.1,10,7,6,0,5,0,8,0,0,0,43,82,3.04,1.452,8.7,0.0,4.4,7.0,1.60,,guentse01
26,Kenta Maeda,37,,-0.2,0,0,,7.88,7,0,5,0,0,0,8.0,9,8,7,1,6,0,8,3,0,2,43,55,6.14,1.875,10.1,1.1,6.8,9.0,1.33,,maedake01
27,Matt Gage*,32,,0.2,0,0,,0.00,6,0,2,0,0,0,5.2,7,0,0,0,2,0,3,0,0,0,25,,3.14,1.588,11.1,0.0,3.2,4.8,1.50,,gagema01
28,Luke Jackson,33,,-0.1,0,0,,7.71,3,0,2,0,0,0,4.2,3,4,4,0,5,0,4,0,0,0,22,58,4.64,1.714,5.8,0.0,9.6,7.7,0.80,,jackslu01
