Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Yainer Diaz,26,C,2.7,143,567,542,56,139,25,1,20,70,1,1,20,95,.256,.284,.417,.701,92,.309,94,226,13,2,0,3,2,*2D/H,,diazya02
2,Christian Walker,34,1B,0.2,154,640,585,72,139,24,1,27,88,2,1,40,177,.238,.297,.421,.717,97,.312,96,246,10,11,0,4,1,*3/DH,,walkech02
3,Jose Altuve,35,2B,0.5,155,654,588,80,156,24,1,26,77,10,6,55,109,.265,.329,.442,.771,112,.331,110,260,20,4,1,6,5,4D7/H,,altuvjo01
4,Jeremy Peña,27,SS,5.6,125,543,493,68,150,30,2,17,62,20,2,35,93,.304,.363,.477,.840,132,.368,132,235,9,12,1,2,2,*6/HD,AS,penaje02
5,Isaac Paredes,26,3B,2.3,102,438,378,53,96,15,1,20,53,0,1,50,76,.254,.352,.458,.809,123,.353,127,173,10,8,0,2,0,5D/H,AS,paredis01
6,Cooper Hummel#,30,LF,-0.7,36,104,87,10,15,0,0,3,7,1,0,14,30,.172,.301,.276,.577,63,.272,65,24,1,2,1,0,0,7H/D1,,hummeco01
7,Jake Meyers,29,CF,2.5,104,381,343,53,100,15,2,3,24,16,5,31,67,.292,.354,.373,.727,103,.333,109,128,9,3,2,2,0,8/H,,meyerja02
8,Cam Smith,22,RF,1.9,134,493,441,55,104,21,3,9,51,8,1,43,137,.236,.312,.358,.671,87,.304,88,158,11,7,0,2,0,*9H/D,,smithca07
9,Yordan Alvarez*,28,DH,0.7,48,199,165,17,45,8,0,6,27,1,1,28,33,.273,.367,.430,.797,121,.339,117,71,1,0,0,6,5,D7/H,,alvaryo01
10,Mauricio Dubón,30,UT,1.8,133,398,369,43,89,21,0,7,33,3,0,24,42,.241,.289,.355,.644,78,.281,72,131,12,1,3,1,0,74658H/39,,dubonma01
