Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Framber Valdez*,31,SP,3.8,13,11,.542,3.66,31,31,0,2,0,0,192.0,171,82,78,15,68,0,187,7,1,12,802,114,3.38,1.245,8.0,0.7,3.2,8.8,2.75,,valdefr01
2,Hunter Brown,26,SP,6.1,12,9,.571,2.43,31,31,0,1,0,0,185.1,133,55,50,17,57,1,206,7,1,0,729,172,3.14,1.025,6.5,0.8,2.8,10.0,3.61,AS,brownhu01
3,Ryan Gusto,26,SP,0.2,7,4,.636,4.92,24,14,2,0,0,0,86.0,95,50,47,13,28,0,87,3,0,0,379,85,4.16,1.430,9.9,1.4,2.9,9.1,3.11,,gustory01
4,Colton Gordon*,26,SP,-0.4,6,4,.600,5.34,20,14,2,0,0,1,86.0,103,54,51,21,19,2,72,2,1,3,379,79,5.37,1.419,10.8,2.2,2.0,7.5,3.79,,gordoco01
5,Jason Alexander,32,SP,1.2,4,2,.667,3.66,14,13,1,0,0,1,71.1,68,32,29,12,21,0,60,3,0,1,301,115,4.65,1.248,8.6,1.5,2.6,7.6,2.86,,alexaja01
6,Lance McCullers Jr.,31,SP,-1.1,2,5,.286,6.51,16,13,2,0,0,0,55.1,61,45,40,10,39,0,61,7,0,1,274,65,5.77,1.807,9.9,1.6,6.3,9.9,1.56,,mcculla02
7,Josh Hader*,31,CL,2.3,6,2,.750,2.05,48,0,41,0,0,28,52.2,29,16,12,8,16,1,76,2,0,2,206,205,3.25,0.854,5.0,1.4,2.7,13.0,4.75,AS,haderjo01
8,Steven Okert*,33,RP,1.5,3,2,.600,3.01,68,1,7,0,0,1,71.2,45,25,24,6,19,1,84,2,0,0,276,139,2.76,0.893,5.7,0.8,2.4,10.5,4.42,,okertst01
9,Bryan Abreu,28,RP,2.6,3,4,.429,2.28,70,0,19,0,0,7,71.0,51,18,18,4,31,0,105,4,0,4,296,184,2.39,1.155,6.5,0.5,3.9,13.3,3.39,,abreubr01
10,Bryan King*,28,RP,1.7,5,4,.556,2.78,68,0,11,0,0,2,68.0,60,21,21,10,11,0,69,4,0,3,275,151,3.68,1.044,7.9,1.3,1.5,9.1,6.27,,kingbr02
11,Kaleb Ort,33,RP,-0.1,2,2,.500,4.89,49,0,17,0,0,1,46.0,35,26,25,8,27,1,49,0,0,2,194,86,5.03,1.348,6.8,1.6,5.3,9.6,1.81,,ortka01
12,Brandon Walter*,28,,1.3,1,3,.250,3.35,9,9,0,0,0,0,53.2,46,20,20,10,4,0,52,3,0,0,212,125,4.01,0.932,7.7,1.7,0.7,8.7,13.00,,waltebr01
13,Bennett Sousa*,30,,1.3,5,1,.833,2.84,44,0,13,0,0,4,50.2,37,18,16,4,15,0,59,0,0,4,199,148,2.72,1.026,6.6,0.7,2.7,10.5,3.93,,sousabe01
14,Ronel Blanco,31,,0.7,3,4,.429,4.10,9,9,0,0,0,0,48.1,37,22,22,7,20,0,48,0,0,0,199,103,4.27,1.179,6.9,1.3,3.7,8.9,2.40,,blancro01
15,Cristian Javier,28,,0.1,2,4,.333,4.62,8,8,0,0,0,0,37.0,32,22,19,3,15,0,34,1,0,3,157,91,3.65,1.270,7.8,0.7,3.6,8.3,2.27,,javiecr01
16,Spencer Arrighetti,25,,0.0,1,5,.167,5.35,7,7,0,0,0,0,35.1,30,21,21,6,20,0,31,3,0,0,156,79,5.54,1.415,7.6,1.5,5.1,7.9,1.55,,arrigsp01
