Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Salvador Perez,35,C,0.4,155,641,597,54,141,35,0,30,100,0,0,28,125,.236,.284,.446,.729,100,.311,97,266,14,12,0,1,5,2D3,,perezsa02
2,Vinnie Pasquantino*,27,1B,2.4,160,682,621,72,164,33,1,32,113,1,0,49,107,.264,.323,.475,.798,120,.343,121,295,14,7,0,5,5,*3D,,pasquvi01
3,Jonathan India,28,2B,0.4,136,567,497,63,116,29,0,9,45,0,4,54,106,.233,.323,.346,.669,89,.299,91,172,9,13,1,2,0,4D75/H,,indiajo01
4,Bobby Witt Jr.,25,SS,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,.295,.351,.501,.852,136,.370,136,312,7,8,0,7,8,*6/D,AS,wittbo02
5,Maikel Garcia,25,3B,5.8,160,666,595,81,170,39,5,16,74,23,9,62,84,.286,.351,.449,.800,123,.348,123,267,14,1,3,5,0,*564/8DH9,AS,garcima01
6,Drew Waters#,26,LF,-0.4,71,219,206,21,50,6,3,1,14,5,3,11,60,.243,.288,.316,.603,70,.281,76,65,2,2,0,0,0,789/HD,,waterdr01
7,Kyle Isbel*,28,CF,1.6,135,409,368,42,94,16,4,4,33,4,5,23,74,.255,.301,.353,.654,83,.284,80,130,7,2,13,3,0,*8/H,,isbelky01
8,Jac Caglianone*,22,RF,-1.3,62,232,210,19,33,6,1,7,18,1,0,18,52,.157,.237,.295,.532,49,.238,43,62,4,4,0,0,0,93/DH,,caglija01
9,Cavan Biggio*,30,DH,-0.2,37,83,69,9,12,2,0,1,4,1,0,11,21,.174,.296,.246,.543,55,.259,56,17,0,1,2,0,0,HD/93745,,biggica01
10,Michael Massey*,27,2B,-0.1,77,277,262,20,64,9,0,3,20,2,1,9,43,.244,.268,.313,.581,63,.255,57,82,3,1,1,4,0,47/HD,,massemi02
11,Freddy Fermin,30,C,1.1,67,208,192,17,49,7,0,3,12,1,2,13,37,.255,.309,.339,.648,82,.284,80,65,2,2,1,0,1,2/HD4,,fermifr01
