Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Logan O'Hoppe,25,C,-0.2,119,451,423,35,90,8,1,19,43,2,1,24,139,.213,.258,.371,.629,72,.275,69,157,12,2,1,1,0,2H/D,,ohopplo01
2,Nolan Schanuel*,23,1B,1.3,132,564,488,64,129,23,1,12,53,5,1,59,71,.264,.353,.389,.742,107,.329,108,190,10,10,3,4,4,*3,,schanno01
3,Luis Rengifo#,28,2B,0.3,147,541,501,55,119,16,3,9,43,10,7,33,104,.238,.287,.335,.622,73,.276,72,168,7,3,1,3,0,54H/9768D,,rengilu01
4,Zach Neto,24,SS,5.1,128,554,502,82,129,29,1,26,62,26,9,33,149,.257,.319,.474,.793,117,.341,115,238,5,14,2,3,6,*6/H,,netoza01
5,Yoán Moncada#,30,3B,0.7,84,289,248,39,58,13,2,12,35,0,0,32,75,.234,.336,.448,.783,116,.339,116,111,4,7,0,2,1,5H/D,,moncayo01
6,Taylor Ward,31,LF,2.7,157,663,579,86,132,31,2,36,103,4,1,75,175,.228,.317,.475,.792,116,.342,117,275,13,3,0,6,1,*7/DH,,wardta01
7,Jo Adell,26,CF,1.2,152,573,526,63,124,18,1,37,98,5,1,33,151,.236,.293,.485,.778,111,.335,112,255,10,10,0,1,0,*89/HD,,adelljo01
8,Jorge Soler,33,RF,-0.5,82,315,279,31,60,12,0,12,34,0,0,28,94,.215,.293,.387,.680,87,.303,89,108,5,4,0,3,0,9D/H,,solerjo01
9,Mike Trout,33,DH,1.5,130,556,456,73,106,14,1,26,64,2,0,87,178,.232,.359,.439,.797,121,.341,117,200,7,6,0,6,10,D9/H,,troutmi01
10,Travis d'Arnaud,36,C,-0.3,69,231,213,16,42,13,0,6,21,0,0,13,74,.197,.255,.343,.598,65,.260,58,73,5,4,0,1,0,2/HD,,darnatr01
11,Christian Moore,22,2B,0.1,53,184,162,20,32,5,1,7,16,3,0,19,62,.198,.284,.370,.655,81,.289,77,60,3,1,1,1,0,4/H,,moorech03
12,Bryce Teodosio,26,CF,0.6,50,150,138,12,28,7,2,1,7,7,1,5,47,.203,.248,.304,.553,53,.247,42,42,2,4,1,2,0,8,,teodobr01
13,Kyren Paris,23,UT,0.7,44,140,126,20,24,4,1,6,11,7,1,10,59,.190,.266,.381,.647,77,.302,83,48,1,3,0,0,0,84/H7D,,parisky01
14,Kevin Newman,31,IF,-0.9,56,116,114,13,23,2,0,2,11,1,0,1,23,.202,.209,.272,.481,33,.233,37,31,5,0,1,0,0,56/4H13,,newmake01
15,Oswald Peraza,25,IF,-0.5,35,95,86,6,16,1,0,2,7,6,0,6,33,.186,.245,.267,.512,43,.243,34,23,3,1,0,1,0,35H/61,,perazos02
16,Tim Anderson,32,MI,0.0,31,90,83,8,17,3,0,0,3,1,1,3,29,.205,.258,.241,.499,41,.223,33,20,1,3,1,0,0,46/H,,anderti01
17,Chris Taylor,34,UT,-0.1,30,90,78,11,14,5,0,2,10,2,1,5,29,.179,.278,.321,.598,66,.267,64,25,0,6,0,1,0,9/4H875,,tayloch03
18,LaMonte Wade Jr.*,31,RF,-0.5,30,73,65,7,11,0,0,1,3,1,0,6,23,.169,.260,.215,.476,35,.227,32,14,0,2,0,0,0,9/H37,,wadela01
19,Matthew Lugo,24,OF,-0.5,31,70,69,9,16,2,1,4,9,0,0,0,24,.232,.243,.464,.707,90,.295,83,32,3,1,0,0,0,8H/97,,lugoma01
20,Gustavo Campero#,27,RF,-0.3,28,66,58,9,10,1,0,3,8,4,1,5,14,.172,.273,.345,.618,71,.282,69,20,2,3,0,0,0,9/H78D,,campegu01
21,Denzer Guzmán,21,SS,-0.4,13,43,42,4,8,1,0,2,3,0,0,1,22,.190,.209,.357,.566,54,.240,43,15,0,0,0,0,0,6,,guzmade01
22,Sebastián Rivero,26,C,-0.1,11,34,33,4,6,2,0,0,2,1,0,1,9,.182,.206,.242,.448,24,.252,47,8,0,0,0,0,0,2,,riverse01
23,Scott Kingery,31,UT,-0.5,19,29,27,3,4,1,0,0,0,1,1,2,11,.148,.207,.185,.392,11,.167,-3,5,1,0,0,0,0,/4H8619,,kingesc01
24,Logan Davidson#,27,1B,-0.3,10,23,22,2,4,1,0,1,2,0,0,0,10,.182,.182,.364,.545,46,.220,26,8,0,0,1,0,0,/3H1,,davidlo01
25,Niko Kavadas*,26,1B,-0.4,10,23,20,0,2,0,0,0,0,0,0,3,10,.100,.217,.100,.317,-7,.167,-10,2,0,0,0,0,0,3/1H,,kavadni01
26,Chad Stevens,26,IF,-0.2,5,14,13,1,2,0,0,0,0,0,1,0,7,.154,.154,.154,.308,-14,.099,-41,2,0,0,1,0,0,/45,,stevech02
27,J.D. Davis,32,CI,-0.2,5,9,9,0,1,0,0,0,0,0,0,0,3,.111,.111,.111,.222,-38,.099,-59,1,0,0,0,0,0,/3H5,,davisjd01
28,Carter Kieboom,27,1B,-0.2,3,8,8,0,2,0,0,0,1,0,0,0,1,.250,.250,.250,.500,40,.222,30,2,0,0,0,0,0,/3H,,kieboca01
29,Nicky Lopez*,30,UT,-0.2,4,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-131,0,0,0,0,0,0,/5167,,lopezni01
30,Chad Wallach,33,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/2,,wallach01
31,Kenley Jansen#,37,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,janseke01
,Team Totals,,,8.0,162,6000,5374,673,1209,212,17,226,649,88,27,484,1627,.225,.298,.397,.695,91,.305,90,2133,99,87,13,35,22,,,-9999
