Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Agustín Ramírez,23,C,-0.4,136,585,537,72,124,33,1,21,67,16,3,36,113,.231,.287,.413,.701,92,.310,89,222,13,8,0,4,2,2D/H,,ramirag01
2,Eric Wagaman,27,1B,-0.4,140,514,476,56,119,28,3,9,53,4,1,32,100,.250,.296,.378,.674,86,.303,86,180,11,1,0,5,0,*37HD/59,,wagamer01
3,Xavier Edwards#,25,2B,3.2,139,619,561,75,159,20,5,3,43,27,7,49,88,.283,.343,.353,.695,94,.317,93,198,6,3,3,3,2,46/HD,,edwarxa01
4,Otto López,26,SS,3.5,143,594,544,66,134,21,0,15,77,15,6,44,82,.246,.305,.368,.672,86,.307,89,200,9,3,0,3,2,*64/HD,,lopezot01
5,Connor Norby,25,3B,0.8,88,337,311,42,78,17,1,8,34,8,2,18,90,.251,.300,.389,.689,90,.317,95,121,3,5,0,3,0,5/HD,,norbyco01
6,Kyle Stowers*,27,LF,3.6,117,457,399,61,115,21,3,25,73,5,1,48,125,.288,.368,.544,.912,149,.391,148,217,6,5,1,4,3,79H8/D,AS,stoweky01
7,Dane Myers,29,CF,-0.1,106,333,307,29,72,10,0,6,31,18,5,23,77,.235,.291,.326,.617,71,.284,69,100,12,2,0,1,0,89H7/D,,myersda01
8,Jesús Sánchez*,27,RF,1.1,86,337,305,40,78,12,4,10,36,9,2,29,70,.256,.320,.420,.740,104,.328,102,128,8,1,0,2,1,9H8/D7,,sanchje02
9,Heriberto Hernández,25,DH,0.8,87,294,256,40,68,12,1,10,45,1,1,31,77,.266,.347,.438,.784,116,.344,116,112,6,3,0,4,0,7D9H,,hernahe01
10,Liam Hicks*,26,UT,1.3,119,390,332,37,82,13,1,6,45,2,0,43,56,.247,.346,.346,.693,94,.320,98,115,5,9,3,3,0,23HD,,hicksli01
11,Javier Sanoja,22,UT,1.5,118,342,313,40,76,22,4,6,38,6,5,19,41,.243,.287,.396,.683,87,.307,92,124,2,2,4,4,0,574H86/13D,,sanojja01
12,Jakob Marsee*,24,CF,1.9,55,234,209,28,61,18,3,5,33,14,6,22,48,.292,.363,.478,.842,132,.365,130,100,2,2,0,1,0,87/9H,,marseja01
13,Graham Pauley*,24,3B,0.7,62,184,161,18,36,9,1,4,11,2,0,21,36,.224,.311,.366,.678,88,.303,85,59,1,0,1,1,0,5/438,,paulegr01
14,Nick Fortes,28,C,0.4,59,141,129,11,31,6,1,2,10,0,0,7,22,.240,.288,.349,.637,76,.278,69,45,4,2,2,1,0,2/HD,,forteni01
15,Derek Hill,29,CF,0.8,53,141,127,19,27,6,0,3,10,7,0,9,46,.213,.275,.331,.606,68,.285,64,42,3,2,3,0,0,8/HD,,hillde01
16,Matt Mervis*,27,1B,-0.7,42,134,120,15,21,4,0,7,14,0,0,11,50,.175,.254,.383,.637,74,.288,76,46,1,2,0,1,1,3D/H,,mervima01
17,Troy Johnston*,28,UT,0.3,44,121,112,12,31,2,1,4,13,2,2,8,26,.277,.331,.420,.750,107,.333,111,47,1,1,0,0,0,397/HD,,johnstr02
18,Griffin Conine*,27,OF,0.1,24,86,79,13,20,7,0,2,8,0,1,7,25,.253,.314,.418,.732,101,.325,107,33,0,0,0,0,0,7/9DH,,coningr01
19,Joey Wiemer,26,RF,0.4,27,61,55,7,13,2,0,3,12,0,0,2,23,.236,.279,.436,.715,95,.297,82,24,0,2,0,2,1,9/H7,,wiemejo01
20,Maximo Acosta,22,IF,0.0,19,61,54,7,11,1,0,3,5,1,2,6,17,.204,.295,.389,.684,88,.305,97,21,0,1,0,0,0,5/46,,acostma02
21,Ronny Simón#,25,UT,-0.7,19,56,47,6,11,2,0,0,5,0,0,7,7,.234,.327,.277,.604,71,.295,80,13,1,0,1,1,0,/47D6H,,simonro01
22,Jonah Bride,29,CI,-0.4,12,45,40,3,4,0,0,0,2,0,0,5,15,.100,.200,.100,.300,-13,.161,-16,4,0,0,0,0,1,/D35H,,bridejo01
23,Víctor Mesa Jr.*,23,OF,0.1,16,38,32,7,6,2,0,1,6,0,0,5,5,.188,.297,.344,.641,78,.287,74,11,0,0,1,0,0,/798H,,mesavi01
24,Jack Winkler,26,IF,-0.2,14,16,16,2,4,2,0,0,0,1,0,0,4,.250,.250,.375,.625,71,.284,63,6,0,0,0,0,0,/4H365,,winklja01
25,Brian Navarreto,30,C,0.2,8,15,14,3,4,2,0,1,5,0,0,0,3,.286,.267,.643,.910,142,.362,128,9,0,0,0,1,0,/2,,navarbr01
26,Rob Brantly*,35,C,0.0,3,7,7,0,3,0,0,0,1,0,0,0,1,.429,.429,.429,.857,140,.372,136,3,0,0,0,0,0,/2,,brantro01
,Team Totals,,,17.6,162,6142,5543,709,1388,272,29,154,677,138,44,482,1247,.250,.314,.393,.708,95,.317,96,2180,94,54,19,44,13,,,-9999
