Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Sandy Alcantara,29,SP,0.0,11,12,.478,5.36,31,31,0,0,0,0,174.2,165,107,104,22,57,0,142,9,2,8,745,82,4.28,1.271,8.5,1.1,2.9,7.3,2.49,,alcansa01
2,Edward Cabrera,27,SP,2.8,8,7,.533,3.53,26,26,0,0,0,0,137.2,121,60,54,17,48,0,150,10,0,8,581,125,3.83,1.228,7.9,1.1,3.1,9.8,3.13,,cabreed02
3,Janson Junk,29,SP,1.0,6,4,.600,4.17,21,16,3,0,0,1,110.0,112,54,51,8,13,0,77,4,0,2,447,106,3.15,1.136,9.2,0.7,1.1,6.3,5.92,,junkja01
4,Cal Quantrill,30,SP,-0.1,4,10,.286,5.50,24,24,0,0,0,0,109.2,122,69,67,17,30,0,82,5,0,3,470,80,4.61,1.386,10.0,1.4,2.5,6.7,2.73,,quantca01
5,Eury Pérez,22,SP,1.2,7,6,.538,4.25,20,20,0,0,0,0,95.1,68,47,45,12,32,0,105,3,2,9,385,104,3.67,1.049,6.4,1.1,3.0,9.9,3.28,,perezeu02
6,Max Meyer,26,SP,0.0,3,5,.375,4.73,12,12,0,0,0,0,64.2,72,39,34,12,20,0,68,2,1,0,285,93,4.47,1.423,10.0,1.7,2.8,9.5,3.40,,meyerma01
7,Calvin Faucher,29,CL,0.8,4,4,.500,3.28,65,0,29,0,0,15,60.1,53,27,22,8,24,0,59,3,0,2,255,135,4.25,1.276,7.9,1.2,3.6,8.8,2.46,,fauchca01
8,Tyler Phillips,27,RP,1.8,2,1,.667,2.78,54,1,19,0,0,4,77.2,65,26,24,8,24,0,52,2,0,6,313,159,4.14,1.146,7.5,0.9,2.8,6.0,2.17,,phillty01
9,Ronny Henriquez,25,RP,2.3,7,1,.875,2.22,69,0,9,0,0,7,73.0,53,23,18,8,27,2,98,4,2,2,303,199,3.15,1.096,6.5,1.0,3.3,12.1,3.63,,henriro01
10,Lake Bachar,30,RP,0.7,8,2,.800,3.93,53,1,12,0,0,3,71.0,55,34,31,10,30,3,75,3,0,5,296,112,4.25,1.197,7.0,1.3,3.8,9.5,2.50,,bachala01
11,Anthony Bender,30,RP,1.9,3,5,.375,2.16,51,0,12,0,0,4,50.0,32,13,12,3,21,2,42,2,0,1,204,205,3.62,1.060,5.8,0.5,3.8,7.6,2.00,,bendean01
