Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,William Contreras,27,C,3.9,150,659,566,89,147,28,0,17,76,6,4,84,120,.260,.355,.399,.754,111,.342,117,226,14,3,0,6,4,*2D/37,,contrwi02
2,Rhys Hoskins,32,1B,0.9,90,328,279,30,66,12,1,12,43,2,1,38,91,.237,.332,.416,.748,108,.331,108,116,6,5,0,6,2,3/HD,,hoskirh01
3,Brice Turang*,25,2B,5.5,156,659,584,97,168,28,2,18,81,24,8,66,150,.288,.359,.435,.794,121,.355,123,254,3,2,2,5,1,*4/H6,,turanbr02
4,Joey Ortiz,26,SS,0.3,149,506,470,62,108,18,1,7,45,14,3,27,74,.230,.276,.317,.593,66,.270,62,149,10,3,6,0,0,*6/H,,ortizjo06
5,Caleb Durbin,25,3B,2.9,136,506,445,60,114,25,0,11,53,18,6,30,50,.256,.334,.387,.721,101,.330,106,172,10,24,3,4,0,*54H/6,,durbica01
6,Isaac Collins#,27,LF,2.1,130,441,372,56,98,22,3,9,54,16,7,57,93,.263,.368,.411,.779,118,.354,125,153,8,6,3,3,0,*7H/9D54,,colliis01
7,Jackson Chourio,21,CF,2.2,131,589,549,88,148,35,4,21,78,21,7,30,121,.270,.308,.463,.770,112,.339,112,254,13,3,1,6,1,*879/D,,chourja01
8,Sal Frelick*,25,RF,3.0,142,594,528,76,152,20,3,12,63,19,6,47,80,.288,.351,.405,.756,111,.335,110,214,4,7,3,5,0,*98/H35,,frelisa01
9,Christian Yelich*,33,DH,3.1,150,644,573,88,151,21,0,29,103,16,6,64,167,.264,.343,.452,.795,121,.350,121,259,6,6,0,1,6,*D7/H,,yelicch01
10,Andrew Vaughn,27,1B,1.3,64,254,221,26,68,14,0,9,46,0,0,24,37,.308,.375,.493,.869,141,.374,139,109,8,3,1,5,0,3/H,,vaughan01
11,Jake Bauers*,29,UT,0.7,85,218,183,28,43,9,0,7,28,8,1,32,59,.235,.353,.399,.752,111,.340,111,73,1,2,0,1,1,3H7/D19,,bauerja01
12,Blake Perkins#,28,CF,0.3,54,171,155,25,35,6,2,3,19,7,2,15,47,.226,.298,.348,.647,81,.296,81,54,4,1,0,0,0,8/HD,,perkibl01
13,Andruw Monasterio,28,SS,0.7,68,135,126,19,34,9,0,4,16,2,1,7,32,.270,.319,.437,.755,109,.333,110,55,1,2,0,0,0,63H4/57,,monasan01
14,Danny Jansen,30,C,0.7,25,78,67,10,17,3,0,3,7,0,0,9,18,.254,.346,.433,.779,117,.352,123,29,1,1,0,1,0,2/HD,,janseda01
15,Garrett Mitchell*,26,CF,0.0,25,78,68,9,14,4,1,0,3,3,0,7,25,.206,.286,.294,.580,63,.269,58,20,0,1,1,1,0,8/H,,mitchga01
16,Eric Haase,32,C,0.2,30,77,70,11,16,3,0,2,9,0,0,4,31,.229,.289,.357,.647,80,.285,76,25,1,2,1,0,0,2/DH,,haaseer01
17,Anthony Seigler*,26,3B,-0.1,34,73,62,6,12,1,0,0,5,2,0,8,16,.194,.292,.210,.501,44,.248,44,13,2,1,1,1,0,5H/123D,,seiglan01
18,Vinny Capra,28,3B,-0.6,24,59,54,6,4,0,0,1,4,1,0,2,15,.074,.121,.130,.250,-30,.154,-22,7,4,1,1,1,0,5/H46D,,capravi01
19,Brandon Lockridge,28,OF,0.4,20,53,46,8,12,3,1,0,6,2,0,4,12,.261,.308,.370,.677,89,.300,80,17,0,0,1,2,0,/89H7D,,lockrbr01
20,Daz Cameron,28,OF,-0.5,21,42,41,7,8,1,0,1,3,1,0,1,13,.195,.214,.293,.507,40,.229,32,12,1,0,0,0,0,9H/7,,camerda01
21,Oliver Dunn*,27,3B,-0.2,14,41,36,4,6,2,0,0,6,1,0,2,11,.167,.205,.222,.427,20,.196,4,8,0,0,2,1,0,5/3H,,dunnol01
22,Tyler Black*,24,UT,0.1,5,13,8,1,2,1,0,0,1,0,1,5,1,.250,.538,.375,.913,163,.395,181,3,0,0,0,0,0,/H379,,blackty01
23,Steward Berroa#,26,CF,0.2,2,6,5,0,0,0,0,0,0,1,0,1,2,.000,.167,.000,.167,-47,.308,64,0,0,0,0,0,0,/8,,berrost01
24,Drew Avans*,29,LF,-0.1,1,3,2,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,.000,-126,0,0,0,0,1,0,/7,,avansdr01
,Team Totals,,,26.9,162,6227,5510,806,1423,265,18,166,750,164,53,564,1266,.258,.332,.403,.736,105,.330,106,2222,97,73,26,50,15,,,-9999
