Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Freddy Peralta,29,SP,5.5,17,6,.739,2.70,33,33,0,0,0,0,176.2,124,54,53,21,66,0,204,9,2,4,723,154,3.65,1.075,6.3,1.1,3.4,10.4,3.09,AS,peralfr01
2,Quinn Priester,24,SP,3.0,13,3,.813,3.32,29,24,2,0,0,0,157.1,145,62,58,18,50,0,132,6,0,4,653,125,4.01,1.239,8.3,1.0,2.9,7.6,2.64,,priesqu01
3,Jose Quintana*,36,SP,1.4,11,7,.611,3.96,24,24,0,0,0,0,131.2,120,65,58,18,50,0,89,5,1,1,556,105,4.81,1.291,8.2,1.2,3.4,6.1,1.78,,quintjo01
4,Chad Patrick,26,SP,1.9,3,8,.273,3.53,27,23,0,0,0,0,119.2,113,49,47,13,40,1,127,4,0,1,503,117,3.53,1.279,8.5,1.0,3.0,9.6,3.18,,patrich01
5,Jacob Misiorowski,23,SP,0.5,5,3,.625,4.36,15,14,0,0,0,0,66.0,51,34,32,8,31,0,87,3,0,1,273,95,3.62,1.242,7.0,1.1,4.2,11.9,2.81,AS,misioja01
6,Brandon Woodruff,32,SP,1.3,7,2,.778,3.20,12,12,0,0,0,0,64.2,45,26,23,9,14,0,83,3,0,1,257,130,3.17,0.912,6.3,1.3,1.9,11.6,5.93,,woodrbr01
7,Trevor Megill,31,CL,1.5,6,3,.667,2.49,50,0,44,0,0,30,47.0,36,16,13,3,17,3,60,0,0,2,192,168,2.50,1.128,6.9,0.6,3.3,11.5,3.53,AS,megiltr01
8,Abner Uribe,25,RP,2.7,3,2,.600,1.67,75,0,15,0,0,7,75.1,51,18,14,4,27,2,90,6,1,5,298,249,2.75,1.035,6.1,0.5,3.2,10.8,3.33,,uribeab01
9,Grant Anderson,28,RP,0.3,2,6,.250,3.23,66,0,19,0,0,0,69.2,59,35,25,8,29,3,74,2,0,0,299,129,3.84,1.263,7.6,1.0,3.7,9.6,2.55,,andergr01
10,Jared Koenig*,31,RP,1.6,6,1,.857,2.86,72,0,8,0,0,2,66.0,57,21,21,6,20,1,68,4,0,1,268,145,3.35,1.167,7.8,0.8,2.7,9.3,3.40,,koenija01
11,Nick Mears,28,RP,0.5,5,3,.625,3.49,63,0,4,0,0,1,56.2,42,25,22,7,13,1,46,1,0,2,221,119,3.86,0.971,6.7,1.1,2.1,7.3,3.54,,mearsni01
12,Aaron Ashby*,27,,2.0,5,2,.714,2.16,43,1,9,0,0,3,66.2,54,16,16,3,24,0,76,4,0,6,270,193,2.70,1.170,7.3,0.4,3.2,10.3,3.17,,ashbyaa01
