Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ryan Jeffers,28,C,1.2,119,464,406,47,108,26,0,9,47,1,1,50,91,.266,.356,.397,.752,108,.332,109,161,9,7,0,1,1,2D/H,,jeffery01
2,Ty France,30,1B,0.7,101,387,350,41,88,19,0,6,44,1,0,19,63,.251,.320,.357,.678,87,.309,91,125,8,17,0,1,0,3/H4,,francty01
3,Luke Keaschall,22,2B,2.0,49,207,182,25,55,14,0,4,28,14,3,19,29,.302,.382,.445,.827,128,.377,135,81,4,5,0,1,0,4/D,,keasclu01
4,Carlos Correa,30,SS,0.1,93,364,337,40,90,19,0,7,31,0,0,26,68,.267,.319,.386,.704,94,.308,91,130,12,0,0,1,0,6/H,,correca01
5,Royce Lewis,26,3B,0.7,106,403,376,36,89,18,0,13,52,12,2,25,80,.237,.283,.388,.671,83,.303,85,146,7,0,0,2,0,5/DH,,lewisro02
6,Harrison Bader,31,LF,2.8,96,307,271,31,70,13,0,12,38,10,4,27,81,.258,.339,.439,.778,113,.340,113,119,3,7,0,2,0,78H/9,,baderha01
7,Byron Buxton,31,CF,4.9,126,542,488,97,129,21,7,35,83,24,0,41,148,.264,.327,.551,.878,136,.383,139,269,0,7,0,6,5,*8/D,AS,buxtoby01
8,Matt Wallner*,27,RF,0.5,104,392,336,47,68,16,3,22,40,4,3,46,114,.202,.311,.464,.776,110,.337,113,156,3,8,0,2,0,9D/H,,wallnma01
9,Trevor Larnach*,28,DH,0.1,142,567,503,62,126,24,1,17,60,4,4,53,122,.250,.323,.404,.727,99,.323,103,203,19,4,0,6,2,D97H,,larnatr01
10,Brooks Lee#,24,IF,-1.0,139,527,487,50,115,15,1,16,64,3,1,31,92,.236,.285,.370,.654,79,.289,77,180,11,4,0,5,0,654H/D,,leebr02
11,Kody Clemens*,29,IF,1.2,112,379,342,46,74,12,4,19,52,5,1,28,93,.216,.284,.442,.725,96,.310,91,151,4,5,2,2,1,3497H/18,,clemeko01
12,Willi Castro#,28,UT,0.3,86,344,302,48,74,15,2,10,27,9,3,32,84,.245,.335,.407,.743,104,.326,103,123,9,9,1,0,1,4795/618H,,castrwi01
13,Christian Vázquez,34,C,0.5,65,214,190,14,36,7,0,3,14,1,1,18,35,.189,.271,.274,.545,52,.259,56,52,3,4,0,2,0,2/H,,vazquch01
14,Edouard Julien*,26,IF,-0.8,64,208,182,13,40,10,0,3,12,0,3,22,61,.220,.309,.324,.633,76,.274,72,59,3,2,1,1,0,34D/H6,,julieed01
15,Austin Martin,26,LF,0.7,50,181,156,22,44,8,1,1,7,11,4,22,31,.282,.374,.365,.740,106,.333,107,57,6,1,2,0,0,78/H4,,martiau01
16,Mickey Gasper#,29,C,-0.3,45,110,95,15,15,1,0,2,11,2,0,10,20,.158,.257,.232,.488,37,.248,44,22,1,3,1,1,0,2HD/347,,gaspemi01
17,James Outman*,28,OF,-0.7,37,104,95,11,14,4,1,4,7,1,0,8,45,.147,.221,.337,.558,51,.260,55,32,0,1,0,0,0,897/HD,,outmaja01
18,DaShawn Keirsey Jr.*,28,OF,-1.2,74,88,84,11,9,0,0,2,6,10,3,2,33,.107,.138,.179,.317,-13,.162,-24,15,1,1,1,0,0,9H78/D,,keirsda01
19,Jonah Bride,29,3B,-0.3,33,80,72,4,15,2,0,0,3,0,0,6,24,.208,.275,.236,.511,44,.257,54,17,1,1,0,1,0,5H/314D,,bridejo01
20,Ryan Fitzgerald*,31,IF,0.2,24,53,46,10,9,0,0,4,9,1,0,7,8,.196,.302,.457,.758,106,.331,105,21,0,0,0,0,0,/46H513D,,fitzgry01
21,Alan Roden*,25,OF,-0.5,12,40,38,5,6,1,0,1,1,1,0,0,13,.158,.200,.263,.463,27,.212,17,10,0,2,0,0,0,7/89,,rodenal01
22,José Miranda,27,3B,-0.3,12,36,36,2,6,0,0,1,5,0,0,0,13,.167,.167,.250,.417,13,.177,-4,9,0,0,0,0,0,5/H,,miranjo01
23,Jhonny Pereda,29,C,0.4,11,32,29,1,10,4,0,0,1,0,0,2,8,.345,.387,.483,.870,139,.367,135,14,1,0,1,0,0,2,,peredjh01
24,Carson McCusker,27,RF,-0.6,16,30,29,0,5,0,0,0,1,0,1,1,16,.172,.200,.172,.372,5,.151,-11,5,0,0,0,0,0,9/HD,,mccusca01
25,Griffin Jax,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,jaxgr01
26,Kody Funderburk*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,fundeko01
27,Jhoan Duran,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,duranjh01
,Team Totals,,,10.6,162,6059,5432,678,1295,249,20,191,643,114,34,495,1372,.238,.310,.397,.708,94,.314,95,2157,105,88,9,34,10,,,-9999
