Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Joe Ryan,29,SP,4.5,13,10,.565,3.42,31,30,0,0,0,0,171.0,138,69,65,26,39,0,194,12,2,0,689,125,3.74,1.035,7.3,1.4,2.1,10.2,4.97,AS,ryanjo04
2,Bailey Ober,29,SP,1.1,6,9,.400,5.10,27,27,0,1,0,0,146.1,159,84,83,30,31,0,120,5,2,1,624,84,4.90,1.298,9.8,1.8,1.9,7.4,3.87,,oberba01
3,Simeon Woods Richardson,24,SP,2.2,7,4,.636,4.04,23,22,0,0,0,0,111.1,96,53,50,17,46,0,107,3,1,4,471,106,4.52,1.275,7.8,1.4,3.7,8.6,2.33,,woodssi01
4,Chris Paddack,29,SP,0.9,3,9,.250,4.95,21,21,0,0,0,0,111.0,115,65,61,17,27,0,83,3,0,3,472,86,4.44,1.279,9.3,1.4,2.2,6.7,3.07,,paddach01
5,Zebby Matthews,25,SP,0.2,5,6,.455,5.56,16,16,0,0,0,0,79.1,94,50,49,12,24,0,88,0,0,2,354,77,3.79,1.487,10.7,1.4,2.7,10.0,3.67,,matthze01
6,Pablo López,29,SP,2.1,5,4,.556,2.74,14,14,0,0,0,0,75.2,64,28,23,6,20,0,73,4,2,1,312,156,3.19,1.110,7.6,0.7,2.4,8.7,3.65,,lopezpa01
7,Jhoan Duran,27,CL,2.3,6,4,.600,2.01,49,0,36,0,0,16,49.1,40,13,11,1,18,4,53,3,0,2,206,214,2.53,1.176,7.3,0.2,3.3,9.7,2.94,,duranjh01
8,Cole Sands,27,RP,0.4,4,6,.400,4.50,69,3,18,0,0,3,72.0,65,41,36,7,19,2,64,4,0,3,299,95,3.58,1.167,8.1,0.9,2.4,8.0,3.37,,sandsco01
9,Justin Topa,34,RP,0.4,1,5,.167,3.90,54,1,17,0,0,4,60.0,68,32,26,2,18,3,49,4,0,0,268,110,3.04,1.433,10.2,0.3,2.7,7.4,2.72,,topaju01
10,Louis Varland,27,RP,1.8,3,3,.500,2.02,51,0,7,0,0,0,49.0,41,14,11,3,13,1,47,2,0,0,197,212,2.93,1.102,7.5,0.6,2.4,8.6,3.62,,varlalo01
11,Griffin Jax,30,RP,0.2,1,5,.167,4.50,50,0,3,0,0,0,46.0,46,24,23,4,13,2,72,1,0,0,198,95,2.05,1.283,9.0,0.8,2.5,14.1,5.54,,jaxgr01
12,David Festa,25,,0.3,3,4,.429,5.40,11,10,0,0,0,0,53.1,49,35,32,10,19,0,53,4,0,1,229,79,4.88,1.275,8.3,1.7,3.2,8.9,2.79,,festada01
13,Kody Funderburk*,28,,0.8,4,1,.800,3.51,39,0,11,0,0,1,41.0,44,17,16,2,18,1,40,3,1,5,183,122,3.36,1.512,9.7,0.4,4.0,8.8,2.22,,fundeko01
14,Brock Stewart,33,,1.4,2,1,.667,2.38,39,0,2,0,0,0,34.0,26,9,9,3,11,2,41,3,0,1,139,181,3.11,1.088,6.9,0.8,2.9,10.9,3.73,,stewabr01
15,Travis Adams,25,,-0.9,1,4,.200,7.49,18,2,3,0,0,0,33.2,39,29,28,6,17,0,31,3,0,5,158,58,5.39,1.663,10.4,1.6,4.5,8.3,1.82,,adamstr01
16,Thomas Hatch,30,,-0.1,2,1,.667,5.45,11,1,3,0,0,0,33.0,38,21,20,6,17,2,21,0,0,0,147,79,5.77,1.667,10.4,1.6,4.6,5.7,1.24,,hatchto01
17,Taj Bradley,24,,-0.3,0,2,.000,6.61,6,6,0,0,0,0,31.1,32,23,23,6,12,0,32,0,1,3,134,65,4.73,1.404,9.2,1.7,3.4,9.2,2.67,,bradlta01
