Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Luis Torrens,29,C,1.4,92,283,261,20,59,14,1,5,29,1,0,19,56,.226,.284,.345,.629,78,.283,78,90,7,2,1,0,0,2H/1D3,,torrelu01
2,Pete Alonso,30,1B,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,.272,.347,.524,.871,144,.371,142,327,23,15,0,9,5,*3/D,AS,alonspe01
3,Jeff McNeil*,33,2B,2.0,122,462,399,42,97,21,5,12,54,3,0,49,55,.243,.335,.411,.746,111,.333,113,164,5,8,2,4,4,487D/H93,,mcneije01
4,Francisco Lindor#,31,SS,5.8,160,732,644,117,172,35,0,31,86,31,6,65,131,.267,.346,.466,.811,129,.359,128,300,9,16,0,7,2,*6/DH,AS,lindofr01
5,Brett Baty*,25,3B,3.1,130,432,393,53,100,13,2,18,50,8,0,33,108,.254,.313,.435,.748,111,.336,113,171,6,2,0,3,0,54H/D,,batybr01
6,Brandon Nimmo*,32,LF,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,.262,.324,.436,.760,114,.335,113,256,8,7,1,7,1,*7/8DH,,nimmobr01
7,Tyrone Taylor,31,CF,1.2,113,341,310,34,69,18,3,2,27,12,2,16,76,.223,.279,.319,.598,70,.276,70,99,4,9,3,2,1,*8H/79,,tayloty01
8,Juan Soto*,26,RF,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,.263,.396,.525,.921,160,.410,163,303,17,3,1,6,13,*9/D,,sotoju01
9,Starling Marte,36,DH,1.0,98,329,293,37,79,14,0,9,34,7,2,22,68,.270,.335,.410,.745,111,.331,112,120,7,9,1,4,0,DH/79,,martest01
10,Mark Vientos,25,3B,-0.2,121,463,424,44,99,21,2,17,61,1,0,30,115,.233,.289,.413,.702,97,.310,98,175,11,5,0,4,0,5D/H3,,vientma01
11,Francisco Alvarez,23,C,2.1,76,277,246,32,63,12,1,11,32,0,0,27,73,.256,.339,.447,.787,122,.350,126,110,6,4,0,0,0,2/HD,,alvarfr01
12,Luisangel Acuña,23,2B,0.6,95,193,175,30,41,7,0,0,8,16,1,13,37,.234,.293,.274,.567,63,.273,59,48,6,2,2,1,0,4H/658,,acunajo01
13,Ronny Mauricio#,24,3B,0.7,61,184,168,19,38,6,0,6,10,4,0,15,54,.226,.293,.369,.663,88,.303,89,62,5,1,0,0,1,5H/46D,,mauriro01
14,Cedric Mullins*,30,CF,0.3,42,143,121,16,22,4,1,2,10,8,0,16,35,.182,.284,.281,.565,62,.287,71,34,0,2,2,2,0,8/H,,mullice01
15,Jesse Winker*,31,DH,0.0,26,81,70,8,16,5,2,1,10,1,0,9,21,.229,.309,.400,.709,100,.305,92,28,1,0,0,2,1,D/H7,,winkeje01
16,Hayden Senger,28,C,-0.2,33,78,72,8,13,1,0,0,4,0,0,3,22,.181,.221,.194,.415,20,.190,11,14,3,1,1,1,0,2/H,,sengeha01
17,Jared Young*,29,DH,0.1,22,47,43,5,8,1,0,4,6,0,0,2,16,.186,.234,.488,.722,99,.302,92,21,1,1,0,1,0,D/H137,,youngja02
18,Jose Siri,29,CF,-0.5,16,36,32,7,2,2,0,0,1,2,0,4,17,.063,.167,.125,.292,-15,.160,-17,4,0,0,0,0,0,8/H,,sirijo01
19,José Azócar,29,OF,0.0,12,20,18,5,5,0,0,0,1,1,0,2,1,.278,.350,.278,.628,83,.302,84,5,0,0,0,0,0,/H789,,azocajo01
20,Travis Jankowski*,34,OF,0.0,4,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,/H179D,,jankotr01
21,Ryne Stanek,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,stanery01
22,Edwin Díaz,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,diazed04
,Team Totals,,,29.9,162,6178,5457,766,1359,262,19,224,746,147,18,563,1325,.249,.326,.427,.753,113,.336,113,2331,119,87,15,53,28,,,-9999
