Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,David Peterson*,29,SP,1.4,9,6,.600,4.22,30,30,0,1,1,0,168.2,166,84,79,11,65,1,150,7,1,3,723,95,3.49,1.370,8.9,0.6,3.5,8.0,2.31,AS,peterda01
2,Clay Holmes,32,SP,2.0,12,8,.600,3.53,33,31,0,0,0,0,165.2,150,74,65,14,66,0,129,13,1,6,708,114,4.11,1.304,8.1,0.8,3.6,7.0,1.95,,holmecl01
3,Kodai Senga,32,SP,2.1,7,6,.538,3.02,22,22,0,0,0,0,113.1,94,44,38,12,55,0,109,3,0,5,482,133,4.12,1.315,7.5,1.0,4.4,8.7,1.98,,sengako01
4,Griffin Canning,29,SP,1.1,7,3,.700,3.77,16,16,0,0,0,0,76.1,70,35,32,8,35,0,70,0,0,3,328,107,4.04,1.376,8.3,0.9,4.1,8.3,2.00,,cannigr01
5,Tylor Megill,29,SP,0.3,5,5,.500,3.95,14,14,0,0,0,0,68.1,60,37,30,6,33,0,89,7,0,3,305,102,3.43,1.361,7.9,0.8,4.3,11.7,2.70,,megilty01
6,Sean Manaea*,33,SP,-0.4,2,4,.333,5.64,15,12,2,0,0,0,60.2,62,38,38,13,12,0,75,7,0,2,263,72,4.39,1.220,9.2,1.9,1.8,11.1,6.25,,manaese01
7,Edwin Díaz,31,CL,3.0,6,3,.667,1.63,62,0,48,0,0,28,66.1,37,14,12,4,21,0,98,8,0,7,258,248,2.28,0.874,5.0,0.5,2.8,13.3,4.67,AS,diazed04
8,Huascar Brazobán,35,RP,0.6,5,2,.714,3.57,52,3,6,0,0,2,63.0,51,29,25,6,27,1,57,4,0,2,262,113,4.04,1.238,7.3,0.9,3.9,8.1,2.11,,brazohu01
9,Ryne Stanek,33,RP,-1.0,4,6,.400,5.30,65,0,17,0,0,3,56.0,56,39,33,7,32,0,58,0,0,5,255,76,4.40,1.571,9.0,1.1,5.1,9.3,1.81,,stanery01
10,Reed Garrett,32,RP,0.4,3,6,.333,3.90,58,1,8,0,0,3,55.1,47,27,24,5,26,2,64,1,0,3,238,104,3.46,1.319,7.6,0.8,4.2,10.4,2.46,,garrere01
