Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Austin Wells*,25,C,0.0,126,448,401,51,88,22,1,21,71,5,1,30,118,.219,.275,.436,.712,95,.305,92,175,10,5,0,11,0,*2/HD,,wellsau01
2,Paul Goldschmidt,37,1B,1.2,145,534,489,76,134,31,1,10,45,5,1,36,100,.274,.328,.403,.731,104,.321,104,197,8,4,0,2,5,*3H/D8,,goldspa01
3,Jazz Chisholm Jr.*,27,2B,4.2,130,531,462,75,112,15,1,31,80,31,8,58,148,.242,.332,.481,.813,125,.357,127,222,3,6,1,4,1,45/H,AS,chishja01
4,Anthony Volpe,24,SS,1.7,153,596,539,65,114,32,4,19,72,18,8,43,150,.212,.272,.391,.663,83,.287,80,211,10,4,3,7,0,*6/H,,volpean01
5,Ryan McMahon*,30,3B,1.0,54,185,159,20,33,8,0,4,18,1,0,21,62,.208,.308,.333,.641,81,.287,79,53,3,3,0,2,0,5/H,,mcmahry01
6,Jasson Domínguez#,22,LF,0.5,123,429,381,58,98,18,1,10,47,23,5,41,115,.257,.331,.388,.719,101,.324,102,148,5,3,0,4,1,7HD,,dominja01
7,Trent Grisham*,28,CF,3.5,143,581,494,87,116,9,1,34,74,3,2,82,137,.235,.348,.464,.811,125,.363,135,229,7,4,0,1,0,*8/H,,grishtr01
8,Aaron Judge,33,RF,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,.331,.457,.688,1.144,215,.461,212,372,16,7,0,7,36,9D/H,AS,judgeaa01
9,Ben Rice*,26,DH,2.2,138,530,467,74,119,28,4,26,65,3,2,50,100,.255,.337,.499,.836,131,.355,130,233,18,9,0,2,0,3D2H,,ricebe01
10,Cody Bellinger*,29,OF,5.0,152,656,588,89,160,25,5,29,98,13,2,57,90,.272,.334,.480,.813,125,.349,123,282,8,2,0,9,1,*798/3H,,bellico01
11,Giancarlo Stanton,35,DH,1.9,77,281,249,36,68,8,0,24,66,0,0,29,96,.273,.350,.594,.944,158,.398,162,148,5,1,0,1,3,D9H/7,,stantmi03
12,Oswald Peraza,25,3B,-0.2,71,170,158,18,24,5,0,3,13,3,0,11,47,.152,.212,.241,.452,27,.214,24,38,3,1,0,0,0,54/H6D,,perazos02
13,DJ LeMahieu,36,2B,0.6,45,142,128,13,34,3,0,2,12,0,0,14,35,.266,.338,.336,.674,91,.307,95,43,4,0,0,0,0,4/H,,lemahdj01
14,Oswaldo Cabrera#,26,3B,0.4,34,122,107,17,26,4,0,1,11,0,1,11,25,.243,.322,.308,.631,79,.302,93,33,1,2,1,1,0,5/H379,,cabreos01
15,J.C. Escarra*,30,C,0.1,40,98,84,5,17,5,0,2,11,1,0,11,14,.202,.296,.333,.629,77,.291,81,28,1,1,0,2,0,2/3H5D,,escarjc01
16,José Caballero,28,UT,1.1,40,95,79,15,21,6,0,3,9,15,3,14,18,.266,.372,.456,.828,131,.396,144,36,0,0,1,1,0,965/H47D,,cabaljo01
17,Jorbit Vivas*,24,IF,-0.3,29,66,56,6,9,2,0,1,5,0,0,5,13,.161,.266,.250,.516,46,.241,44,14,0,3,0,0,0,45/H,,vivasjo01
18,Pablo Reyes,31,UT,-0.5,24,34,31,4,6,1,0,0,2,1,0,2,10,.194,.242,.226,.468,33,.221,24,7,0,0,1,0,0,H/94517D,,reyespa01
19,Amed Rosario,29,UT,0.0,16,33,33,1,10,3,0,1,5,0,0,0,9,.303,.303,.485,.788,116,.335,115,16,1,0,0,0,0,/59H4,,rosaram01
20,Austin Slater,32,OF,-0.4,14,25,25,2,3,0,0,0,2,0,0,0,16,.120,.120,.120,.240,-32,.142,-25,3,1,0,0,0,0,/79H1,,slateau01
21,Tyler Matzek*,34,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,matzety01
22,Yerry De los Santos,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,delosye01
,Team Totals,,,31.7,162,6235,5471,849,1371,255,20,274,820,134,38,639,1463,.251,.332,.455,.787,118,.342,119,2488,104,55,7,54,47,,,-9999
