Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Carlos Rodón*,32,SP,4.6,18,9,.667,3.09,33,33,0,0,0,0,195.1,132,74,67,22,73,0,203,9,0,4,789,132,3.78,1.049,6.1,1.0,3.4,9.4,2.78,AS,rodonca01
2,Max Fried*,31,SP,4.5,19,5,.792,2.86,32,32,0,0,0,0,195.1,164,73,62,14,51,0,189,10,1,8,801,142,3.07,1.101,7.6,0.6,2.3,8.7,3.71,AS,friedma01
3,Will Warren,26,SP,0.6,9,8,.529,4.44,33,33,0,0,0,0,162.1,158,90,80,22,65,0,171,4,1,2,711,92,4.07,1.374,8.8,1.2,3.6,9.5,2.63,,warrewi01
4,Clarke Schmidt,29,SP,1.7,4,4,.500,3.32,14,14,0,0,0,0,78.2,56,29,29,9,30,0,73,1,2,2,316,123,3.95,1.093,6.4,1.0,3.4,8.4,2.43,,schmicl01
5,Cam Schlittler,24,SP,2.0,4,3,.571,2.96,14,14,0,0,0,0,73.0,58,24,24,8,31,0,84,5,0,3,304,138,3.74,1.219,7.2,1.0,3.8,10.4,2.71,,schlica01
6,Luis Gil,27,SP,1.0,4,1,.800,3.32,11,11,0,0,0,0,57.0,47,23,21,5,33,0,41,1,2,4,244,123,4.63,1.404,7.4,0.8,5.2,6.5,1.24,,gillu01
7,Devin Williams,30,CL,-0.3,4,6,.400,4.79,67,0,29,0,0,18,62.0,45,37,33,5,25,1,90,4,0,4,259,85,2.68,1.129,6.5,0.7,3.6,13.1,3.60,,willide03
8,Tim Hill*,35,RP,1.1,4,4,.500,3.09,70,0,18,0,0,0,67.0,58,27,23,8,16,3,37,0,0,1,269,132,4.30,1.104,7.8,1.1,2.1,5.0,2.31,,hillti01
9,Luke Weaver,31,RP,0.8,4,4,.500,3.62,64,0,17,0,0,8,64.2,46,28,26,10,20,1,72,1,0,1,262,113,3.89,1.021,6.4,1.4,2.8,10.0,3.60,,weavelu01
10,Mark Leiter Jr.,34,RP,-0.6,6,7,.462,4.84,59,0,11,0,0,2,48.1,57,31,26,5,17,0,54,4,0,8,219,84,3.55,1.531,10.6,0.9,3.2,10.1,3.18,,leitema02
