Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Shea Langeliers,27,C,3.9,123,523,481,73,133,32,0,31,72,7,1,36,103,.277,.325,.536,.861,134,.363,131,258,10,1,0,5,1,2D/H,,langesh01
2,Nick Kurtz*,22,1B,5.4,117,489,420,90,122,26,2,36,86,2,1,63,151,.290,.383,.619,1.002,173,.418,174,260,4,2,0,3,3,*3/DH,,kurtzni01
3,Luis Urías,28,2B,0.5,96,330,287,27,66,7,0,8,25,2,1,31,45,.230,.315,.338,.653,82,.302,89,97,9,6,0,3,0,4/5H,,uriaslu01
4,Jacob Wilson,23,SS,2.9,125,523,486,62,151,26,0,13,63,5,2,27,39,.311,.355,.444,.800,121,.354,127,216,16,7,2,1,1,*6/D,AS,wilsoja05
5,Gio Urshela,33,3B,-0.9,59,197,181,10,43,14,1,0,20,0,1,13,40,.238,.287,.326,.613,71,.271,68,59,6,0,2,1,0,5/3DH,,urshegi01
6,Tyler Soderstrom*,23,LF,4.4,158,624,561,75,155,34,1,25,93,8,3,55,141,.276,.346,.474,.820,126,.352,125,266,18,6,0,2,2,73H/D,,soderty01
7,JJ Bleday*,27,CF,-0.2,98,344,307,48,65,17,0,14,39,1,2,36,91,.212,.294,.404,.698,92,.300,89,124,6,0,0,1,2,89H7/D,,bledajj01
8,Lawrence Butler*,24,RF,1.9,152,630,569,83,133,30,2,21,63,22,7,59,179,.234,.306,.404,.710,96,.313,95,230,7,0,2,0,0,*98H,,butlela01
9,Brent Rooker,30,DH,2.3,162,699,626,92,164,40,3,30,89,6,1,65,155,.262,.335,.479,.814,123,.353,125,300,13,5,0,2,4,*D9/7H,AS,rookebr01
10,Miguel Andujar,30,UT,0.2,60,231,218,22,65,10,1,6,27,1,0,11,30,.298,.329,.436,.765,111,.330,108,95,5,0,0,2,1,57/H9D3,,andujmi01
11,Max Muncy,22,IF,0.0,63,220,206,17,44,7,0,9,23,1,1,10,68,.214,.259,.379,.638,75,.276,71,78,1,3,0,1,0,54/6H,,muncyma02
12,Max Schuemann,28,IF,0.2,101,213,183,20,36,4,2,2,13,7,1,22,35,.197,.295,.273,.568,60,.273,63,50,6,4,3,1,0,45H6/789D,,schuema01
13,Darell Hernaiz,23,IF,-0.2,51,197,173,17,40,5,1,2,16,3,4,17,24,.231,.292,.306,.599,67,.273,72,53,2,0,2,5,0,654,,hernada04
14,Denzel Clarke,25,CF,1.0,47,159,148,18,34,8,2,3,8,6,0,6,61,.230,.274,.372,.646,78,.285,69,55,1,3,2,0,0,8/H,,clarkde02
15,Colby Thomas,24,OF,0.1,49,132,120,20,27,5,0,6,19,2,1,7,49,.225,.267,.417,.684,86,.304,90,50,3,1,1,3,0,9H8/7D,,thomaco03
16,Willie MacIver,28,C,-0.1,32,111,102,7,19,5,0,3,9,3,0,7,27,.186,.252,.324,.576,59,.259,53,33,1,2,0,0,0,2/1,,macivwi01
17,Zack Gelof,25,2B,-0.1,30,101,92,12,16,3,0,2,7,1,2,7,46,.174,.230,.272,.502,39,.240,48,25,0,0,1,1,0,4,,gelofza01
18,Carlos Cortes*,28,OF,0.7,42,99,94,11,29,8,1,4,14,0,0,3,20,.309,.323,.543,.866,135,.360,131,51,3,0,0,2,0,9H/75D,,corteca01
19,Brett Harris,27,3B,0.7,32,84,73,11,20,5,0,0,5,1,0,7,21,.274,.349,.342,.692,94,.318,99,25,1,2,1,1,0,5/3H,,harribr02
20,Seth Brown*,32,OF,-0.7,38,76,65,6,12,2,0,1,3,1,0,9,23,.185,.303,.262,.564,60,.265,60,17,2,2,0,0,0,H7/89D,,brownse01
21,Austin Wynns,34,C,0.4,22,67,63,7,14,5,0,3,10,0,0,2,20,.222,.242,.444,.687,85,.299,86,28,2,0,1,1,0,2/H,,wynnsau01
22,Jhonny Pereda,29,C,-0.1,17,46,40,3,7,2,0,0,3,0,0,6,13,.175,.283,.225,.508,45,.257,56,9,0,0,0,0,0,2/1H,,peredjh01
23,Logan Davidson#,27,IF,-0.3,9,24,20,1,3,1,0,0,2,0,0,3,12,.150,.261,.200,.461,32,.216,23,4,1,0,1,0,0,/35H4,,davidlo01
24,CJ Alexander*,28,UT,-0.2,6,17,17,0,3,0,0,0,0,0,0,0,8,.176,.176,.176,.353,-1,.157,-17,3,0,0,0,0,0,/35H79,,alexacj01
25,Drew Avans*,29,OF,-0.3,7,15,15,1,2,0,0,0,0,1,0,0,5,.133,.133,.133,.267,-25,.135,-44,2,0,0,0,0,0,/789H,,avansdr01
26,Michael Kelly,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kellymi03
27,Tyler Ferguson,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ferguty01
28,Elvis Alvarado,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,alvarel01
,Team Totals,,,21.3,162,6151,5547,733,1403,296,16,219,709,80,28,502,1406,.253,.318,.431,.749,106,.327,106,2388,117,44,18,35,14,,,-9999
