Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Jeffrey Springs*,32,SP,1.9,11,11,.500,4.11,32,30,0,0,0,0,171.0,153,90,78,28,54,0,138,3,3,0,713,102,4.65,1.211,8.1,1.5,2.8,7.3,2.56,,sprinje01
2,Luis Severino,31,SP,1.0,8,11,.421,4.54,29,29,0,0,0,0,162.2,162,93,82,16,50,1,124,16,0,3,705,92,4.11,1.303,9.0,0.9,2.8,6.9,2.48,,severlu01
3,JP Sears*,29,SP,0.9,7,9,.438,4.95,22,22,0,0,0,0,111.0,112,63,61,23,29,0,97,5,0,1,472,85,5.00,1.270,9.1,1.9,2.4,7.9,3.34,,searsjp01
4,Jacob Lopez*,27,SP,1.1,7,7,.500,4.08,21,17,1,0,0,0,92.2,81,47,42,15,37,0,113,8,1,0,399,103,4.26,1.273,7.9,1.5,3.6,11.0,3.05,,lopezja04
5,J.T. Ginn,26,SP,0.5,4,7,.364,5.08,23,16,0,0,0,0,90.1,92,52,51,17,31,1,99,6,0,1,392,83,4.62,1.362,9.2,1.7,3.1,9.9,3.19,,ginnjt01
6,Mason Miller,26,CL,0.8,1,2,.333,3.76,38,0,32,0,0,20,38.1,21,17,16,4,18,2,59,1,1,3,151,112,2.90,1.017,4.9,0.9,4.2,13.9,3.28,,millema03
7,Justin Sterner,28,RP,1.5,4,3,.571,3.18,59,1,8,0,0,0,65.0,47,24,23,10,21,2,70,7,0,1,266,132,4.27,1.046,6.5,1.4,2.9,9.7,3.33,,sternju01
8,Hogan Harris*,28,RP,1.2,2,1,.667,3.20,48,0,20,0,0,4,64.2,54,26,23,5,33,4,65,1,0,1,277,131,3.71,1.345,7.5,0.7,4.6,9.0,1.97,,harriho03
9,Tyler Ferguson,31,RP,0.2,4,2,.667,4.66,56,0,10,0,0,2,58.0,43,32,30,4,34,2,54,4,0,1,246,90,4.14,1.328,6.7,0.6,5.3,8.4,1.59,,ferguty01
10,Michael Kelly,32,RP,0.7,4,4,.500,3.18,42,0,13,0,0,2,39.2,32,17,14,5,19,3,29,1,0,1,166,133,4.83,1.286,7.3,1.1,4.3,6.6,1.53,,kellymi03
11,Mitch Spence,27,,-0.7,3,6,.333,5.10,32,8,3,0,0,1,84.2,96,57,48,16,26,2,66,4,0,1,375,82,5.10,1.441,10.2,1.7,2.8,7.0,2.54,,spencmi01
12,Osvaldo Bido,29,,-0.7,2,5,.286,5.87,26,10,7,0,0,1,79.2,93,56,52,19,35,1,68,6,0,0,363,71,6.07,1.607,10.5,2.1,4.0,7.7,1.94,,bidoos01
13,Sean Newcomb*,32,,1.7,2,1,.667,1.75,36,0,6,0,0,2,51.1,39,12,10,2,14,2,50,3,0,0,201,240,2.69,1.032,6.8,0.4,2.5,8.8,3.57,,newcose01
14,Luis Morales,22,,1.2,4,3,.571,3.14,10,9,0,0,0,0,48.2,38,18,17,8,18,0,43,1,0,2,199,134,4.68,1.151,7.0,1.5,3.3,8.0,2.39,,morallu01
15,Elvis Alvarado,26,,0.6,1,1,.500,3.19,37,0,13,0,0,0,42.1,34,17,15,6,22,1,50,2,0,2,183,132,4.32,1.323,7.2,1.3,4.7,10.6,2.27,,alvarel01
16,Jack Perkins,25,,0.5,3,2,.600,4.19,12,4,5,0,0,3,38.2,27,18,18,4,18,0,37,2,0,3,161,101,4.12,1.164,6.3,0.9,4.2,8.6,2.06,,perkija01
17,Gunnar Hoglund,25,,-0.2,1,3,.250,6.40,6,6,0,0,0,0,32.1,38,23,23,10,11,0,23,0,0,1,139,66,6.75,1.515,10.6,2.8,3.1,6.4,2.09,,hoglugu01
18,Grant Holman,25,,0.1,4,2,.667,5.09,22,2,7,0,0,0,23.0,26,14,13,3,9,0,17,1,0,1,103,83,4.66,1.522,10.2,1.2,3.5,6.7,1.89,,holmagr01
19,Mason Barnett,24,,-0.3,1,1,.500,6.85,5,5,0,0,0,0,22.1,26,18,17,3,11,0,18,1,0,2,104,62,4.88,1.657,10.5,1.2,4.4,7.3,1.64,,barnema02
20,Noah Murdock,26,,-1.4,1,1,.500,13.24,14,0,2,0,0,0,17.0,26,25,25,0,20,3,21,2,1,0,98,32,4.55,2.706,13.8,0.0,10.6,11.1,1.05,,murdono01
21,T.J. McFarland*,36,,-0.3,0,0,,6.89,27,0,5,0,0,0,15.2,26,12,12,2,3,0,7,1,0,1,74,62,4.67,1.851,14.9,1.1,1.7,4.0,2.33,,mcfartj01
22,Brady Basso*,27,,0.2,1,1,.500,2.31,11,1,4,0,0,0,11.2,12,4,3,0,9,1,8,0,0,0,56,186,4.08,1.800,9.3,0.0,6.9,6.2,0.89,,bassobr01
23,Joey Estes,23,,-0.3,0,2,.000,9.82,3,2,1,0,0,0,11.0,16,12,12,4,6,0,6,1,0,0,55,44,8.68,2.000,13.1,3.3,4.9,4.9,1.00,,estesjo01
24,Ben Bowden*,30,,0.0,0,0,,4.22,11,0,4,0,0,0,10.2,9,6,5,2,5,0,7,0,0,0,47,102,5.67,1.313,7.6,1.7,4.2,5.9,1.40,,bowdebe01
25,José Leclerc,31,,0.0,0,1,.000,6.00,10,0,1,0,0,0,9.0,13,6,6,3,5,0,8,0,1,1,46,72,7.36,2.000,13.0,3.0,5.0,8.0,1.60,,leclejo01
26,Scott McGough,35,,-0.1,0,0,,7.00,6,0,5,0,0,0,9.0,12,7,7,3,1,0,11,0,0,0,40,62,5.36,1.444,12.0,3.0,1.0,11.0,11.00,,mcgousc01
27,Eduarniel Núñez,26,,-0.2,1,0,1.000,9.00,6,0,1,0,0,0,8.0,9,8,8,1,7,0,9,2,0,1,39,49,5.89,2.000,10.1,1.1,7.9,10.1,1.29,,nunezed03
28,Jason Alexander,32,,-0.6,0,0,,18.00,4,0,3,0,0,0,6.0,12,13,12,3,5,0,5,0,0,0,35,25,10.47,2.833,18.0,4.5,7.5,7.5,1.00,,alexaja01
29,Anthony Maldonado,27,,-0.3,0,0,,12.00,6,0,5,0,0,0,6.0,10,8,8,3,5,1,7,0,0,1,33,37,9.80,2.500,15.0,4.5,7.5,10.5,1.40,,maldoan01
30,Michel Otañez,27,,-0.5,0,0,,13.50,6,0,1,0,0,0,5.1,7,8,8,2,5,0,6,1,0,0,28,33,9.14,2.250,11.8,3.4,8.4,10.1,1.20,,otanemi01
31,Angel Perdomo*,31,,0.0,0,0,,5.40,4,0,0,0,0,0,3.1,2,2,2,0,3,0,2,1,0,0,16,86,5.54,1.500,5.4,0.0,8.1,5.4,0.67,,perdoan01
32,Matt Krook*,30,,0.0,0,0,,5.40,3,0,0,0,0,0,3.1,5,2,2,0,1,0,3,0,0,1,15,86,2.24,1.800,13.5,0.0,2.7,8.1,3.00,,krookma01
33,Jhonny Pereda,29,,-0.2,0,0,,21.00,3,0,3,0,0,0,3.0,9,7,7,1,2,0,3,0,0,0,20,22,7.47,3.667,27.0,3.0,6.0,9.0,1.50,,peredjh01
34,Willie MacIver,28,,0.1,0,0,,0.00,2,0,2,0,0,0,2.0,4,0,0,0,0,0,0,0,0,0,10,,3.14,2.000,18.0,0.0,0.0,0.0,,,macivwi01
35,Carlos Durán,23,,-0.2,0,0,,81.00,1,0,0,0,0,0,0.1,1,3,3,0,3,0,0,0,0,0,5,11,30.14,12.000,27.0,0.0,81.0,0.0,0.00,,duranca01
,Team Totals,,,8.2,76,86,.469,4.71,162,162,162,0,0,35,1437.2,1387,817,753,222,570,26,1323,80,7,29,6232,89,4.66,1.361,8.7,1.4,3.6,8.3,2.32,,-9999
