Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,J.T. Realmuto,34,C,2.6,134,550,502,57,129,26,1,12,52,8,2,35,129,.257,.315,.384,.700,91,.312,89,193,13,9,0,3,1,*2/DH,,realmjt01
2,Bryce Harper*,32,1B,3.2,132,580,501,72,131,32,0,27,75,12,2,70,121,.261,.357,.487,.844,129,.367,127,244,5,6,0,3,6,*3/D,,harpebr03
3,Bryson Stott*,27,2B,2.1,147,560,499,66,128,22,3,13,66,24,5,54,91,.257,.328,.391,.719,96,.324,95,195,4,1,2,4,1,*46H,,stottbr01
4,Trea Turner,32,SS,5.5,141,639,589,94,179,31,7,15,69,36,7,43,107,.304,.355,.457,.812,121,.368,124,269,11,5,0,2,1,*6/DH,,turnetr01
5,Alec Bohm,28,3B,1.3,120,504,464,53,133,18,3,11,59,2,0,29,82,.287,.331,.409,.741,102,.334,105,190,16,5,0,6,0,53,,bohmal01
6,Max Kepler*,32,LF,0.0,127,474,417,58,90,19,0,18,52,3,0,48,93,.216,.300,.391,.691,88,.303,83,163,10,4,1,4,3,*79H/8,,keplema01
7,Brandon Marsh*,27,CF,1.7,133,425,379,59,106,25,2,11,43,7,1,38,110,.280,.342,.443,.785,114,.346,112,168,2,0,3,4,1,*87H/9,,marshbr02
8,Nick Castellanos,33,RF,-1.0,147,589,547,72,137,27,2,17,72,4,0,32,133,.250,.294,.400,.694,88,.309,87,219,13,4,0,6,0,*9/DH,,casteni01
9,Kyle Schwarber*,32,DH,4.7,162,724,604,111,145,23,2,56,132,10,2,108,197,.240,.365,.563,.928,150,.396,149,340,4,11,0,1,6,*D/7,AS,schwaky01
10,Edmundo Sosa,29,IF,2.3,89,261,243,30,67,12,1,11,39,1,1,10,56,.276,.307,.469,.777,109,.337,109,114,7,2,3,2,0,456H/78D,,sosaed01
11,Otto Kemp,25,CI,0.0,62,218,197,26,46,11,0,8,28,2,2,12,67,.234,.298,.411,.709,92,.314,93,81,4,7,0,2,0,537/H4,,kempot01
12,Harrison Bader,31,CF,1.4,50,194,177,30,54,11,1,5,16,1,3,12,55,.305,.361,.463,.824,124,.351,122,82,2,4,0,1,0,8/H,,baderha01
13,Johan Rojas,24,CF,0.5,71,172,152,23,34,3,2,1,18,12,2,13,40,.224,.280,.289,.569,57,.271,53,44,2,0,4,3,0,8H/D,,rojasjo03
14,Weston Wilson,30,LF,-0.5,52,125,111,15,22,4,0,5,17,2,3,12,34,.198,.282,.369,.652,77,.289,80,41,1,1,1,0,0,74/3H1D5,,wilsowe01
15,Rafael Marchán#,26,C,0.3,42,118,105,9,22,4,0,2,13,0,0,10,17,.210,.282,.305,.587,61,.266,57,32,1,1,1,1,0,2/H,,marchra01
16,Donovan Walton*,31,2B,-0.1,2,9,8,1,1,0,0,0,1,0,0,0,1,.125,.125,.125,.250,-31,.113,-70,1,0,0,1,0,0,/4,,waltodo01
17,Buddy Kennedy,26,CI,-0.1,4,8,7,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-61,.087,-69,0,0,0,0,0,0,/35DH,,kennebu01
18,Cal Stevenson*,28,CF,-0.2,5,8,8,0,2,0,0,0,1,0,0,0,2,.250,.250,.250,.500,38,.213,20,2,0,0,0,0,0,/8H,,steveca01
19,Kody Clemens*,29,UT,-0.1,7,7,6,0,0,0,0,0,0,0,0,1,0,.000,.143,.000,.143,-56,.100,-60,0,0,0,0,0,0,/H47D,,clemeko01
20,Garrett Stubbs*,32,DH,0.0,5,1,1,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/DH2,,stubbga01
,Team Totals,,,23.3,162,6166,5517,778,1426,268,24,212,753,124,30,528,1337,.258,.328,.431,.759,106,.336,106,2378,95,60,16,42,19,,,-9999
