Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Cristopher Sánchez*,28,SP,8.0,13,5,.722,2.50,32,32,0,1,0,0,202.0,171,58,56,12,44,0,212,6,1,6,807,176,2.55,1.064,7.6,0.5,2.0,9.4,4.82,,sanchcr01
2,Jesús Luzardo*,27,SP,3.9,15,7,.682,3.92,32,32,0,0,0,0,183.2,167,85,80,16,57,0,216,3,1,2,758,112,2.90,1.220,8.2,0.8,2.8,10.6,3.79,,luzarje01
3,Ranger Suárez*,29,SP,4.7,12,8,.600,3.20,26,26,0,0,0,0,157.1,154,57,56,14,38,0,151,6,0,0,651,137,3.21,1.220,8.8,0.8,2.2,8.6,3.97,,suarera01
4,Zack Wheeler,35,SP,5.0,10,5,.667,2.71,24,24,0,1,0,0,149.2,107,48,45,19,33,0,195,8,0,2,585,163,3.00,0.935,6.4,1.1,2.0,11.7,5.91,AS,wheelza01
5,Taijuan Walker,32,SP,1.5,5,8,.385,4.08,34,21,4,0,0,1,123.2,132,62,56,21,42,0,86,4,0,1,538,108,5.07,1.407,9.6,1.5,3.1,6.3,2.05,,walketa01
6,Aaron Nola,32,SP,-0.3,5,10,.333,6.01,17,17,0,0,0,0,94.1,99,65,63,18,28,0,97,4,0,1,404,73,4.58,1.346,9.4,1.7,2.7,9.3,3.46,,nolaaa01
7,Jhoan Duran,27,CL,0.9,1,2,.333,2.18,23,0,19,0,0,16,20.2,18,6,5,2,1,0,27,0,0,1,81,205,1.93,0.919,7.8,0.9,0.4,11.8,27.00,,duranjh01
8,Tanner Banks*,33,RP,1.7,6,2,.750,3.07,69,1,10,0,0,1,67.1,56,24,23,9,12,1,61,1,0,2,267,144,3.64,1.010,7.5,1.2,1.6,8.2,5.08,,banksta01
9,Matt Strahm*,33,RP,2.0,2,3,.400,2.74,66,0,19,0,0,6,62.1,47,22,19,5,20,1,70,2,0,3,256,161,2.99,1.075,6.8,0.7,2.9,10.1,3.50,,strahma01
10,Orion Kerkering,24,RP,0.9,8,4,.667,3.30,69,0,12,0,0,4,60.0,55,28,22,6,27,3,65,4,0,5,266,134,3.82,1.367,8.3,0.9,4.1,9.8,2.41,,kerkeor01
11,Jordan Romano,32,RP,-1.7,2,4,.333,8.23,49,0,14,0,0,8,42.2,45,40,39,10,17,1,47,3,1,0,187,54,5.39,1.453,9.5,2.1,3.6,9.9,2.76,,romanjo03
12,Joe Ross,32,,0.1,2,1,.667,5.12,37,1,9,0,0,0,51.0,57,30,29,8,18,1,39,3,0,0,228,86,4.88,1.471,10.1,1.4,3.2,6.9,2.17,,rossjo01
13,Max Lazar,26,,0.3,1,1,.500,4.79,36,0,19,0,0,1,41.1,41,23,22,7,12,0,26,0,0,3,170,92,4.95,1.282,8.9,1.5,2.6,5.7,2.17,,lazarma01
14,José Alvarado*,30,,0.4,4,2,.667,3.81,28,0,10,0,0,7,26.0,27,12,11,4,7,0,32,1,0,3,114,117,3.60,1.308,9.3,1.4,2.4,11.1,4.57,,alvarjo03
15,Carlos Hernández,28,,0.0,1,0,1.000,5.26,25,0,12,0,0,0,25.2,32,16,15,4,13,1,23,2,0,1,123,85,5.12,1.753,11.2,1.4,4.6,8.1,1.77,,hernaca04
16,Mick Abel,23,,0.3,2,2,.500,5.04,6,6,0,0,0,0,25.0,25,14,14,7,9,0,21,1,0,2,108,88,6.30,1.360,9.0,2.5,3.2,7.6,2.33,,abelmi01
17,David Robertson,40,,0.2,2,0,1.000,4.08,20,0,4,0,0,2,17.2,18,9,8,4,8,1,22,0,0,0,78,110,4.95,1.472,9.2,2.0,4.1,11.2,2.75,,roberda08
18,José Ruiz,30,,-0.6,1,0,1.000,8.16,16,0,2,0,0,0,14.1,21,14,13,3,6,0,12,0,0,0,68,55,5.44,1.884,13.2,1.9,3.8,7.5,2.00,,ruizjo01
19,Walker Buehler,30,,0.8,3,0,1.000,0.66,3,2,0,0,0,0,13.2,10,1,1,0,6,0,8,2,0,0,57,684,3.72,1.171,6.6,0.0,4.0,5.3,1.33,,buehlwa01
20,Daniel Robert,30,,0.0,0,0,,4.15,15,0,5,0,0,0,13.0,11,7,6,2,10,0,15,0,0,0,59,109,5.14,1.615,7.6,1.4,6.9,10.4,1.50,,roberda11
21,Seth Johnson,26,,0.0,1,1,.500,4.26,10,0,4,0,0,0,12.2,11,8,6,3,4,0,17,0,0,1,54,106,4.48,1.184,7.8,2.1,2.8,12.1,4.25,,johnsse01
22,Alan Rangel,27,,0.2,0,0,,2.45,5,0,3,0,0,1,11.0,10,3,3,1,6,0,8,0,1,0,46,185,4.50,1.455,8.2,0.8,4.9,6.5,1.33,,rangeal01
23,Lou Trivino,33,,0.3,0,1,.000,2.00,10,0,7,0,0,0,9.0,6,3,2,0,5,0,8,1,0,1,38,228,3.36,1.222,6.0,0.0,5.0,8.0,1.60,,trivilo01
24,Tim Mayza*,33,,0.0,0,0,,4.91,8,0,1,0,0,0,7.1,8,4,4,1,4,0,7,1,0,1,34,94,5.05,1.636,9.8,1.2,4.9,8.6,1.75,,mayzati01
25,Michael Mercado,26,,-0.2,0,0,,15.00,3,0,2,0,0,0,3.0,7,5,5,1,4,0,4,0,0,0,20,33,8.80,3.667,21.0,3.0,12.0,12.0,1.00,,mercami01
