Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Henry Davis,25,C,0.7,87,283,252,25,42,7,0,7,22,2,1,18,76,.167,.234,.278,.512,42,.237,40,70,2,5,3,3,0,2/HD,,davishe01
2,Spencer Horwitz*,27,1B,1.6,108,411,364,55,99,26,0,11,51,0,1,44,73,.272,.353,.434,.787,118,.346,119,158,7,2,0,1,1,3H/4D,,horwisp01
3,Nick Gonzales,26,2B,-0.7,96,408,381,39,99,18,3,5,30,0,2,21,73,.260,.299,.362,.661,84,.293,82,138,12,2,0,4,0,46,,gonzani01
4,Isiah Kiner-Falefa,30,SS,1.6,119,428,401,40,106,20,2,1,35,15,4,17,69,.264,.300,.332,.632,76,.293,78,133,9,4,5,1,0,65/H,,kineris01
5,Ke'Bryan Hayes,28,3B,1.2,100,392,369,34,87,10,2,2,36,10,2,18,81,.236,.279,.290,.569,59,.264,57,107,8,4,1,0,1,5/H,,hayeske01
6,Tommy Pham,37,LF,1.0,120,449,392,44,96,17,1,10,52,5,3,50,94,.245,.330,.370,.700,95,.317,98,145,12,2,0,5,3,*7/H9D,,phamth01
7,Oneil Cruz*,26,CF,0.3,135,544,471,62,94,18,3,20,61,38,5,64,174,.200,.298,.378,.676,87,.312,85,178,6,4,0,5,4,*8H/D,,cruzon01
8,Bryan Reynolds#,30,RF,1.4,154,654,587,68,144,38,3,16,73,3,2,57,173,.245,.318,.402,.720,99,.319,99,236,15,7,0,3,1,*9D/H,,reynobr01
9,Andrew McCutchen,38,DH,0.1,135,551,477,51,114,22,0,13,57,1,1,67,118,.239,.333,.367,.700,95,.311,94,175,12,2,0,3,5,*D/H97,,mccutan01
10,Jared Triolo,27,IF,2.4,107,376,331,41,75,18,2,7,24,13,2,39,76,.227,.311,.356,.667,86,.318,94,118,4,2,3,1,1,6534/H1D,,triolja01
11,Joey Bart,28,C,0.4,93,332,285,21,71,12,1,4,30,1,1,40,93,.249,.355,.340,.696,96,.320,100,97,14,7,0,0,0,2/HD,,bartjo01
12,Adam Frazier*,33,2B,0.3,78,262,235,22,60,10,0,3,21,7,5,17,45,.255,.318,.336,.654,83,.292,82,79,8,6,1,3,2,47H/9,,fraziad01
13,Alexander Canario,25,OF,0.4,87,234,216,25,47,6,1,6,20,3,1,17,80,.218,.274,.338,.611,70,.279,70,73,5,0,0,1,0,789H/D,,canaral01
14,Jack Suwinski*,26,OF,-0.3,59,178,150,15,22,7,0,3,10,7,1,24,57,.147,.281,.253,.534,51,.258,51,38,1,4,0,0,1,879/HD,,suwinja01
15,Enmanuel Valdéz*,26,1B,0.1,31,102,91,7,19,4,2,2,12,0,0,11,16,.209,.294,.363,.657,82,.292,80,33,2,0,0,0,0,3/4H9,,valdeen01
16,Liover Peguero,24,IF,0.2,33,88,80,9,16,1,0,4,8,4,0,6,25,.200,.273,.363,.635,75,.302,79,29,3,2,0,0,0,6/3H4,,pegueli01
17,Nick Yorke,23,UT,0.4,22,72,69,7,16,3,0,1,8,1,0,3,15,.232,.264,.319,.583,62,.273,64,22,1,0,0,0,0,4/395H,,yorkeni01
18,Endy Rodríguez#,25,UT,-0.5,18,57,52,5,9,4,0,0,2,0,1,5,14,.173,.246,.250,.496,39,.219,35,13,0,0,0,0,0,3/2H,,rodrien01
19,Matt Gorski,27,UT,-0.3,15,42,41,2,8,0,1,2,4,0,1,1,16,.195,.214,.390,.605,64,.241,52,16,1,0,0,0,0,3/H87,,gorskma01
20,Cam Devanney,28,3B,-0.5,14,38,36,1,5,1,0,0,1,0,1,2,21,.139,.184,.167,.351,-1,.151,-10,6,1,0,0,0,0,5/H,,devanca01
21,Ronny Simón#,25,OF,-0.5,8,32,30,4,7,1,0,0,2,1,0,1,8,.233,.250,.267,.517,45,.231,32,8,0,0,0,1,0,/97DH,,simonro01
22,Ji Hwan Bae*,25,OF,-0.4,13,25,20,4,1,0,0,0,0,4,1,5,9,.050,.240,.050,.290,-12,.190,-4,1,0,0,0,0,0,/H78D9,,baeji01
23,Rafael Flores,24,UT,0.0,7,17,15,0,3,2,0,0,0,0,0,2,7,.200,.294,.333,.627,75,.282,73,5,0,0,0,0,0,/32H,,florera03
24,Nick Solak,30,UT,-0.5,4,11,11,0,1,0,0,0,0,0,0,0,2,.091,.091,.091,.182,-49,.073,-75,1,0,0,0,0,0,/347H,,solakni01
25,Brett Sullivan*,31,C,0.0,3,9,6,1,1,0,0,0,2,0,0,1,3,.167,.333,.167,.500,46,.258,56,1,0,1,0,1,0,/2,,sullibr01
26,Tsung-Che Cheng*,23,MI,0.0,3,7,7,0,0,0,0,0,0,0,1,0,3,.000,.000,.000,.000,-100,.057,-35,0,0,0,0,0,0,/64,,chengts01
27,Billy Cook,26,UT,0.0,3,6,6,1,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,87,.300,86,2,0,0,0,0,0,/9H38,,cookbi01
,Team Totals,,,8.5,162,6008,5375,583,1244,245,21,117,561,115,36,530,1422,.231,.305,.350,.655,82,.298,83,1882,123,54,13,32,19,,,-9999
