Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Paul Skenes,23,SP,7.6,10,10,.500,1.97,32,32,0,1,0,0,187.2,136,45,41,11,42,0,216,6,0,2,733,217,2.36,0.948,6.5,0.5,2.0,10.4,5.14,AS,skenepa01
2,Mitch Keller,29,SP,1.4,6,15,.286,4.19,32,32,0,0,0,0,176.1,171,91,82,21,51,0,150,10,0,5,749,102,4.02,1.259,8.7,1.1,2.6,7.7,2.94,,kellemi03
3,Andrew Heaney*,34,SP,-0.2,5,10,.333,5.39,26,23,0,0,0,0,120.1,125,74,72,24,39,0,84,9,0,2,525,79,5.53,1.363,9.3,1.8,2.9,6.3,2.15,,heanean01
4,Bailey Falter*,28,SP,1.5,7,5,.583,3.73,22,22,0,0,0,0,113.1,95,53,47,17,39,0,70,1,0,4,457,115,4.91,1.182,7.5,1.4,3.1,5.6,1.79,,falteba01
5,Mike Burrows,25,SP,1.5,2,4,.333,3.94,23,19,0,0,0,0,96.0,88,43,42,13,31,1,97,5,0,2,402,109,4.00,1.240,8.3,1.2,2.9,9.1,3.13,,burromi01
6,David Bednar,30,CL,1.3,2,5,.286,2.37,42,0,34,0,0,17,38.0,32,12,10,2,10,2,51,1,0,3,154,182,2.00,1.105,7.6,0.5,2.4,12.1,5.10,,bednada01
7,Dennis Santana,29,RP,2.7,4,5,.444,2.18,70,0,34,0,0,16,70.1,44,18,17,5,17,0,60,3,0,0,270,197,3.21,0.867,5.6,0.6,2.2,7.7,3.53,,santade01
8,Isaac Mattson,29,RP,1.5,3,3,.500,2.45,44,0,12,0,0,0,47.2,35,14,13,4,19,2,45,2,0,0,198,175,3.66,1.133,6.6,0.8,3.6,8.5,2.37,,mattsis01
9,Chase Shugart,28,RP,0.7,4,3,.571,3.40,35,0,11,0,0,0,45.0,33,18,17,6,17,2,31,1,0,3,181,126,4.69,1.111,6.6,1.2,3.4,6.2,1.82,,shugach01
10,Caleb Ferguson*,28,RP,0.7,2,2,.500,3.74,45,0,2,0,0,0,43.1,33,18,18,1,14,2,34,5,0,0,176,115,3.18,1.085,6.9,0.2,2.9,7.1,2.43,,ferguca01
11,Carmen Mlodzinski,26,,1.4,5,8,.385,3.55,34,12,7,0,0,0,99.0,102,42,39,8,27,0,89,4,0,5,419,121,3.33,1.303,9.3,0.7,2.5,8.1,3.30,,mlodzca01
12,Braxton Ashcraft,25,,2.0,4,4,.500,2.71,26,8,6,0,0,0,69.2,63,22,21,3,24,1,71,2,0,1,292,158,2.78,1.249,8.1,0.4,3.1,9.2,2.96,,ashcrbr01
13,Johan Oviedo,27,,0.8,2,1,.667,3.57,9,9,0,0,0,0,40.1,26,17,16,6,23,0,42,3,1,1,170,121,4.92,1.215,5.8,1.3,5.1,9.4,1.83,,oviedjo01
14,Kyle Nicolas,26,,0.0,1,2,.333,4.74,31,0,5,0,0,0,38.0,34,21,20,3,18,0,34,2,0,1,167,91,3.95,1.368,8.1,0.7,4.3,8.1,1.89,,nicolky01
15,Yohan Ramírez,30,,-0.6,3,3,.500,5.40,24,0,5,0,0,0,33.1,33,25,20,4,16,1,45,4,0,4,155,80,3.80,1.470,8.9,1.1,4.3,12.2,2.81,,ramiryo01
16,Bubba Chandler,22,,0.4,4,1,.800,4.02,7,4,1,0,0,1,31.1,25,14,14,2,4,0,31,3,0,1,124,107,2.66,0.926,7.2,0.6,1.1,8.9,7.75,,chandbu01
17,Ryan Borucki*,31,,-0.3,1,3,.250,5.28,35,0,8,0,0,0,30.2,26,20,18,4,12,1,27,1,1,2,126,82,4.34,1.239,7.6,1.2,3.5,7.9,2.25,,borucry01
18,Joey Wentz*,27,,0.3,2,1,.667,4.15,19,0,7,0,0,0,26.0,25,14,12,2,11,2,22,1,0,0,115,104,3.83,1.385,8.7,0.7,3.8,7.6,2.00,,wentzjo01
19,Colin Holderman,29,,-0.8,0,2,.000,7.01,24,0,6,0,0,1,25.2,34,21,20,4,16,1,18,2,0,3,125,62,5.86,1.948,11.9,1.4,5.6,6.3,1.13,,holdeco01
20,Justin Lawrence,30,,1.0,1,0,1.000,0.51,17,0,3,0,0,0,17.2,9,1,1,0,8,2,23,2,0,2,69,855,2.23,0.962,4.6,0.0,4.1,11.7,2.88,,lawreju01
21,Dauri Moreta,29,,0.3,1,1,.500,3.24,18,0,6,0,0,0,16.2,16,8,6,2,7,1,19,0,0,0,68,135,3.68,1.380,8.6,1.1,3.8,10.3,2.71,,moretda01
22,Evan Sisk*,28,,0.1,1,1,.500,4.38,14,0,4,0,0,0,12.1,11,6,6,1,5,0,14,2,0,2,54,100,3.62,1.297,8.0,0.7,3.6,10.2,2.80,,siskev01
23,Génesis Cabrera*,28,,0.0,0,0,,4.91,9,0,1,0,0,0,11.0,12,6,6,2,1,0,7,1,0,0,46,90,4.77,1.182,9.8,1.6,0.8,5.7,7.00,,cabrege01
24,Tim Mayza*,33,,0.2,0,0,,2.89,7,0,4,0,0,0,9.1,9,3,3,1,1,0,8,1,0,0,40,153,3.46,1.071,8.7,1.0,1.0,7.7,8.00,,mayzati01
25,Tom Harrington,23,,-0.7,0,1,.000,15.58,3,1,1,0,0,1,8.2,18,15,15,3,7,0,7,0,0,2,50,29,8.44,2.885,18.7,3.1,7.3,7.3,1.00,,harrito03
26,Tanner Rainey,32,,-0.5,0,1,.000,10.57,11,0,0,0,0,0,7.2,7,9,9,0,6,0,9,1,0,0,37,42,3.53,1.696,8.2,0.0,7.0,10.6,1.50,,raineta01
27,Cam Sanders,28,,-0.2,0,0,,8.10,6,0,2,0,0,0,6.2,9,6,6,2,5,0,4,0,0,0,34,56,8.09,2.100,12.2,2.7,6.8,5.4,0.80,,sandeca01
28,Hunter Barco*,24,,0.2,1,0,1.000,0.00,2,0,0,0,0,0,3.0,3,0,0,0,0,0,3,0,0,0,12,,1.14,1.000,9.0,0.0,0.0,9.0,,,barcohu01
29,Hunter Stratton,28,,-0.3,0,0,,23.63,3,0,1,0,0,0,2.2,10,7,7,1,2,0,1,1,0,0,21,20,10.64,4.500,33.8,3.4,6.8,3.4,0.50,,strathu01
30,Michael Darrell-Hicks,27,,0.1,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0,0,1,5,,1.14,0.000,0.0,0.0,0.0,9.0,,,darremi01
31,Jared Triolo,27,,-0.1,0,0,,0.00,1,0,1,0,0,0,1.0,3,2,0,1,1,0,0,0,0,0,8,,19.14,4.000,27.0,9.0,9.0,0.0,0.00,,triolja01
,Team Totals,,,21.8,71,91,.438,3.76,162,162,161,1,0,36,1430.2,1267,645,598,153,473,18,1314,73,2,46,5982,114,3.83,1.216,8.0,1.0,3.0,8.3,2.78,,-9999
