Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Elias Díaz,34,C,-0.2,106,283,255,34,52,7,0,9,29,0,0,21,74,.204,.270,.337,.607,67,.271,63,86,11,2,5,0,0,2H,,diazel01
2,Luis Arráez*,28,1B,1.3,154,675,620,66,181,30,4,8,61,11,4,34,21,.292,.327,.392,.719,99,.318,97,243,12,2,12,7,0,*3D4/H,,arraelu01
3,Jake Cronenworth*,31,2B,2.4,135,515,419,61,103,20,1,11,59,3,3,69,107,.246,.367,.377,.744,108,.339,114,158,4,15,4,7,1,*436/DH,,croneja01
4,Xander Bogaerts,32,SS,2.0,136,552,491,63,129,30,0,11,53,20,2,48,94,.263,.328,.391,.720,99,.320,94,192,12,4,1,8,3,*6/DH,,bogaexa01
5,Manny Machado,32,3B,4.1,159,678,615,91,169,33,0,27,95,14,3,55,131,.275,.335,.460,.795,118,.346,115,283,16,3,0,5,4,*5D,AS,machama01
6,Ramón Laureano,30,LF,0.8,50,198,182,27,49,9,2,9,30,3,1,13,47,.269,.323,.489,.812,122,.348,118,89,4,2,0,1,0,78/9HD,,laurera01
7,Jackson Merrill*,22,CF,2.8,115,483,440,59,116,25,6,16,67,1,2,33,108,.264,.317,.457,.774,112,.331,108,201,4,4,1,5,1,*8/H,,merrija01
8,Fernando Tatis Jr.,26,RF,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,.268,.368,.446,.814,125,.368,129,265,6,6,0,2,7,*9/D,AS,tatisfe02
9,Gavin Sheets*,29,DH,0.7,145,545,492,57,124,28,1,19,71,2,1,44,107,.252,.317,.429,.746,105,.326,103,211,9,5,0,4,1,7DH3,,sheetga01
10,Jose Iglesias,35,IF,-0.7,112,343,306,29,70,11,0,3,36,5,1,24,56,.229,.298,.294,.592,66,.288,74,90,7,7,4,2,0,465HD/7,,iglesjo01
11,Ryan O'Hearn*,31,1B,0.5,50,183,163,22,45,6,0,4,20,0,0,16,46,.276,.350,.387,.736,105,.332,107,63,1,3,0,1,1,3D/H9,AS,ohearry01
12,Martín Maldonado,38,C,-0.3,64,161,147,11,30,6,0,4,12,0,0,8,57,.204,.245,.327,.572,57,.258,53,48,3,0,6,0,0,2,,maldoma01
13,Freddy Fermin,30,C,0.9,42,139,127,15,31,6,0,2,14,0,0,6,28,.244,.278,.339,.617,70,.285,73,43,3,0,6,0,0,2/H,,fermifr01
14,Tyler Wade*,30,OF,-0.6,59,127,107,13,22,1,2,0,9,1,2,15,31,.206,.309,.252,.561,59,.262,61,27,0,1,4,0,0,8H7/459D61,,wadety01
15,Jason Heyward*,35,LF,-0.6,34,95,85,9,15,2,0,2,12,0,1,6,20,.176,.223,.271,.494,37,.220,31,23,1,0,0,3,0,7/H98,,heywaja01
16,Brandon Lockridge,28,OF,-0.2,47,95,88,9,19,4,0,0,5,8,1,4,24,.216,.258,.261,.519,45,.247,35,23,2,1,2,0,0,78H/9,,lockrbr01
17,Bryce Johnson#,29,OF,0.6,55,84,76,9,26,4,0,1,8,4,1,3,19,.342,.383,.434,.817,127,.375,135,33,1,2,3,0,0,78H9,,johnsbr03
18,Oscar González,27,OF,-0.5,21,61,59,2,13,1,0,0,4,0,1,2,13,.220,.246,.237,.483,35,.209,26,14,1,0,0,0,0,7/9HD,,gonzaos01
19,Trenton Brooks*,29,DH,-0.5,25,43,41,5,6,2,0,1,2,0,0,2,13,.146,.186,.268,.454,24,.198,13,11,2,0,0,0,0,HD/7,,brooktr01
20,Yuli Gurriel,41,DH,-0.5,16,40,36,2,4,1,0,0,3,0,0,4,8,.111,.200,.139,.339,-3,.169,-9,5,0,0,0,0,0,D/H3,,gourryu01
21,Luis Campusano,26,DH,-0.4,10,27,21,0,0,0,0,0,0,0,0,6,11,.000,.222,.000,.222,-31,.155,-18,0,2,0,0,0,0,/DH,,campulu01
22,Mason McCoy,30,MI,-0.2,18,26,22,5,3,1,0,0,1,2,0,3,7,.136,.269,.182,.451,29,.272,52,4,0,1,0,0,0,6/H4D,,mccoyma01
23,Will Wagner*,26,IF,-0.1,15,17,15,2,2,0,0,0,0,0,0,2,2,.133,.235,.133,.369,6,.188,6,2,1,0,0,0,0,H/45,,wagnewi01
24,Tirso Ornelas*,25,OF,-0.3,7,16,14,0,1,0,0,0,1,0,0,2,2,.071,.188,.071,.259,-24,.143,-26,1,1,0,0,0,0,/7H8D,,ornelti01
25,Connor Joe,32,UT,-0.2,7,10,9,0,0,0,0,0,0,0,0,1,6,.000,.100,.000,.100,-69,.070,-78,0,0,0,0,0,0,/H378D,,joeco01
,Team Totals,,,16.8,162,6087,5424,702,1369,254,18,152,663,106,30,510,1161,.252,.321,.390,.711,96,.318,96,2115,103,58,48,45,18,,,-9999
