Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Nick Pivetta,32,SP,5.3,13,5,.722,2.87,31,31,0,0,0,0,181.2,129,63,58,22,50,1,190,3,0,1,721,149,3.49,0.985,6.4,1.1,2.5,9.4,3.80,,pivetni01
2,Dylan Cease,29,SP,1.1,8,12,.400,4.55,32,32,0,0,0,0,168.0,152,91,85,21,71,2,215,5,0,5,722,94,3.56,1.327,8.1,1.1,3.8,11.5,3.03,,ceasedy01
3,Randy Vásquez,26,SP,2.2,6,7,.462,3.84,28,26,1,0,0,0,133.2,125,59,57,16,52,1,78,7,1,3,570,111,4.85,1.324,8.4,1.1,3.5,5.3,1.50,,vasqura02
4,Stephen Kolek,28,SP,0.9,4,5,.444,4.18,14,14,0,1,1,0,79.2,78,40,37,8,26,1,56,7,0,0,336,103,4.28,1.305,8.8,0.9,2.9,6.3,2.15,,kolekst01
5,Michael King,30,SP,1.2,5,3,.625,3.44,15,15,0,1,1,0,73.1,62,31,28,12,26,0,76,4,0,2,308,125,4.42,1.200,7.6,1.5,3.2,9.3,2.92,,kingmi01
6,Yu Darvish,38,SP,0.0,5,5,.500,5.38,15,15,0,0,0,0,72.0,66,44,43,14,19,0,68,6,0,4,296,80,4.82,1.181,8.3,1.8,2.4,8.5,3.58,,darviyu01
7,Robert Suarez,34,CL,2.3,4,6,.400,2.97,70,0,56,0,0,40,69.2,47,24,23,6,16,2,75,2,0,1,269,144,2.88,0.904,6.1,0.8,2.1,9.7,4.69,AS,suarero01
8,Adrián Morejón*,26,RP,2.4,13,6,.684,2.08,75,0,9,0,0,3,73.2,49,23,17,2,17,3,70,0,0,2,286,206,2.28,0.896,6.0,0.2,2.1,8.6,4.12,AS,morejad01
9,Jeremiah Estrada,26,RP,1.2,4,5,.444,3.45,77,0,7,0,0,3,73.0,58,31,28,12,27,2,108,3,0,3,304,124,3.55,1.164,7.2,1.5,3.3,13.3,4.00,,estraje01
10,Wandy Peralta*,33,RP,1.1,6,1,.857,3.14,71,1,17,0,0,0,71.2,66,29,25,5,30,3,63,2,1,1,313,137,3.62,1.340,8.3,0.6,3.8,7.9,2.10,,peralwa01
