Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Cal Raleigh#,28,C,7.3,159,705,596,110,147,24,0,60,125,14,4,97,188,.247,.359,.589,.948,169,.392,165,351,6,9,0,3,17,*2D/H,AS,raleica01
2,Josh Naylor*,28,1B,2.2,54,210,194,32,58,10,0,9,33,19,0,11,34,.299,.341,.490,.831,138,.380,141,95,3,2,0,1,0,3/DH,,naylojo01
3,Cole Young*,21,2B,0.5,77,257,223,24,47,7,1,4,24,1,0,28,47,.211,.302,.305,.607,78,.273,77,68,4,2,2,2,1,4/H6D,,youngco01
4,J.P. Crawford*,30,SS,3.7,157,654,570,69,151,24,0,12,58,8,1,74,122,.265,.352,.370,.722,111,.322,113,211,11,3,6,1,1,*6/H,,crawfjp01
5,Ben Williamson,24,3B,1.3,85,295,277,36,70,13,0,1,21,5,1,15,64,.253,.294,.310,.604,76,.272,75,86,5,1,2,0,0,5/H,,willibe03
6,Randy Arozarena,30,LF,3.9,160,709,613,95,146,32,1,27,76,31,6,64,191,.238,.334,.426,.760,119,.341,124,261,9,27,0,5,2,*7/D,AS,arozara01
7,Julio Rodríguez,24,CF,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,.267,.324,.474,.798,128,.353,133,309,15,12,0,2,5,*8/DH,AS,rodriju01
8,Dominic Canzone*,27,RF,1.6,82,269,243,30,73,11,0,11,32,3,1,20,59,.300,.358,.481,.840,142,.361,142,117,6,3,0,2,0,9H/D,,canzodo01
9,Jorge Polanco#,31,DH,2.6,138,524,471,64,125,30,0,26,78,6,3,42,82,.265,.326,.495,.821,134,.348,134,233,7,3,3,5,1,D4H/53,,polanjo01
10,Mitch Garver,34,DH,-0.1,87,290,254,29,53,5,1,9,30,3,0,30,80,.209,.297,.343,.639,86,.286,86,87,6,3,0,3,1,2DH,,garvemi01
11,Eugenio Suárez,33,3B,0.3,53,220,201,27,38,9,0,13,31,3,1,17,79,.189,.255,.428,.682,94,.289,89,86,4,1,0,1,1,5/3,AS,suareeu01
12,Luke Raley*,30,UT,-0.3,73,219,183,23,37,8,0,4,19,2,1,19,64,.202,.319,.311,.631,85,.294,94,57,2,13,3,1,0,93H/8D7,,raleylu01
13,Dylan Moore,32,UT,0.2,88,213,192,29,37,5,0,9,19,12,4,19,76,.193,.263,.359,.622,79,.283,83,69,1,0,0,2,0,H9435/6D8,,mooredy01
14,Rowdy Tellez*,30,1B,-0.8,62,185,173,20,36,6,0,11,27,1,0,8,49,.208,.249,.434,.682,93,.289,89,75,6,2,0,2,0,3/HD,,tellero01
15,Donovan Solano,37,1B,0.0,69,176,163,10,41,4,1,3,21,0,0,8,38,.252,.295,.344,.639,86,.284,87,56,9,3,0,2,0,3H/5,,solando01
16,Miles Mastrobuoni*,29,UT,0.2,76,175,152,20,38,4,0,1,12,6,3,17,29,.250,.324,.296,.620,83,.279,82,45,2,0,5,1,0,H5497/13D,,mastrmi01
17,Víctor Robles,28,RF,-0.2,32,114,106,12,26,4,1,1,9,6,2,3,26,.245,.281,.330,.611,77,.282,82,35,3,3,0,2,0,9/H8,,roblevi01
18,Leo Rivas#,27,2B,0.8,48,111,90,19,22,2,0,2,9,6,0,20,24,.244,.387,.333,.721,113,.343,120,30,1,1,0,0,0,4H/6D5179,,rivasle01
19,Leody Taveras#,26,RF,-0.6,28,98,92,6,16,3,0,2,9,3,2,3,27,.174,.198,.272,.470,35,.210,33,25,0,0,2,1,0,9/8H,,taverle01
20,Ryan Bliss,25,2B,-0.2,11,39,35,1,7,1,0,1,3,2,2,4,11,.200,.282,.314,.596,74,.253,73,11,2,0,0,0,0,4,,blissry01
21,Rhylan Thomas*,25,OF,0.0,3,10,8,2,1,1,0,0,2,0,0,1,0,.125,.200,.250,.450,30,.282,85,2,0,0,0,1,0,/97,,thomarh01
22,Samad Taylor,26,OF,-0.1,4,9,8,1,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,-27,.099,-68,1,0,0,1,0,0,/98H,,taylosa04
23,Harry Ford,22,C,0.0,8,8,6,1,1,0,0,0,1,0,0,0,3,.167,.250,.167,.417,25,.201,26,1,0,1,0,1,0,/2HD,,fordha01
24,Emerson Hancock,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,hancoem01
25,Zach Pop,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,popza01
26,Trent Thornton,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thorntr01
27,José Castillo*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,castijo03
28,Casey Legumina,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,legumca01
,Team Totals,,,29.1,162,6200,5502,766,1345,234,9,238,734,161,37,544,1446,.244,.320,.420,.740,113,.325,114,2311,102,89,24,38,29,,,-9999
