Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Bryan Woo,25,SP,4.3,15,7,.682,2.94,30,30,0,0,0,0,186.2,137,64,61,26,36,0,198,4,0,3,731,128,3.47,0.927,6.6,1.3,1.7,9.5,5.50,AS,woobr01
2,Luis Castillo,32,SP,2.1,11,8,.579,3.54,32,32,0,0,0,0,180.2,168,76,71,23,46,0,162,7,0,3,745,107,3.88,1.185,8.4,1.1,2.3,8.1,3.52,,castilu02
3,Logan Gilbert,28,SP,2.1,6,6,.500,3.44,25,25,0,0,0,0,131.0,104,53,50,20,31,0,173,7,0,10,535,110,3.35,1.031,7.1,1.4,2.1,11.9,5.58,,gilbelo01
4,George Kirby,27,SP,0.8,10,8,.556,4.21,23,23,0,0,0,0,126.0,121,60,59,15,29,0,137,7,0,3,524,90,3.37,1.190,8.6,1.1,2.1,9.8,4.72,,kirbyge01
5,Bryce Miller,26,SP,-0.8,4,6,.400,5.68,18,18,0,0,0,0,90.1,93,57,57,17,34,0,74,3,0,2,392,67,5.17,1.406,9.3,1.7,3.4,7.4,2.18,,millebr04
6,Emerson Hancock,26,SP,-0.2,4,5,.444,4.90,22,16,2,0,0,0,90.0,93,51,49,15,31,0,64,5,1,2,385,77,5.08,1.378,9.3,1.5,3.1,6.4,2.06,,hancoem01
7,Andrés Muñoz,26,CL,2.4,3,3,.500,1.73,64,0,47,0,0,38,62.1,36,18,12,2,28,3,83,4,0,7,254,219,2.43,1.027,5.2,0.3,4.0,12.0,2.96,AS,munozan01
8,Eduard Bazardo,29,RP,1.8,5,0,1.000,2.52,73,0,18,0,0,0,78.2,53,23,22,9,27,2,82,2,0,2,313,150,3.64,1.017,6.1,1.0,3.1,9.4,3.04,,bazared01
9,Carlos Vargas,25,RP,0.0,5,5,.500,3.97,70,0,10,0,0,1,77.0,81,39,34,10,23,4,54,7,1,5,331,95,4.59,1.351,9.5,1.2,2.7,6.3,2.35,,vargaca01
10,Gabe Speier*,30,RP,1.4,4,3,.571,2.61,76,0,4,0,0,0,62.0,43,19,18,5,11,1,82,5,0,1,243,145,2.31,0.871,6.2,0.7,1.6,11.9,7.45,,speiega01
11,Matt Brash,27,RP,1.0,1,3,.250,2.47,53,0,8,0,0,4,47.1,41,15,13,4,18,2,58,2,0,0,199,154,3.05,1.246,7.8,0.8,3.4,11.0,3.22,,brashma01
12,Logan Evans,24,,0.0,6,5,.545,4.32,16,15,0,0,0,0,81.1,82,45,39,13,31,1,59,4,0,5,350,88,5.05,1.389,9.1,1.4,3.4,6.5,1.90,,evanslo01
13,Casey Legumina,28,,-0.9,4,6,.400,5.62,48,1,17,0,0,0,49.2,47,36,31,7,25,2,55,2,0,1,219,68,4.38,1.450,8.5,1.3,4.5,10.0,2.20,,legumca01
14,Trent Thornton,31,,-0.1,2,0,1.000,4.68,33,0,7,0,0,0,42.1,41,23,22,6,14,2,32,4,0,1,180,81,4.74,1.299,8.7,1.3,3.0,6.8,2.29,,thorntr01
15,Collin Snider,29,,-0.7,2,1,.667,5.47,24,0,4,0,0,0,26.1,32,20,16,3,6,1,24,2,0,1,119,70,3.71,1.443,10.9,1.0,2.1,8.2,4.00,,snideco01
16,Caleb Ferguson*,28,,0.2,3,2,.600,3.27,25,0,2,0,0,0,22.0,21,9,8,1,8,1,17,1,0,1,94,117,3.41,1.318,8.6,0.4,3.3,7.0,2.13,,ferguca01
17,Jackson Kowar,28,,0.1,2,0,1.000,4.24,15,0,9,0,0,0,17.0,14,8,8,4,7,0,15,1,0,2,71,91,5.84,1.235,7.4,2.1,3.7,7.9,2.14,,kowarja01
18,Casey Lawrence,37,,-0.4,1,2,.333,3.00,5,0,3,0,0,0,15.0,20,12,5,2,1,0,6,0,0,1,65,129,4.27,1.400,12.0,1.2,0.6,3.6,6.00,,lawreca01
19,Tayler Saucedo*,32,,-0.3,0,0,,7.43,10,0,5,0,0,0,13.1,19,12,11,2,6,0,12,1,0,0,66,52,4.86,1.875,12.8,1.4,4.1,8.1,2.00,,sauceta01
20,Luke Jackson,33,,0.1,0,0,,2.38,10,0,5,0,0,0,11.1,6,6,3,0,4,1,10,1,0,0,45,164,2.69,0.882,4.8,0.0,3.2,7.9,2.50,,jackslu01
