Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Patrick Bailey#,26,C,1.1,135,452,409,47,91,18,3,6,55,1,0,30,133,.222,.277,.325,.602,73,.269,70,133,7,3,4,6,0,*2H/D,,bailepa01
2,Dominic Smith*,30,1B,0.4,63,225,204,26,58,12,0,5,33,2,0,15,42,.284,.333,.417,.750,114,.329,112,85,5,2,0,4,0,3/HD9,,smithdo02
3,Tyler Fitzgerald,27,2B,0.9,72,243,217,19,47,10,1,4,14,9,4,17,70,.217,.278,.327,.606,74,.276,75,71,3,2,6,1,0,4/H9,,fitzgty01
4,Willy Adames,29,SS,3.6,160,686,591,94,133,22,2,30,87,12,4,80,179,.225,.318,.421,.740,111,.326,110,249,9,5,0,9,2,*6/D,,adamewi01
5,Matt Chapman,32,3B,4.1,128,535,454,76,105,23,2,21,61,9,4,71,126,.231,.340,.430,.770,120,.341,122,195,8,6,0,4,1,*5,,chapmma01
6,Heliot Ramos,25,LF,1.2,157,695,620,85,159,24,1,21,69,6,4,52,158,.256,.328,.400,.728,108,.319,107,248,16,17,0,6,2,*7/DH,,ramoshe02
7,Jung Hoo Lee*,26,CF,1.8,150,617,560,73,149,31,12,8,55,10,3,47,71,.266,.327,.407,.735,110,.329,112,228,2,6,0,4,0,*8/HD,,leeju01
8,Mike Yastrzemski*,34,RF,1.7,96,372,321,38,74,14,1,8,28,6,2,47,86,.231,.330,.355,.685,97,.314,102,114,4,1,2,1,4,9/H1,,yastrmi01
9,Wilmer Flores,33,DH,0.3,125,463,419,44,101,10,0,16,71,1,0,34,88,.241,.307,.379,.686,96,.312,101,159,14,7,0,3,0,D3H/5,,florewi01
10,Rafael Devers*,28,DH,1.8,90,395,335,52,79,15,0,20,51,0,0,56,116,.236,.347,.460,.807,130,.349,127,154,9,2,0,2,3,D3/5H,,deverra01
11,Casey Schmitt,26,IF,0.6,95,348,312,34,74,15,0,12,40,0,0,27,83,.237,.305,.401,.706,101,.311,101,125,6,5,1,3,1,453/H6D,,schmica01
12,Christian Koss,27,2B,1.6,74,191,174,25,46,9,0,3,23,4,1,9,45,.264,.309,.368,.676,94,.317,103,64,4,3,3,2,0,4H5/61D,,kossch01
13,Luis Matos,23,RF,-0.2,57,184,172,26,38,9,1,8,22,4,0,11,27,.221,.266,.424,.691,95,.306,93,73,5,0,0,1,0,97/8HD,,matoslu02
14,LaMonte Wade Jr.*,31,1B,-1.2,50,169,144,12,24,8,2,1,15,0,0,21,35,.167,.275,.271,.546,58,.255,61,39,2,1,2,1,1,3/HD,,wadela01
15,Drew Gilbert*,24,RF,-0.2,39,109,100,12,19,5,1,3,13,1,1,7,20,.190,.248,.350,.598,70,.267,71,35,2,1,0,1,0,9/8H7,,gilbedr01
16,Andrew Knizner,30,C,0.3,33,88,77,12,17,1,1,1,5,0,0,7,10,.221,.299,.299,.598,73,.312,101,23,0,2,1,1,0,2/DH,,kniznan01
17,Sam Huff,27,C,-0.2,20,58,53,5,11,1,0,2,4,0,0,4,25,.208,.259,.340,.598,70,.264,67,18,2,0,0,1,0,2,,huffsa01
18,Jerar Encarnación,27,UT,0.0,19,56,55,5,11,3,0,2,7,1,0,1,15,.200,.214,.364,.578,62,.251,55,20,3,0,0,0,0,9/H73,,encarje01
19,Brett Wisely*,26,IF,0.3,22,54,48,5,10,4,0,1,10,1,1,4,10,.208,.269,.354,.623,78,.270,75,17,0,0,2,0,0,4/H56D,,wiselbr01
20,Bryce Eldridge*,20,DH,-0.2,10,37,28,1,3,2,0,0,4,0,0,7,13,.107,.297,.179,.476,42,.243,53,5,0,1,0,1,0,/D3,,eldribr01
21,Daniel Johnson*,29,OF,0.2,14,31,29,5,5,2,0,1,1,1,0,2,8,.172,.226,.345,.571,61,.257,57,10,0,0,0,0,0,/H897,,johnsda07
22,Grant McCray*,24,OF,-0.4,22,26,22,3,2,0,1,0,2,0,0,2,11,.091,.160,.182,.342,-2,.155,-14,4,1,0,1,1,0,97/H8,,mccragr01
23,David Villar,28,1B,0.0,9,25,20,4,4,1,0,0,1,0,0,4,5,.200,.360,.250,.610,80,.295,89,5,1,1,0,0,0,/3H5D,,villada01
24,Logan Porter,29,C,0.0,4,9,7,2,1,0,0,0,1,0,0,1,2,.143,.333,.143,.476,44,.258,64,1,0,1,0,0,0,/21,,portelo01
25,Sergio Alcántara#,28,IF,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-117,0,0,0,0,0,0,/56,,alcanse01
26,Tyler Rogers,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,rogerty01
27,Hayden Birdsong,23,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,birdsha01
28,Ryan Walker,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,walkery01
,Team Totals,,,17.6,162,6072,5375,705,1261,239,28,173,672,68,24,556,1380,.235,.311,.386,.697,99,.312,101,2075,103,66,22,52,14,,,-9999
