Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Logan Webb,28,SP,3.9,15,11,.577,3.22,34,34,0,0,0,0,207.0,210,82,74,14,46,0,224,6,0,2,856,124,2.60,1.237,9.1,0.6,2.0,9.7,4.87,AS,webblo01
2,Robbie Ray*,33,SP,2.8,11,8,.579,3.65,32,32,0,1,0,0,182.1,148,81,74,22,73,0,186,4,1,7,755,109,3.93,1.212,7.3,1.1,3.6,9.2,2.55,AS,rayro02
3,Justin Verlander,42,SP,1.2,4,11,.267,3.85,29,29,0,0,0,0,152.0,155,74,65,16,52,1,137,6,0,2,662,103,3.85,1.362,9.2,0.9,3.1,8.1,2.63,,verlaju01
4,Landen Roupp,26,SP,0.8,7,7,.500,3.80,22,22,0,0,0,0,106.2,113,55,45,11,45,1,102,3,1,7,476,105,3.91,1.481,9.5,0.9,3.8,8.6,2.27,,rouppla01
5,Ryan Walker,29,CL,0.1,5,7,.417,4.11,68,0,36,0,0,17,61.1,60,32,28,4,18,2,60,8,2,1,266,97,3.30,1.272,8.8,0.6,2.6,8.8,3.33,,walkery01
6,Spencer Bivens,31,RP,0.2,4,3,.571,4.00,54,0,16,0,0,3,81.0,83,42,36,6,25,1,61,5,0,3,343,100,3.70,1.333,9.2,0.7,2.8,6.8,2.44,,bivensp01
7,Randy Rodríguez,25,RP,1.9,3,5,.375,1.78,50,0,15,0,0,4,50.2,34,12,10,4,11,0,67,4,0,2,198,225,2.41,0.888,6.0,0.7,2.0,11.9,6.09,AS,rodrira02
8,Tyler Rogers,34,RP,1.7,4,3,.571,1.80,53,0,9,0,0,0,50.0,39,11,10,3,4,0,38,0,0,0,188,222,2.64,0.860,7.0,0.5,0.7,6.8,9.50,,rogerty01
9,Camilo Doval,27,RP,0.6,4,2,.667,3.09,47,0,29,0,0,15,46.2,32,20,16,2,24,1,50,2,2,3,191,130,3.22,1.200,6.2,0.4,4.6,9.6,2.08,,dovalca01
10,Hayden Birdsong,23,,-0.5,4,4,.500,4.80,21,10,2,0,0,0,65.2,61,42,35,10,37,0,68,5,0,6,298,83,4.96,1.492,8.4,1.4,5.1,9.3,1.84,,birdsha01
11,Tristan Beck,29,,0.1,1,0,1.000,4.61,31,1,9,0,0,2,56.2,47,29,29,7,16,0,41,2,0,3,232,87,4.25,1.112,7.5,1.1,2.5,6.5,2.56,,becktr01
12,Jordan Hicks,28,,-0.7,1,5,.167,6.47,13,9,2,0,0,0,48.2,55,36,35,3,20,0,43,4,0,4,217,62,3.65,1.541,10.2,0.6,3.7,8.0,2.15,,hicksjo03
13,Joey Lucchesi*,32,,0.4,0,1,.000,3.76,38,0,4,0,0,0,38.1,35,17,16,4,12,1,31,2,1,2,165,107,3.97,1.226,8.2,0.9,2.8,7.3,2.58,,lucchjo01
14,Carson Seymour,26,,-0.2,1,3,.250,4.75,16,3,7,0,0,0,36.0,37,21,19,9,13,0,26,1,0,0,156,84,6.11,1.389,9.3,2.3,3.3,6.5,2.00,,seymoca01
15,Erik Miller*,27,,1.6,4,1,.800,1.50,36,0,2,0,0,0,30.0,24,5,5,0,20,4,22,3,0,1,128,268,3.97,1.467,7.2,0.0,6.0,6.6,1.10,,milleer01
16,Kai-Wei Teng,26,,-0.5,2,4,.333,6.37,8,7,0,0,0,0,29.2,29,24,21,2,17,0,39,7,0,0,139,63,3.81,1.551,8.8,0.6,5.2,11.8,2.29,,tengka01
17,Matt Gage*,32,,0.2,0,1,.000,3.91,27,2,2,0,0,0,25.1,28,11,11,0,10,1,24,2,0,3,112,103,2.66,1.500,9.9,0.0,3.6,8.5,2.40,,gagema01
