Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Pedro Pagés,26,C,1.4,112,389,361,38,83,15,0,11,45,0,0,19,107,.230,.272,.363,.635,78,.278,74,131,9,3,3,3,1,*2/34,,pagespe02
2,Willson Contreras,33,1B,2.6,135,563,490,70,126,31,1,20,80,5,1,44,142,.257,.344,.447,.791,122,.349,123,219,15,23,1,4,1,*3D,,contrwi01
3,Brendan Donovan*,28,2B,2.7,118,515,460,64,132,32,0,10,50,3,3,42,67,.287,.353,.422,.775,119,.338,118,194,4,7,2,4,3,47/6DH,AS,donovbr01
4,Masyn Winn,23,SS,2.2,129,537,491,72,124,27,0,9,51,9,5,34,102,.253,.310,.363,.673,90,.298,89,178,11,8,2,2,0,*6/H,,winnma01
5,Nolan Arenado,34,3B,1.3,107,436,401,48,95,18,1,12,52,3,0,28,49,.237,.289,.377,.666,87,.297,86,151,10,3,0,4,4,5/DH,,arenano01
6,Lars Nootbaar*,27,LF,1.3,135,583,509,68,119,24,1,13,48,4,5,64,119,.234,.325,.361,.686,95,.303,94,184,4,6,1,3,3,*798/HD,,nootbla01
7,Victor Scott II*,24,CF,2.2,138,463,398,54,86,15,1,5,37,34,4,42,111,.216,.305,.296,.601,72,.288,71,118,3,10,10,3,0,*8/97,,scottvi01
8,Jordan Walker,23,RF,-1.6,111,396,363,40,78,13,1,6,41,10,3,29,126,.215,.278,.306,.584,66,.273,69,111,9,3,0,1,1,9/HD,,walkejo02
9,Iván Herrera,25,DH,2.2,107,452,388,54,110,13,0,19,66,8,2,43,84,.284,.373,.464,.837,136,.372,140,180,20,15,0,4,1,D2/7H,,herreiv01
10,Alec Burleson*,26,UT,1.8,139,546,497,54,144,26,2,18,69,5,1,39,79,.290,.343,.459,.801,125,.352,126,228,14,3,1,4,1,379D/H1,,burleal01
11,Nolan Gorman*,25,IF,0.2,111,402,351,48,72,14,1,14,46,1,1,47,136,.205,.296,.370,.666,88,.294,86,130,1,0,0,4,2,54D/H3,,gormano01
12,Thomas Saggese,23,MI,0.4,82,295,275,25,71,16,0,2,25,3,0,16,83,.258,.299,.338,.638,81,.287,79,93,5,1,1,2,0,465/HD,,saggeth01
13,Yohel Pozo,28,C,0.2,67,168,160,16,37,8,0,5,19,0,0,7,22,.231,.262,.375,.637,78,.281,76,60,4,0,0,1,0,2H/3D,,pozoyo01
14,José Fermín,26,UT,0.8,30,70,60,5,17,5,0,1,9,2,2,8,10,.283,.377,.417,.793,125,.358,137,25,0,1,1,0,0,4/H579D,,fermijo01
15,Nathan Church*,24,CF,0.3,27,65,56,9,10,1,0,1,8,1,0,3,18,.179,.254,.250,.504,44,.249,50,14,0,3,2,1,0,8/97H,,churcna01
16,Jimmy Crooks*,23,C,-0.3,15,46,45,3,6,0,1,1,1,0,0,0,17,.133,.152,.244,.397,10,.190,12,11,1,1,0,0,0,2/DH,,crookji01
17,Luken Baker,28,DH,-0.1,19,41,34,3,8,3,0,0,2,0,0,7,10,.235,.366,.324,.689,98,.318,102,11,3,0,0,0,0,DH/3,,bakerlu01
18,Jose Barrero,27,UT,-0.1,22,31,29,4,4,1,0,1,3,0,0,1,9,.138,.194,.276,.469,31,.210,26,8,0,1,0,0,0,/H48695,,garcijo02
19,Garrett Hampson,30,UT,-0.3,35,31,29,9,3,1,0,0,1,1,0,1,13,.103,.133,.138,.271,-23,.133,-38,4,1,0,1,0,0,7H/986D145,,hampsga01
20,Michael Siani*,25,CF,-0.1,19,19,17,4,4,0,0,0,0,0,0,2,7,.235,.316,.235,.551,60,.263,63,4,0,0,0,0,0,8/H,,sianimi01
21,Ryan Vilade,26,OF,-0.1,7,15,13,1,1,0,0,0,0,0,0,2,5,.077,.200,.077,.277,-17,.153,-15,1,1,0,0,0,0,/9H7D,,viladry01
22,César Prieto*,26,2B,-0.2,3,6,6,0,1,0,0,0,0,0,0,0,5,.167,.167,.167,.333,-5,.134,-27,1,0,0,0,0,0,/4HD,,prietce01
23,Andre Pallante,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pallaan01
24,Phil Maton,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,matonph01
25,Ryan Helsley,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,helslry01
,Team Totals,,,16.7,162,6069,5433,689,1331,263,9,148,653,89,27,478,1321,.245,.314,.378,.693,96,.310,95,2056,115,88,25,40,17,,,-9999
