Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Sonny Gray,35,SP,1.4,14,8,.636,4.28,32,32,0,1,1,0,180.2,185,93,86,25,38,0,201,3,0,2,753,96,3.39,1.234,9.2,1.2,1.9,10.0,5.29,,grayso01
2,Andre Pallante,26,SP,-1.3,6,15,.286,5.31,31,31,0,0,0,0,162.2,173,109,96,21,62,0,111,5,2,12,715,77,4.69,1.445,9.6,1.2,3.4,6.1,1.79,,pallaan01
3,Miles Mikolas,36,SP,0.3,8,11,.421,4.84,31,31,0,0,0,0,156.1,169,87,84,29,37,1,100,3,0,1,669,85,5.04,1.318,9.7,1.7,2.1,5.8,2.70,,mikolmi01
4,Matthew Liberatore*,25,SP,0.9,8,12,.400,4.21,29,29,0,0,0,0,151.2,158,79,71,19,40,0,122,4,0,6,648,97,4.03,1.305,9.4,1.1,2.4,7.2,3.05,,liberma01
5,Erick Fedde,32,SP,-0.1,3,10,.231,5.22,20,20,0,1,1,0,101.2,106,62,59,14,47,1,63,2,0,2,446,79,5.13,1.505,9.4,1.2,4.2,5.6,1.34,,feddeer01
6,Michael McGreevy,24,SP,0.7,8,4,.667,4.42,17,16,1,0,0,0,95.2,100,50,47,12,20,0,58,3,1,0,400,93,4.28,1.254,9.4,1.1,1.9,5.5,2.90,,mcgremi01
7,Ryan Helsley,30,CL,1.0,3,1,.750,3.00,36,0,29,0,0,21,36.0,36,12,12,4,14,2,41,1,0,4,157,138,3.55,1.389,9.0,1.0,3.5,10.3,2.93,,helslry01
8,Kyle Leahy,28,RP,1.5,4,2,.667,3.07,62,1,12,0,0,1,88.0,80,32,30,5,28,1,80,1,0,5,363,134,3.05,1.227,8.2,0.5,2.9,8.2,2.86,,leahyky01
9,JoJo Romero*,28,RP,1.7,4,6,.400,2.07,65,0,16,0,0,8,61.0,47,21,14,2,29,5,55,2,0,2,255,200,3.28,1.246,6.9,0.3,4.3,8.1,1.90,,romerjo01
10,John King*,30,RP,-0.3,2,1,.667,4.66,51,0,15,0,0,0,48.1,65,30,25,8,14,0,28,0,0,3,222,89,5.00,1.634,12.1,1.5,2.6,5.2,2.00,,kingjo01
11,Riley O'Brien,30,RP,1.5,3,1,.750,2.06,42,0,15,0,0,6,48.0,33,13,11,2,22,2,45,7,0,3,199,200,3.62,1.146,6.2,0.4,4.1,8.4,2.05,,obrieri01
12,Matt Svanson,26,,1.8,4,0,1.000,1.94,39,0,10,0,0,0,60.1,33,14,13,3,20,0,68,4,0,1,234,213,2.72,0.878,4.9,0.4,3.0,10.1,3.40,,svansma01
13,Steven Matz*,34,,0.4,5,2,.714,3.44,32,2,2,0,0,1,55.0,56,25,21,4,9,0,47,1,0,2,227,120,2.92,1.182,9.2,0.7,1.5,7.7,5.22,,matzst01
14,Gordon Graceffo,25,,-0.8,3,1,.750,6.28,26,0,9,0,0,1,43.0,50,33,30,2,13,0,40,2,0,2,193,66,2.93,1.465,10.5,0.4,2.7,8.4,3.08,,gracego01
15,Phil Maton,32,,1.1,1,3,.250,2.35,40,0,9,0,0,2,38.1,28,12,10,1,15,1,48,5,0,1,158,176,2.54,1.122,6.6,0.2,3.5,11.3,3.20,,matonph01
16,Ryan Fernandez,27,,-1.1,0,4,.000,7.71,32,0,13,0,0,1,30.1,36,30,26,6,16,2,34,1,0,0,140,54,5.15,1.714,10.7,1.8,4.7,10.1,2.13,,fernary01
17,Andre Granillo,25,,0.1,1,0,1.000,4.71,14,0,6,0,0,1,21.0,22,11,11,3,7,0,18,1,0,2,91,88,4.42,1.381,9.4,1.3,3.0,7.7,2.57,,granian01
18,Chris Roycroft,28,,-0.9,1,3,.250,7.84,20,0,10,0,0,0,20.2,26,21,18,2,12,1,15,1,0,3,101,53,4.83,1.839,11.3,0.9,5.2,6.5,1.25,,roycrch01
19,Jorge Alcala,29,,0.0,0,0,,5.02,15,0,5,0,0,0,14.1,18,8,8,4,7,1,15,0,1,0,67,84,6.14,1.744,11.3,2.5,4.4,9.4,2.14,,alcaljo01
20,Roddery Muñoz,25,,-0.2,0,0,,8.18,9,0,6,0,0,0,11.0,9,10,10,4,9,0,14,0,0,1,51,52,7.77,1.636,7.4,3.3,7.4,11.5,1.56,,munozro01
21,Anthony Veneziano*,27,,0.0,0,0,,4.50,2,0,0,0,0,0,4.0,3,2,2,0,1,0,5,1,0,0,17,100,2.14,1.000,6.8,0.0,2.3,11.3,5.00,,venezan01
22,Nick Raquet*,29,,0.1,0,0,,0.00,2,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,7,,3.64,0.500,0.0,0.0,4.5,4.5,1.00,,raqueni01
23,Garrett Hampson,30,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.14,0.000,0.0,0.0,0.0,0.0,,,hampsga01
24,Alec Burleson*,26,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0,4,,6.14,1.000,9.0,0.0,0.0,0.0,,,burleal01
,Team Totals,,,7.6,78,84,.481,4.30,162,162,160,2,2,42,1432.0,1434,754,684,170,461,17,1209,48,4,52,6120,96,4.06,1.323,9.0,1.1,2.9,7.6,2.62,,-9999
