Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Danny Jansen,30,C,1.9,73,259,221,28,45,8,0,11,29,0,0,33,68,.204,.314,.389,.703,96,.312,98,86,4,3,1,1,0,2/H,,janseda01
2,Jonathan Aranda*,27,1B,3.4,106,422,370,56,117,22,0,14,59,0,2,41,107,.316,.393,.489,.883,146,.377,147,181,9,8,0,3,3,3DH,AS,arandjo01
3,Brandon Lowe*,30,2B,1.8,134,553,507,79,130,19,0,31,83,3,2,38,149,.256,.307,.477,.785,116,.337,117,242,6,2,0,6,1,*4/DH3,AS,lowebr01
4,Taylor Walls#,28,SS,2.6,101,317,282,36,62,14,1,4,38,14,6,26,70,.220,.280,.319,.599,68,.269,66,90,1,0,3,6,0,6/H45D,,wallsta01
5,Junior Caminero,21,3B,4.5,154,653,602,93,159,28,0,45,110,7,1,41,125,.264,.311,.535,.846,131,.366,136,322,31,3,0,7,1,*5/DH3,AS,caminju01
6,Christopher Morel,26,LF,-0.3,105,305,278,37,61,16,0,11,33,7,2,25,109,.219,.289,.396,.684,90,.306,92,110,8,2,0,0,0,7HD/94,,morelch01
7,Chandler Simpson*,24,CF,0.3,109,441,414,53,122,15,3,0,26,44,12,20,43,.295,.326,.345,.671,89,.306,86,143,10,0,3,2,0,87/HD9,,simpsch01
8,Josh Lowe*,27,RF,0.2,108,435,396,56,87,21,2,11,40,18,4,33,109,.220,.283,.366,.650,81,.289,77,145,7,3,1,2,1,9/HD,,lowejo01
9,Yandy Díaz,33,DH,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,.300,.366,.482,.848,136,.364,136,281,12,6,0,5,4,*D3,,diazya01
10,Jake Mangum#,29,OF,1.7,118,428,405,37,120,18,1,3,40,27,6,19,64,.296,.330,.368,.698,96,.313,93,149,4,2,1,1,0,*789/HD,,manguja01
11,José Caballero,28,UT,1.9,86,275,235,37,53,12,1,2,27,34,8,33,80,.226,.327,.311,.638,81,.309,85,73,1,3,3,1,0,6594H/78D1,,cabaljo01
12,Kameron Misner*,27,CF,0.7,71,217,197,27,42,9,1,5,22,8,1,16,69,.213,.273,.345,.618,72,.279,69,68,1,1,1,2,0,89/7HD,,misneka01
13,Curtis Mead,24,IF,0.4,49,132,115,14,26,2,1,3,8,4,1,12,33,.226,.318,.339,.657,85,.304,90,39,4,4,0,1,0,34H/5D,,meadcu01
14,Carson Williams,22,SS,-0.3,32,106,99,11,17,3,0,5,12,2,1,6,44,.172,.219,.354,.573,57,.252,54,35,3,0,1,0,0,6/H,,willica02
15,Hunter Feduccia*,28,C,-0.4,36,102,86,5,13,5,0,0,8,1,0,14,28,.151,.265,.209,.474,36,.227,34,18,0,0,0,2,0,2/HD,,feduchu01
16,Nick Fortes,28,C,0.3,38,101,89,8,19,3,0,3,11,1,0,7,25,.213,.307,.348,.655,84,.313,97,31,3,5,0,0,0,2/HD,,forteni01
17,Ha-Seong Kim,29,SS,0.1,24,93,84,5,18,3,0,2,5,6,1,8,23,.214,.290,.321,.612,72,.283,69,27,0,1,0,0,0,6/4,,kimha01
18,Tristan Gray*,29,IF,0.3,30,86,78,9,18,5,0,3,9,0,0,6,19,.231,.282,.410,.693,91,.296,86,32,0,0,1,1,0,4/635H,,graytr01
19,Bob Seymour*,26,1B,-0.1,26,83,78,9,16,1,1,1,5,1,0,4,32,.205,.253,.282,.535,50,.250,51,22,0,1,0,0,0,3/DH,,seymobo01
20,Matt Thaiss*,30,C,0.1,25,80,71,5,16,2,1,0,8,0,0,6,25,.225,.304,.282,.585,66,.265,63,20,0,2,1,0,0,2/3H,,thaisma01
21,Everson Pereira,24,CF,-0.3,23,73,65,7,9,1,0,2,8,2,0,7,28,.138,.219,.246,.465,31,.227,32,16,2,0,0,1,0,8/H9,,pereiev01
22,Ben Rortvedt*,27,C,-0.5,26,70,63,2,6,1,0,0,6,0,0,7,14,.095,.186,.111,.297,-13,.163,-11,7,0,0,0,0,0,2,,rortvbe01
23,Jonny DeLuca,26,CF,0.6,20,59,57,5,19,1,3,0,4,6,0,2,13,.333,.356,.456,.812,126,.365,119,26,0,0,0,0,0,8/HD,,delucjo01
24,Richie Palacios*,28,UT,0.0,17,48,42,10,14,2,0,1,3,4,0,5,9,.333,.396,.452,.848,138,.389,140,19,3,0,0,1,0,/473DH9,,palacri01
25,Travis Jankowski*,34,OF,0.0,14,34,31,6,8,2,0,0,2,2,0,2,9,.258,.294,.323,.617,73,.279,64,10,0,0,0,1,0,/97H,,jankotr01
26,Tristan Peters*,25,CF,-0.4,4,12,12,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,.000,-129,0,0,0,0,0,0,/8,,petertr01
27,Coco Montes,28,UT,0.1,5,10,10,0,2,0,0,0,1,0,0,0,3,.200,.200,.200,.400,13,.178,0,2,0,0,0,0,0,/457,,monteco01
28,Connor Seabold,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,seaboco01
29,Kevin Kelly,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kellyke02
,Team Totals,,,21.7,162,6045,5470,714,1374,242,16,182,680,194,48,468,1397,.251,.313,.401,.714,99,.317,99,2194,109,46,16,43,10,,,-9999
