Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jonah Heim#,30,C,0.6,124,433,395,38,84,14,0,11,43,3,0,32,88,.213,.271,.332,.602,77,.276,83,131,10,1,1,4,0,2DH,,heimjo01
2,Jake Burger,29,1B,0.8,103,376,356,43,84,15,1,16,53,1,1,12,93,.236,.269,.419,.687,99,.298,100,149,3,5,0,3,0,3DH,,burgeja01
3,Marcus Semien,34,2B,3.5,127,534,470,62,108,16,1,15,62,11,1,50,93,.230,.305,.364,.669,97,.301,100,171,8,5,0,9,0,*4,,semiema01
4,Corey Seager*,31,SS,6.1,102,445,380,61,103,19,0,21,50,3,0,58,87,.271,.373,.487,.860,151,.370,153,185,13,5,0,2,10,6/D,,seageco01
5,Josh Jung,27,3B,1.4,131,511,482,53,121,23,1,14,61,4,1,27,129,.251,.294,.390,.684,100,.301,102,188,10,2,0,0,0,*5/DH,,jungjo01
6,Wyatt Langford,23,LF,5.6,134,573,489,73,118,25,1,22,62,22,6,74,151,.241,.344,.431,.775,127,.342,130,211,9,5,0,5,3,*78/H,,langfwy01
7,Evan Carter*,22,CF,1.9,63,220,194,31,48,9,2,5,25,14,2,19,41,.247,.336,.392,.728,114,.333,118,76,2,7,0,0,1,8/HD,,carteev01
8,Adolis García,32,RF,2.7,135,547,507,58,115,28,0,19,75,13,4,28,135,.227,.271,.394,.665,93,.291,94,200,9,5,0,7,1,*9/DH,,garciad02
9,Joc Pederson*,33,DH,-0.3,96,306,265,28,48,10,1,9,26,2,0,34,65,.181,.285,.328,.614,81,.278,84,87,5,5,0,1,0,DH/39,,pederjo01
10,Josh Smith*,27,IF,3.0,144,563,495,70,124,23,2,10,35,12,3,55,100,.251,.335,.366,.700,107,.318,113,181,3,8,3,1,2,653HD/7948,,smithjo11
11,Kyle Higashioka,35,C,1.6,94,327,303,33,73,14,1,11,47,3,1,20,72,.241,.291,.403,.693,102,.305,105,122,5,2,0,2,0,2D/H,,higasky01
12,Ezequiel Durán,26,IF,0.3,90,219,205,16,46,14,0,0,14,11,2,8,55,.224,.266,.293,.559,65,.251,61,60,3,4,1,1,0,63H45/91D7,,duranez01
13,Sam Haggerty#,31,OF,0.9,64,182,162,31,41,7,3,2,13,12,4,16,37,.253,.328,.370,.698,106,.334,123,60,1,2,1,0,1,H78D/49,,haggesa01
14,Alejandro Osuna*,22,LF,0.2,63,176,151,12,32,4,0,2,15,5,4,21,34,.212,.313,.278,.591,77,.264,79,42,1,2,0,2,1,79/DH8,,osunaal02
15,Rowdy Tellez*,30,1B,0.4,50,127,116,14,30,5,0,6,22,0,0,9,34,.259,.315,.457,.772,124,.336,128,53,3,1,0,1,0,3H/D1,,tellero01
16,Cody Freeman,24,2B,-0.2,36,121,114,13,26,4,0,3,15,1,1,5,19,.228,.258,.342,.600,75,.264,77,39,3,0,1,1,0,4/59HD7,,freemco01
17,Michael Helman,29,CF,1.0,38,110,99,18,23,5,1,5,20,4,0,7,21,.232,.290,.455,.744,115,.330,118,45,0,1,3,0,0,8/H6,,helmami01
18,Leody Taveras#,26,CF,0.1,30,82,79,7,19,3,1,1,8,6,1,2,23,.241,.259,.342,.601,76,.268,70,27,0,0,1,0,0,8/H,,taverle01
19,Dustin Harris*,25,OF,0.2,19,43,40,5,8,3,0,1,2,1,1,3,13,.200,.256,.350,.606,77,.258,76,14,1,0,0,0,0,/7H89D,,harridu01
20,Kevin Pillar,36,OF,-0.1,20,43,43,6,9,2,0,0,1,3,0,0,8,.209,.209,.256,.465,37,.213,26,11,0,0,0,0,0,/8H9D7,,pillake01
21,Dylan Moore,32,UT,0.3,18,30,27,6,7,0,0,2,6,2,1,1,6,.259,.300,.481,.781,126,.326,122,13,0,1,0,1,0,4/HD39,,mooredy01
22,Billy McKinney*,30,OF,-0.1,6,21,20,4,4,1,0,0,1,0,0,1,1,.200,.238,.250,.488,45,.261,73,5,0,0,0,0,0,/97DH,,mckinbi01
23,Tucker Barnhart*,34,C,0.0,8,15,13,0,3,0,0,0,0,0,0,1,4,.231,.333,.231,.564,72,.271,81,3,2,1,0,0,0,/21,,barnhtu01
24,Blaine Crim,28,1B,-0.2,5,13,11,1,0,0,0,0,0,0,0,1,6,.000,.154,.000,.154,-48,.108,-38,0,0,1,0,0,0,/3DH,,crimbl01
25,Nick Ahmed,35,SS,0.1,5,10,9,1,0,0,0,0,0,1,0,1,3,.000,.100,.000,.100,-66,.182,-1,0,1,0,0,0,0,/6,,ahmedni01
26,Justin Foscue,26,1B,-0.1,4,9,9,0,1,1,0,0,2,0,0,0,3,.111,.111,.222,.333,-5,.138,-17,2,0,0,0,0,0,/3DH,,foscuju01
27,Jonathan Ornelas,25,MI,0.0,4,6,5,0,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,-44,.114,-34,0,0,0,0,0,0,/64,,orneljo01
28,Donovan Solano,37,2B,-0.1,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,/4,,solando01
29,Jack Leiter,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1/H,,leiteja01
30,Luis Curvelo,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,curvelu01
31,Hoby Milner*,34,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,milneho01
32,Shawn Armstrong,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,armstsh01
33,Robert Garcia,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,garciro04
