Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Jacob deGrom,37,SP,2.9,12,8,.600,2.97,30,30,0,0,0,0,172.2,122,57,57,26,37,0,185,3,0,3,669,123,3.65,0.921,6.4,1.4,1.9,9.6,5.00,AS,degroja01
2,Patrick Corbin*,35,SP,-0.5,7,11,.389,4.40,31,30,1,1,0,0,155.1,161,79,76,21,51,1,131,3,0,6,663,83,4.25,1.365,9.3,1.2,3.0,7.6,2.57,,corbipa01
3,Jack Leiter,25,SP,0.4,10,10,.500,3.86,29,29,0,0,0,0,151.2,127,69,65,18,67,0,148,5,1,10,646,95,4.15,1.279,7.5,1.1,4.0,8.8,2.21,,leiteja01
4,Nathan Eovaldi,35,SP,4.2,11,3,.786,1.73,22,22,0,1,1,0,130.0,90,28,25,10,21,1,129,7,0,6,496,211,2.80,0.854,6.2,0.7,1.5,8.9,6.14,,eovalna01
5,Tyler Mahle,30,SP,2.1,6,4,.600,2.18,16,16,0,0,0,0,86.2,69,21,21,5,29,0,66,0,1,0,346,168,3.37,1.131,7.2,0.5,3.0,6.9,2.28,,mahlety01
6,Kumar Rocker,25,SP,-1.1,4,5,.444,5.74,14,14,0,0,0,0,64.1,71,42,41,11,23,0,56,4,0,6,287,64,4.88,1.461,9.9,1.5,3.2,7.8,2.43,,rockeku01
7,Shawn Armstrong,34,CL,1.5,4,3,.571,2.31,71,2,22,0,0,9,74.0,40,21,19,5,20,0,74,6,0,3,284,159,3.07,0.811,4.9,0.6,2.4,9.0,3.70,,armstsh01
8,Hoby Milner*,34,RP,-0.6,3,4,.429,3.84,73,0,10,0,0,0,70.1,68,35,30,5,21,3,58,2,0,0,293,95,3.39,1.265,8.7,0.6,2.7,7.4,2.76,,milneho01
9,Jacob Webb,31,RP,0.2,5,4,.556,3.00,55,0,9,0,0,1,66.0,49,24,22,10,19,2,58,2,0,0,267,122,4.30,1.030,6.7,1.4,2.6,7.9,3.05,,webbja01
10,Robert Garcia*,29,RP,0.4,4,8,.333,2.95,71,0,25,0,0,9,64.0,58,26,21,8,22,2,68,1,1,1,269,124,3.71,1.250,8.2,1.1,3.1,9.6,3.09,,garciro04
11,Chris Martin,39,RP,-0.1,2,6,.250,2.98,49,0,10,0,0,2,42.1,43,18,14,6,8,3,43,1,0,2,174,124,3.58,1.205,9.1,1.3,1.7,9.1,5.38,,martich02
12,Jacob Latz*,29,,1.4,2,0,1.000,2.84,33,8,5,0,0,1,85.2,69,28,27,7,37,2,76,0,0,2,348,129,3.72,1.237,7.2,0.7,3.9,8.0,2.05,,latzja01
13,Merrill Kelly,36,,-0.1,3,3,.500,4.23,10,10,0,0,0,0,55.1,59,26,26,9,10,0,46,1,1,1,234,87,4.18,1.247,9.6,1.5,1.6,7.5,4.60,,kellyme01
14,Caleb Boushley,31,,-1.0,0,0,,6.02,25,1,13,0,0,1,43.1,54,33,29,5,14,1,41,2,0,1,193,61,3.85,1.569,11.2,1.0,2.9,8.5,2.93,,boushca01
15,Cole Winn,25,,1.1,0,1,.000,1.51,33,0,10,0,0,0,41.2,23,8,7,3,17,2,35,4,0,1,162,243,3.90,0.960,5.0,0.6,3.7,7.6,2.06,,winnco01
16,Luke Jackson,33,,-0.6,2,5,.286,4.11,39,0,21,0,0,9,35.0,32,20,16,4,19,4,24,2,0,0,152,90,5.05,1.457,8.2,1.0,4.9,6.2,1.26,,jackslu01
17,Phil Maton,32,,0.2,3,2,.600,3.52,23,0,13,0,0,3,23.0,14,9,9,2,8,1,33,2,0,0,90,105,2.70,0.957,5.5,0.8,3.1,12.9,4.13,,matonph01
18,Luis Curvelo,24,,-0.4,1,1,.500,5.68,17,0,4,0,0,0,19.0,17,13,12,3,10,1,20,0,0,0,84,66,4.66,1.421,8.1,1.4,4.7,9.5,2.00,,curvelu01
19,Jon Gray,33,,-0.6,1,1,.500,7.71,6,0,0,0,0,0,14.0,15,12,12,5,6,0,12,0,0,0,63,49,7.35,1.500,9.6,3.2,3.9,7.7,2.00,,grayjo02
20,Danny Coulombe*,35,,-0.2,1,1,.500,5.25,15,0,3,0,0,0,12.0,11,7,7,3,9,0,12,0,0,0,54,72,6.64,1.667,8.3,2.3,6.8,9.0,1.33,,couloda01
21,Dane Dunning,30,,0.0,0,0,,3.38,5,0,4,0,0,2,10.2,9,4,4,2,5,1,10,1,0,1,46,112,5.39,1.313,7.6,1.7,4.2,8.4,2.00,,dunnida01
22,Gerson Garabito,29,,-0.5,0,0,,9.00,3,0,1,0,0,0,8.0,15,12,8,1,1,0,8,2,0,0,41,43,3.89,2.000,16.9,1.1,1.1,9.0,8.00,,garabge01
23,Marc Church,24,,0.0,0,0,,3.86,5,0,0,0,0,0,4.2,4,2,2,0,6,0,5,0,0,0,23,103,4.85,2.143,7.7,0.0,11.6,9.6,0.83,,churcma01
24,Ezequiel Durán,26,,0.1,0,0,,0.00,4,0,4,0,0,0,3.1,1,0,0,0,0,0,0,0,0,0,11,,3.14,0.300,2.7,0.0,0.0,0.0,,,duranez01
25,Carl Edwards Jr.,33,,0.1,0,0,,0.00,2,0,1,0,0,0,3.0,0,0,0,0,2,0,4,0,0,0,11,,2.47,0.667,0.0,0.0,6.0,12.0,2.00,,edwarca01
26,Rowdy Tellez*,30,,-0.1,0,0,,13.50,1,0,1,0,0,0,2.0,5,3,3,1,0,0,0,1,0,0,11,33,11.14,2.500,22.5,4.5,0.0,0.0,,,tellero01
27,Tucker Barnhart,34,,-0.1,0,0,,13.50,1,0,1,0,0,0,2.0,5,3,3,0,0,0,0,1,0,0,11,33,4.64,2.500,22.5,0.0,0.0,0.0,,,barnhtu01
28,José Corniell,22,,-0.4,0,1,.000,16.20,1,0,1,0,0,0,1.2,3,4,3,1,1,0,1,0,0,0,9,28,11.54,2.400,16.2,5.4,5.4,5.4,1.00,,cornijo01
29,Codi Heuer,28,,0.0,0,0,,6.75,1,0,1,0,0,0,1.1,1,1,1,1,0,0,1,0,0,0,5,71,11.39,0.750,6.8,6.8,0.0,6.8,,,heuerco01
,Team Totals,,,8.2,81,81,.500,3.49,162,162,160,2,1,37,1443.0,1235,605,560,172,463,24,1344,50,4,43,5942,105,3.89,1.177,7.7,1.1,2.9,8.4,2.90,,-9999
