Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Alejandro Kirk,26,C,2.3,130,506,451,45,127,18,0,15,76,1,0,48,59,.282,.348,.421,.769,111,.334,110,190,16,1,0,6,2,*2H/D,AS,kirkal01
2,Vladimir Guerrero Jr.,26,1B,4.5,156,680,589,96,172,34,0,23,84,6,3,81,94,.292,.381,.467,.848,133,.365,133,275,17,6,0,4,8,*3D/H,AS,guerrvl02
3,Andrés Giménez*,26,2B,1.1,101,369,329,39,69,11,1,7,35,12,2,25,66,.210,.285,.313,.598,66,.277,65,103,8,11,1,3,0,46/H,,gimenan01
4,Bo Bichette,27,SS,3.4,139,628,582,78,181,44,1,18,94,4,3,40,91,.311,.357,.483,.840,129,.364,132,281,17,3,0,3,2,*6/DH,,bichebo01
5,Addison Barger*,25,3B,1.2,135,502,460,61,112,32,1,21,74,4,1,36,121,.243,.301,.454,.756,105,.320,100,209,8,3,0,2,4,59H/D,,bargead01
6,Davis Schneider,26,LF,1.3,82,227,188,33,44,5,0,11,31,3,1,36,60,.234,.361,.436,.797,119,.360,128,82,4,2,0,1,0,74H/5D,,schneda03
7,Daulton Varsho*,28,CF,2.8,71,271,248,43,59,13,2,20,55,2,0,17,77,.238,.284,.548,.833,122,.343,116,136,1,1,0,5,1,8/HD,,varshda01
8,Nathan Lukes*,30,RF,1.9,135,438,388,55,99,19,2,12,65,2,4,38,60,.255,.323,.407,.730,100,.313,97,158,12,2,7,3,2,*978H/D,,lukesna01
9,George Springer,35,DH,4.8,140,586,498,106,154,27,1,32,84,18,1,69,111,.309,.399,.560,.959,161,.414,165,279,14,8,0,4,3,D978/H,,springe01
10,Ernie Clement,29,IF,4.3,157,588,545,83,151,35,2,9,50,6,5,27,61,.277,.313,.398,.711,95,.306,91,217,13,4,7,5,1,5463H,,clemeer01
11,Myles Straw,30,OF,2.9,137,299,267,51,70,14,1,4,32,12,1,19,50,.262,.313,.367,.680,87,.311,87,98,5,1,11,1,0,*87H9/4,,strawmy01
12,Anthony Santander#,30,DH,-1.0,54,221,194,16,34,5,0,6,18,0,0,25,61,.175,.271,.294,.565,57,.253,51,57,6,1,0,1,1,D9/7H3,,santaan02
13,Tyler Heineman#,34,C,1.9,61,174,149,25,43,8,1,3,20,2,0,12,31,.289,.361,.416,.777,114,.339,112,62,1,6,5,2,0,2/H1,,heinety01
14,Will Wagner*,26,3B,-0.5,40,132,114,13,27,7,0,0,7,1,0,15,26,.237,.336,.298,.634,78,.311,92,34,2,2,1,0,0,53/DH4,,wagnewi01
15,Alan Roden*,25,LF,-0.1,43,113,98,12,20,5,1,1,8,0,1,8,24,.204,.283,.306,.589,63,.256,56,30,0,4,0,3,0,79/H8,,rodenal01
16,Jonatan Clase#,23,LF,-0.2,34,112,100,10,21,3,0,2,9,3,1,10,28,.210,.288,.300,.588,63,.264,57,30,1,1,1,0,0,7/8H9D,,clasejo01
17,Joey Loperfido*,26,LF,0.6,41,104,96,12,32,4,0,4,14,1,2,4,27,.333,.379,.500,.879,140,.381,150,48,2,3,1,0,0,7H/9,,loperjo01
18,Ty France,30,1B,0.2,37,103,94,9,26,6,0,1,8,0,0,3,20,.277,.320,.372,.693,91,.299,84,35,3,4,0,2,1,3H/D,,francty01
19,Leo Jiménez,24,MI,-0.3,18,32,29,2,2,0,0,1,1,0,0,2,8,.069,.129,.172,.301,-18,.167,-15,5,1,0,1,0,0,4/H6D,,jimenle01
20,Isiah Kiner-Falefa,30,IF,0.0,19,31,30,5,7,1,0,1,5,0,0,0,8,.233,.258,.367,.625,70,.262,58,11,0,1,0,0,0,4/5H16,,kineris01
21,Michael Stefanic,29,2B,0.0,9,25,22,1,4,0,0,0,0,0,0,3,3,.182,.280,.182,.462,32,.221,28,4,0,0,0,0,0,/4H16,,stefami01
22,Ali Sánchez,28,C,-0.2,8,21,21,2,5,2,0,0,0,0,0,0,5,.238,.238,.333,.571,56,.240,42,7,1,0,0,0,0,/213H,,sanchal04
23,Will Robertson*,27,OF,-0.2,3,12,10,0,1,0,0,0,1,0,0,1,7,.100,.250,.100,.350,3,.191,6,1,1,1,0,0,0,/789,,roberwi02
24,Buddy Kennedy,26,IF,-0.1,2,6,5,1,1,1,0,0,0,0,0,1,1,.200,.333,.400,.733,102,.321,100,2,0,0,0,0,0,/45,,kennebu01
25,Nick Sandlin,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,sandlni01
26,Jeff Hoffman,32,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,hoffmje02
27,Yimi García,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,garciyi01
,Team Totals,,,30.6,162,6180,5507,798,1461,294,13,191,771,77,25,520,1099,.265,.333,.427,.761,108,.331,108,2354,133,65,35,45,25,,,-9999
