Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Kevin Gausman,34,SP,3.8,10,11,.476,3.59,32,32,0,1,1,0,193.0,155,79,77,21,50,2,189,3,2,1,775,119,3.42,1.062,7.2,1.0,2.3,8.8,3.78,,gausmke01
2,Chris Bassitt,36,SP,2.1,11,9,.550,3.96,32,31,0,1,0,0,170.1,174,80,75,22,52,0,166,13,3,4,736,108,4.01,1.327,9.2,1.2,2.7,8.8,3.19,,bassich01
3,José Berríos,31,SP,1.3,9,5,.643,4.17,31,30,0,0,0,0,166.0,160,86,77,26,56,2,138,7,1,1,698,102,4.65,1.301,8.7,1.4,3.0,7.5,2.46,,berrijo01
4,Eric Lauer*,30,SP,2.2,9,2,.818,3.18,28,15,2,0,0,0,104.2,90,39,37,15,26,1,102,2,0,0,426,134,3.85,1.108,7.7,1.3,2.2,8.8,3.92,,lauerer01
5,Max Scherzer,40,SP,0.2,5,5,.500,5.19,17,17,0,0,0,0,85.0,87,49,49,19,23,0,82,2,0,2,358,82,4.99,1.294,9.2,2.0,2.4,8.7,3.57,,scherma01
6,Bowden Francis,29,SP,-0.8,2,8,.200,6.05,14,14,0,0,0,0,64.0,71,46,43,19,27,0,54,6,0,3,288,71,6.85,1.531,10.0,2.7,3.8,7.6,2.00,,francbo01
7,Jeff Hoffman,32,CL,0.5,9,7,.563,4.37,71,0,59,0,0,33,68.0,54,34,33,15,27,1,84,4,0,2,287,98,4.90,1.191,7.1,2.0,3.6,11.1,3.11,,hoffmje02
8,Yariel Rodríguez,28,RP,1.4,3,2,.600,3.08,66,1,17,0,0,2,73.0,50,26,25,8,34,3,66,6,2,2,298,139,4.40,1.151,6.2,1.0,4.2,8.1,1.94,,rodriya01
9,Brendon Little*,28,RP,1.1,4,2,.667,3.03,79,0,4,0,0,1,68.1,48,28,23,2,45,4,91,2,1,7,295,141,2.92,1.361,6.3,0.3,5.9,12.0,2.02,,littlbr02
10,Mason Fluharty*,23,RP,0.1,5,2,.714,4.44,55,0,7,0,0,1,52.2,36,28,26,6,24,4,56,2,0,1,215,97,3.97,1.139,6.2,1.0,4.1,9.6,2.33,,fluhama01
11,Braydon Fisher,24,RP,1.4,7,0,1.000,2.70,52,1,12,0,0,0,50.0,32,15,15,4,19,1,62,3,0,0,202,159,3.02,1.020,5.8,0.7,3.4,11.2,3.26,,fishebr02
12,Chad Green,34,,-0.5,3,2,.600,5.56,45,0,14,0,0,1,43.2,51,28,27,14,13,2,35,2,0,0,190,77,6.73,1.466,10.5,2.9,2.7,7.2,2.69,,greench03
13,Shane Bieber,30,,0.7,4,2,.667,3.57,7,7,0,0,0,0,40.1,34,16,16,8,7,0,37,1,0,0,159,120,4.47,1.017,7.6,1.8,1.6,8.3,5.29,,biebesh01
14,Tommy Nance,34,,0.6,2,0,1.000,1.99,30,0,9,0,0,0,31.2,25,11,7,0,7,0,32,1,0,1,126,216,1.87,1.011,7.1,0.0,2.0,9.1,4.57,,nanceto01
15,Paxton Schultz,27,,-0.1,0,0,,4.38,13,2,4,0,0,0,24.2,27,16,12,4,8,0,28,1,0,0,110,99,4.07,1.419,9.9,1.5,2.9,10.2,3.50,,schulpa01
16,Easton Lucas*,28,,-0.3,3,3,.500,6.66,6,5,0,0,0,0,24.1,25,18,18,5,12,0,23,0,0,1,108,65,5.40,1.521,9.2,1.8,4.4,8.5,1.92,,lucasea01
17,Louis Varland,27,,0.0,1,0,1.000,4.94,23,1,1,0,0,0,23.2,24,13,13,3,9,0,28,0,0,0,99,87,3.56,1.394,9.1,1.1,3.4,10.6,3.11,,varlalo01
18,Seranthony Domínguez,30,,0.0,2,1,.667,3.00,24,0,4,0,0,0,21.0,12,11,7,1,12,1,25,2,0,3,86,144,3.37,1.143,5.1,0.4,5.1,10.7,2.08,,dominse01
19,Yimi García,34,,0.1,1,2,.333,3.86,22,0,4,0,0,3,21.0,13,10,9,2,12,1,25,1,0,2,90,112,3.85,1.190,5.6,0.9,5.1,10.7,2.08,,garciyi01
20,Nick Sandlin,28,,0.3,0,2,.000,2.20,19,0,4,0,0,1,16.1,11,7,4,2,8,0,16,2,0,1,69,197,4.61,1.163,6.1,1.1,4.4,8.8,2.00,,sandlni01
