Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Riley Adams,29,C,0.5,83,286,263,29,49,8,0,8,24,1,0,18,110,.186,.252,.308,.560,59,.258,61,81,6,5,0,0,0,2/H3D,,adamsri03
2,Nathaniel Lowe*,29,1B,-0.3,119,490,440,50,95,17,2,16,68,1,0,47,130,.216,.292,.373,.665,88,.297,88,164,5,1,0,2,0,*3/DH,,lowena01
3,Luis García Jr.*,25,2B,0.4,139,526,488,67,123,28,1,16,66,14,5,27,84,.252,.289,.412,.701,97,.310,96,201,7,2,0,9,1,*4H/3D,,garcilu04
4,CJ Abrams*,24,SS,3.3,144,635,580,92,149,35,5,19,60,31,3,37,125,.257,.315,.433,.748,111,.338,111,251,5,14,1,3,1,*6/HD,,abramcj01
5,Brady House,22,3B,-0.6,73,274,261,26,61,11,0,4,29,5,3,8,78,.234,.252,.322,.574,62,.252,58,84,11,0,0,5,0,5/H,,housebr01
6,James Wood*,22,LF,3.7,157,689,598,87,153,38,0,31,94,15,7,85,221,.256,.350,.475,.825,132,.357,132,284,12,3,0,3,8,*7D/H,AS,woodja03
7,Jacob Young,25,CF,1.3,120,364,324,34,75,10,1,2,31,15,11,27,65,.231,.296,.287,.583,68,.268,71,93,7,3,9,1,0,*8H/D,,youngja03
8,Dylan Crews,23,RF,0.4,85,322,293,43,61,8,2,10,27,17,5,24,76,.208,.280,.352,.631,79,.288,79,103,4,5,0,0,0,98/D,,crewsdy01
9,Josh Bell#,32,DH,0.5,140,533,468,54,112,17,1,22,63,0,3,57,88,.239,.326,.421,.747,111,.327,112,197,15,5,0,3,1,D3H,,belljo02
10,Daylen Lile*,22,OF,0.7,91,351,321,51,96,15,11,9,41,8,6,21,56,.299,.347,.498,.845,137,.368,142,160,5,4,1,3,0,97D/H,,lileda01
11,Keibert Ruiz#,26,C,0.8,68,267,255,19,63,12,0,2,25,0,2,8,26,.247,.277,.318,.595,69,.271,73,81,4,3,0,1,0,2/H,,ruizke01
12,Alex Call,30,OF,1.1,72,237,197,30,54,9,2,3,26,1,1,26,36,.274,.371,.386,.756,117,.345,124,76,5,6,5,3,0,97H/D8,,callal02
13,Paul DeJong,31,3B,-0.1,57,208,193,18,44,10,0,6,23,4,0,11,70,.228,.269,.373,.642,81,.283,75,72,3,1,0,3,0,546/D3H,,dejonpa01
14,Robert Hassell III*,23,CF,0.0,70,206,197,22,44,9,0,3,18,4,0,8,62,.223,.257,.315,.572,62,.266,64,62,4,1,0,0,0,89H/7D,,hassero02
15,José Tena*,24,3B,0.3,50,169,152,19,37,13,2,0,16,3,1,15,37,.243,.314,.355,.669,91,.297,88,54,4,1,0,1,0,5/4HD,,tenajo01
16,Amed Rosario,29,IF,0.3,46,158,148,19,40,8,0,5,18,1,0,7,22,.270,.310,.426,.736,107,.326,108,63,5,2,0,1,0,54H/D169,,rosaram01
17,Nasim Nuñez#,24,MI,0.7,39,92,82,13,19,2,0,4,13,9,1,8,20,.232,.297,.402,.699,97,.323,94,33,1,0,1,1,0,64H/8D,,nunezna01
18,Andrés Chaparro,26,1B,-0.4,34,73,66,4,12,2,0,1,5,0,0,5,22,.182,.247,.258,.504,44,.231,42,17,0,1,0,1,0,3/HD,,chapaan01
19,Drew Millas#,27,C,0.2,18,55,49,6,15,5,1,0,7,2,0,4,7,.306,.358,.449,.807,129,.357,126,22,0,0,1,0,0,2/DH,,milladr01
20,Jorge Alfaro,32,C,-0.3,14,39,39,3,10,2,0,0,3,1,0,0,14,.256,.256,.308,.564,60,.271,66,12,0,0,0,0,0,2,,alfarjo01
21,Trey Lipscomb,25,IF,0.1,3,4,4,1,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,187,.426,179,2,0,0,0,0,0,/356H,,lipsctr01
22,CJ Stubbs,28,C,0.1,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-120,0,0,0,0,0,0,/2,,stubbcj01
23,Shinnosuke Ogasawara*,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-117,0,0,0,0,0,0,1,,ogasash01
24,PJ Poulin,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,poulipj01
25,Konnor Pilkington*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pilkiko01
26,Jackson Rutledge,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,rutleja01
27,Cade Cavalli,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cavalca01
28,Jose A. Ferrer*,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ferrejo01
,Team Totals,,,12.5,162,5982,5422,687,1314,259,28,161,657,132,48,443,1351,.242,.304,.390,.694,96,.310,97,2112,103,57,18,40,11,,,-9999
