Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Jake Irvin,28,SP,-0.4,9,13,.409,5.70,33,33,0,0,0,0,180.0,195,120,114,38,62,0,124,6,1,3,787,72,5.64,1.428,9.8,1.9,3.1,6.2,2.00,,irvinja01
2,Mitchell Parker*,25,SP,-1.2,9,16,.360,5.68,33,30,2,0,0,1,164.2,178,116,104,25,58,0,103,4,0,3,725,72,4.99,1.433,9.7,1.4,3.2,5.6,1.78,,parkemi01
3,MacKenzie Gore*,26,SP,3.0,5,15,.250,4.17,30,30,0,0,0,0,159.2,152,75,74,20,64,0,185,5,0,12,680,98,3.74,1.353,8.6,1.1,3.6,10.4,2.89,AS,gorema01
4,Trevor Williams,33,SP,-0.6,3,10,.231,6.21,17,17,0,0,0,0,82.2,106,59,57,11,21,0,65,2,0,1,373,66,4.13,1.536,11.5,1.2,2.3,7.1,3.10,,willitr01
5,Michael Soroka,27,SP,0.7,3,8,.273,4.87,16,16,0,0,0,0,81.1,68,44,44,11,24,0,87,14,1,2,343,85,4.16,1.131,7.5,1.2,2.7,9.6,3.63,,sorokmi01
6,Kyle Finnegan,33,CL,0.2,1,4,.200,4.38,40,0,34,0,0,20,39.0,36,21,19,3,14,2,32,1,0,5,163,94,3.65,1.282,8.3,0.7,3.2,7.4,2.29,,finneky01
7,Brad Lord,25,RP,1.5,5,10,.333,4.34,48,19,2,0,0,0,130.2,126,65,63,17,43,0,108,3,0,1,546,95,4.23,1.293,8.7,1.2,3.0,7.4,2.51,,lordbr02
8,Jose A. Ferrer*,25,RP,0.1,4,4,.500,4.48,72,0,18,0,0,11,76.1,81,41,38,5,16,1,71,7,0,6,324,92,3.03,1.271,9.6,0.6,1.9,8.4,4.44,,ferrejo01
9,Jackson Rutledge,26,RP,-0.5,4,2,.667,5.77,63,0,17,0,0,0,73.1,87,49,47,16,24,0,65,7,0,6,330,71,5.47,1.514,10.7,2.0,2.9,8.0,2.71,,rutleja01
10,Cole Henry,25,RP,0.3,1,2,.333,4.27,57,0,13,0,0,2,52.2,43,27,25,7,32,1,52,11,1,2,241,97,5.34,1.424,7.3,1.2,5.5,8.9,1.63,,henryco01
11,Cade Cavalli,26,,0.2,3,1,.750,4.25,10,10,0,0,0,0,48.2,57,28,23,7,15,0,40,4,0,3,219,97,4.53,1.479,10.5,1.3,2.8,7.4,2.67,,cavalca01
12,Shinnosuke Ogasawara*,27,,-0.5,1,1,.500,6.98,23,2,7,0,0,0,38.2,43,30,30,9,17,0,30,3,0,1,173,59,6.16,1.552,10.0,2.1,4.0,7.0,1.76,,ogasash01
13,Eduardo Salazar,27,,-0.8,0,1,.000,8.38,30,0,9,0,0,0,29.0,47,29,27,7,16,0,23,1,1,3,150,50,6.45,2.172,14.6,2.2,5.0,7.1,1.44,,salazed01
14,Konnor Pilkington*,27,,-0.1,2,0,1.000,4.45,32,0,4,0,0,0,28.1,22,16,14,7,17,0,34,2,0,2,123,93,5.96,1.376,7.0,2.2,5.4,10.8,2.00,,pilkiko01
15,Jorge López,32,,-0.5,6,0,1.000,6.57,26,0,5,0,0,1,24.2,25,18,18,1,7,0,17,3,0,3,106,63,3.50,1.297,9.1,0.4,2.6,6.2,2.43,,lopezjo02
16,PJ Poulin*,28,,0.4,2,1,.667,3.65,28,0,6,0,0,1,24.2,23,10,10,2,13,0,27,2,0,0,110,114,3.83,1.459,8.4,0.7,4.7,9.9,2.08,,poulipj01
17,Orlando Ribalta,27,,-0.3,0,0,,7.03,22,0,7,0,0,0,24.1,28,19,19,6,17,0,25,1,1,0,120,59,6.51,1.849,10.4,2.2,6.3,9.2,1.47,,ribalor01
18,Andrew Alvarez*,26,,0.7,1,1,.500,2.31,5,5,0,0,0,0,23.1,16,8,6,1,10,0,20,1,0,2,98,180,3.39,1.114,6.2,0.4,3.9,7.7,2.00,,alvaran01
19,Zach Brzykcy,25,,-0.6,0,1,.000,9.00,26,0,11,0,0,0,23.0,28,23,23,6,12,0,24,2,0,2,110,46,6.27,1.739,11.0,2.3,4.7,9.4,2.00,,brzykza01
20,Clayton Beeter,26,,0.6,0,2,.000,2.49,24,0,4,0,0,1,21.2,8,6,6,1,14,0,32,0,0,1,84,167,2.72,1.015,3.3,0.4,5.8,13.3,2.29,,beetecl01
21,Andrew Chafin*,35,,0.3,1,1,.500,2.70,26,0,6,0,0,0,20.0,20,8,6,1,12,0,18,0,0,5,88,155,3.79,1.600,9.0,0.5,5.4,8.1,1.50,,chafian01
22,Andry Lara,22,,-0.4,0,0,,8.79,9,0,6,0,0,0,14.1,27,15,14,2,8,0,10,1,0,0,78,48,5.44,2.442,17.0,1.3,5.0,6.3,1.25,,laraan01
23,Lucas Sims,31,,-0.9,1,0,1.000,13.86,18,0,2,0,0,0,12.1,14,19,19,2,14,0,13,7,0,3,72,30,8.24,2.270,10.2,1.5,10.2,9.5,0.93,,simslu01
24,Mason Thompson,27,,-0.8,1,1,.500,11.81,14,0,3,0,0,0,10.2,16,16,14,1,12,2,11,0,0,0,60,36,5.67,2.625,13.5,0.8,10.1,9.3,0.92,,thompma02
25,Luis García,38,,0.4,0,0,,0.90,10,0,1,0,0,0,10.0,5,1,1,1,2,0,7,0,0,1,33,472,3.64,0.700,4.5,0.9,1.8,6.3,3.50,,garcilu03
26,Ryan Loutos,26,,-0.8,1,0,1.000,12.00,10,0,3,0,0,0,9.0,16,16,12,3,6,0,6,1,0,0,52,36,8.47,2.444,16.0,3.0,6.0,6.0,1.00,,loutory01
27,Colin Poche*,31,,-0.6,1,2,.333,11.42,13,0,0,0,0,0,8.2,10,12,11,1,12,0,10,0,0,1,46,37,6.48,2.538,10.4,1.0,12.5,10.4,0.83,,pocheco01
28,Sauryn Lao,25,,0.2,1,0,1.000,3.52,6,0,0,0,0,0,7.2,8,3,3,1,1,0,5,1,0,0,32,122,4.31,1.174,9.4,1.2,1.2,5.9,5.00,,laosa01
29,Julian Fernández,29,,0.1,1,0,1.000,3.00,3,0,1,0,0,0,3.0,1,1,1,1,1,0,4,0,0,0,11,154,5.80,0.667,3.0,3.0,3.0,12.0,4.00,,fernaju02
30,Amed Rosario,29,,-0.1,0,0,,36.00,1,0,1,0,0,0,1.0,5,4,4,1,2,0,0,0,0,0,10,16,22.14,7.000,45.0,9.0,18.0,0.0,0.00,,rosaram01
,Team Totals,,,-0.6,66,96,.407,5.35,162,162,162,0,0,37,1423.1,1491,899,846,214,566,6,1248,89,5,68,6287,77,4.72,1.445,9.4,1.4,3.6,7.9,2.20,,-9999
